schema	entry-v2-invalid-cache-deletion-manifest-v1
generated_at_utc	2026-08-16T14:07:34Z
status	NOT_EXECUTED_APPROVAL_REQUIRED
action	DELETE_EXACT_TREE
delete_root	/workspace/artifacts/cache/port/entry_v2
preserve_outside	/workspace/provenance/entry_v2
expected_directory_count	10
expected_file_count	4056
expected_total_file_bytes	63244943663
entry_type	size_bytes	sha256	absolute_path
D	-	-	/workspace/artifacts/cache/port/entry_v2
D	-	-	/workspace/artifacts/cache/port/entry_v2/events
D	-	-	/workspace/artifacts/cache/port/entry_v2/events/HG
D	-	-	/workspace/artifacts/cache/port/entry_v2/events/NKD
D	-	-	/workspace/artifacts/cache/port/entry_v2/locks
D	-	-	/workspace/artifacts/cache/port/entry_v2/manifests
D	-	-	/workspace/artifacts/cache/port/entry_v2/phases
D	-	-	/workspace/artifacts/cache/port/entry_v2/receipts
D	-	-	/workspace/artifacts/cache/port/entry_v2/tallies
D	-	-	/workspace/artifacts/cache/port/entry_v2/tests
F	4339	4eb2220b37572fce2782e973275ed06b6ca52d8060cba28ffdcd8b78366adb75	/workspace/artifacts/cache/port/entry_v2/NON_AUTHORITATIVE.json
F	38867980	52293dc096c2fdb14e104c952d4e00eeac5ffb2c8633f0b5b380c14a390e77cd	/workspace/artifacts/cache/port/entry_v2/events/HG/20210104.qre2
F	33892260	af9b05a51ec24b989fc70cb5ba7583064fbfa65e2ddb34db1e79119ba21b4cca	/workspace/artifacts/cache/port/entry_v2/events/HG/20210105.qre2
F	46713536	9347896e18dc18edb129e7fcc48a4276743c3d21b03b63015c8b8890571d0eef	/workspace/artifacts/cache/port/entry_v2/events/HG/20210106.qre2
F	36118148	f8eb832c37c1e0d45f25776acaee1bd0277b548177a09c08bd01be8f19461047	/workspace/artifacts/cache/port/entry_v2/events/HG/20210107.qre2
F	48610800	dcaa1f6e2a6261beb954a9b3a309265331c74adcbf2bf514daa7754c8cb1c5db	/workspace/artifacts/cache/port/entry_v2/events/HG/20210108.qre2
F	136	83e9b9a245b51ce8a1ebaccbc26b001367371ff31c04f6c5429f40373a9bbeb1	/workspace/artifacts/cache/port/entry_v2/events/HG/20210110.qre2
F	39549776	6145f2afe149128f58438f20adb1a9c6f18a62a84ad4cb2bf74ad340140f41bf	/workspace/artifacts/cache/port/entry_v2/events/HG/20210111.qre2
F	34534764	b051e5ec6ae764b2f58c4f9f99e0ed1d508d4e9aa1f881249e4890ac554d8b09	/workspace/artifacts/cache/port/entry_v2/events/HG/20210112.qre2
F	30580484	f07e41ba632d2efb4cb788b7cc7d0c47bdaef48ea8577cb7e492126a5deff215	/workspace/artifacts/cache/port/entry_v2/events/HG/20210113.qre2
F	30953416	05145fe72860cdf478536a088e6d105efe4f824be234d20c2a527c4e7cb0c83b	/workspace/artifacts/cache/port/entry_v2/events/HG/20210114.qre2
F	40681720	94d473579498b9b306f354dc17c0ca4fcc0b2cbc0bf3e68d180f903ae299b9eb	/workspace/artifacts/cache/port/entry_v2/events/HG/20210115.qre2
F	136	016853a5c1c6e4b6f87a02ab9895f0a14002164c872209b462066e427b085c06	/workspace/artifacts/cache/port/entry_v2/events/HG/20210117.qre2
F	23917260	8ca105113724520d02c627b58ad77a50e9bae8900fc4f628f61e3b91135f0546	/workspace/artifacts/cache/port/entry_v2/events/HG/20210118.qre2
F	30990048	1d16f8f4c060cc88c0455e0bbfbfe4f554cacb465d2246e48833a844dbc73b28	/workspace/artifacts/cache/port/entry_v2/events/HG/20210119.qre2
F	26784208	beba3f5f60e694ee86bd01595a7850d66b4e906de3f4c7539d998247e6d68917	/workspace/artifacts/cache/port/entry_v2/events/HG/20210120.qre2
F	28084568	5ab185b10ae8f6bd90608998f44c745f26f7af724f0d8d98fc3e2c7d91cdd979	/workspace/artifacts/cache/port/entry_v2/events/HG/20210121.qre2
F	38349812	edbffafa2a7424c2d144a1eafdebe6267f2394353b67dcee5d02e9d04bec4faa	/workspace/artifacts/cache/port/entry_v2/events/HG/20210122.qre2
F	136	9f07afa34f811e96b4c0fa1547aabe95f6c8399d3ab6e9c9d4187b8ac8b5336c	/workspace/artifacts/cache/port/entry_v2/events/HG/20210124.qre2
F	38215672	327399ba754c7bb96b61cfb974d20da2aa534655889bfbd523c030d4306ac2a6	/workspace/artifacts/cache/port/entry_v2/events/HG/20210125.qre2
F	33431700	6cc7c13d0377b145a7cf8e5977bacfae91c83ea49970efe612c7137d8015cae7	/workspace/artifacts/cache/port/entry_v2/events/HG/20210126.qre2
F	46157596	dc9a89011c1f57bf1c938dd706ecbd478c6307d9e19659285f0830f784411260	/workspace/artifacts/cache/port/entry_v2/events/HG/20210127.qre2
F	59251180	35e34029c222bbd765e3eb572d20671052f54e2e018f0c102f68a1cb4d45b723	/workspace/artifacts/cache/port/entry_v2/events/HG/20210128.qre2
F	59115140	d9eabd3a4830a03df434c2bb44f7d615a34608497f086e117d18c1e78d83a31f	/workspace/artifacts/cache/port/entry_v2/events/HG/20210129.qre2
F	136	be84cc4b07e24b5f70a34dc8f2b679656fe073d4718cc5bbaa350df885dd3ada	/workspace/artifacts/cache/port/entry_v2/events/HG/20210131.qre2
F	46412500	bd7262c04697ac486ed4cc92fdc19783338cadfd25f28d7b2ff4483e118035fe	/workspace/artifacts/cache/port/entry_v2/events/HG/20210201.qre2
F	44045632	d8abdac55c49bf9998bfd4bb245cf0282aec08874b00289ebc1b521b881ee576	/workspace/artifacts/cache/port/entry_v2/events/HG/20210202.qre2
F	36197416	d88b411d892b078f9578c92ac78b29aa71b9d1f6aa99c596c78d967194782947	/workspace/artifacts/cache/port/entry_v2/events/HG/20210203.qre2
F	37629712	b90a21ef0073acd4f7f0c25e3cd5364815fa4242ceff1bc74c5cacdfb721c698	/workspace/artifacts/cache/port/entry_v2/events/HG/20210204.qre2
F	35023976	d8bb9ac12414cbff7273c6a66c9ceb4f8cd0bdbae17afc78ae6fd2c607609e00	/workspace/artifacts/cache/port/entry_v2/events/HG/20210205.qre2
F	136	b035374772d1d82571f16d1a7c2b0003c3f40d53d19990c81f3a2044ddb618fa	/workspace/artifacts/cache/port/entry_v2/events/HG/20210207.qre2
F	40796784	fbc3bc7f264266c2f1976f4c9bb8914347f6d0526fe9df227ad8ca2a9d88992a	/workspace/artifacts/cache/port/entry_v2/events/HG/20210208.qre2
F	46551808	7833b915ff7090a7ce91531ac97ff58d46e160fd8567f79839477c51252cc3c0	/workspace/artifacts/cache/port/entry_v2/events/HG/20210209.qre2
F	52847572	18bee7c878989d637bff53fec01a7c977cf5204de9acd561f811618e80682aa4	/workspace/artifacts/cache/port/entry_v2/events/HG/20210210.qre2
F	32745040	3eaa4730f466824f9c78e48d473dac7ba8f69eee35b11b175ccb26aa1d9b776f	/workspace/artifacts/cache/port/entry_v2/events/HG/20210211.qre2
F	31262812	6cc8a31e37a08f760afd2a58fed291a14cf45133ab2feb0cb4324811c1218761	/workspace/artifacts/cache/port/entry_v2/events/HG/20210212.qre2
F	136	f266b99dcea189949790d66b647e6fb1fa63c1d7a2d1663f0b3a4f8384a11555	/workspace/artifacts/cache/port/entry_v2/events/HG/20210214.qre2
F	15867340	8c403dc27a4f873e760cfd7908f474b2fef2694a26a299ecbb6f1e81db6658c7	/workspace/artifacts/cache/port/entry_v2/events/HG/20210215.qre2
F	39585496	122bebb81e487ea9bd7e34df322269c22880fc37d67d7689f8af6a10e377c35e	/workspace/artifacts/cache/port/entry_v2/events/HG/20210216.qre2
F	36990020	89390cc3ba3ab279b17b573e7989c5f7ad06f2ed007ebad3ee386b5a99f27c55	/workspace/artifacts/cache/port/entry_v2/events/HG/20210217.qre2
