# PORT_M2_SHEETS_SPEC.md D-071 candidate-class census (P-M2b) (spec_sha16=19fedc9231ba9f0e)
# params_hash=b06bf2bc959dd30a995294063c92148aeaa9739e41db382805954746fbaee30d
# classes PARTITION the roster (one class per candidate, CC-M1-11.4 priority)
# conditional_value_usd = CC-M1-7.3 metric; peak column = the CC-M1-8 companion reading
# D-058 (R58): the pre-exam holdout (d8 >= 20250701) is EXCLUDED from GATE / ALL / the calendar-year blocks and appears ONLY under HOLDOUT_2025H2 (is_holdout_block=1), which is a quarantine tag and not a card any sheet may cite
# fires_per_session ships with its session-level dispersion (R55): sd / median / p10 / p90 and the count of sessions in which the class never fired
asset	class	era	n_sessions	n_candidates	n_positive	conditional_value_usd	mean_cert_usd	positive_frac	n_positive_peak	conditional_value_peak_usd	fires_per_session	n_winners	winner_frac	fires_per_session_sd	fires_per_session_median	fires_per_session_p10	fires_per_session_p90	n_sessions_with_zero_fires	is_holdout_block
HG	NEWS-WINDOW	E4	128	2109	957	697.253135	-26.458630	0.453770	2037	670.794674	16.476562	163	0.077288	11.229156	13.000000	6.000000	31.000000	0	0
HG	NEWS-WINDOW	E5	129	1827	904	460.507467	-14.619595	0.494800	1762	459.223893	14.162791	94	0.051450	8.275331	13.000000	5.000000	25.000000	0	0
HG	NEWS-WINDOW	E6	128	2086	956	629.590743	-28.277205	0.458293	2027	640.769610	16.296875	130	0.062320	11.445426	13.000000	6.000000	31.300000	0	0
HG	NEWS-WINDOW	E7	131	1516	678	617.243732	-45.493074	0.447230	1468	602.050409	11.572519	113	0.074538	7.935345	10.000000	4.000000	23.000000	1	0
HG	NEWS-WINDOW	E8	127	1654	714	1016.542367	-2.642080	0.431681	1573	882.952956	13.023622	184	0.111245	10.338297	10.000000	4.000000	25.000000	0	0
HG	NEWS-WINDOW	FIT	1021	13830	6289	680.471657	-35.558116	0.454736	13318	671.258635	13.545544	975	0.070499	9.213116	11.000000	5.000000	26.000000	1	0
HG	NEWS-WINDOW	GATE	127	1654	714	1016.542367	-2.642080	0.431681	1573	882.952956	13.023622	184	0.111245	10.338297	10.000000	4.000000	25.000000	0	0
HG	NEWS-WINDOW	HOLDOUT_2025H2	131	1496	622	995.502412	-18.494318	0.415775	1396	959.107271	11.419847	120	0.080214	10.233395	8.000000	3.000000	24.000000	1	1
HG	NEWS-WINDOW	PRE_E1	116	1376	634	794.487382	8.821766	0.460756	1323	731.763039	11.862069	114	0.082849	8.649601	10.000000	4.000000	24.500000	0	0
HG	OPEN-DYNAMICS	2021	247	1888	878	688.173405	-15.781912	0.465042	1803	862.269828	7.643725	142	0.075212	4.797801	6.000000	3.000000	14.000000	2	0
HG	OPEN-DYNAMICS	2022	258	2564	1162	731.596386	-39.979524	0.453198	2429	972.915294	9.937984	158	0.061622	4.881876	9.000000	5.000000	16.000000	0	0
HG	OPEN-DYNAMICS	2023	257	2561	1253	463.206305	-23.557204	0.489262	2478	714.014831	9.964981	82	0.032019	4.338547	9.000000	5.000000	15.000000	0	0
HG	OPEN-DYNAMICS	2024	259	2385	1102	586.833031	-31.609015	0.462055	2293	845.297100	9.208494	126	0.052830	6.057458	8.000000	4.000000	15.000000	1	0
HG	OPEN-DYNAMICS	2025	127	1459	644	892.661102	-14.561343	0.441398	1369	1131.198868	11.488189	127	0.087046	6.957771	10.000000	5.000000	21.000000	0	0
HG	OPEN-DYNAMICS	ALL	1148	10857	5039	646.218000	-26.643295	0.464125	10372	884.505399	9.457317	635	0.058488	5.416474	8.000000	4.000000	16.000000	3	0
HG	OPEN-DYNAMICS	E1	131	946	443	650.347065	-21.292283	0.468288	907	868.222161	7.221374	73	0.077167	4.566248	6.000000	3.000000	13.000000	2	0
HG	OPEN-DYNAMICS	E2	128	1224	564	777.180851	-23.004493	0.460784	1152	1063.158637	9.562500	89	0.072712	5.129427	8.000000	5.000000	16.000000	0	0
HG	OPEN-DYNAMICS	E3	130	1340	598	688.603679	-55.485075	0.446269	1277	891.505482	10.307692	69	0.051493	4.615186	10.000000	5.000000	16.000000	0	0
HG	OPEN-DYNAMICS	E4	128	1247	597	525.161223	-31.453488	0.478749	1206	824.016376	9.742188	47	0.037690	4.542444	9.000000	5.000000	15.000000	0	0
HG	OPEN-DYNAMICS	E5	129	1314	656	406.823552	-16.063546	0.499239	1272	609.720912	10.186047	35	0.026636	4.132129	10.000000	6.000000	15.200000	0	0
HG	OPEN-DYNAMICS	E6	128	1246	557	569.180880	-48.017657	0.447030	1204	794.039659	9.734375	61	0.048957	6.410479	9.000000	4.000000	16.300000	1	0
HG	OPEN-DYNAMICS	E7	131	1139	545	604.873853	-13.658911	0.478490	1089	901.967401	8.694656	65	0.057068	5.668934	8.000000	4.000000	13.000000	0	0
HG	OPEN-DYNAMICS	E8	127	1459	644	892.661102	-14.561343	0.441398	1369	1131.198868	11.488189	127	0.087046	6.957771	10.000000	5.000000	21.000000	0	0
HG	OPEN-DYNAMICS	FIT	1021	9398	4395	610.106655	-28.518967	0.467653	9003	846.993086	9.204701	508	0.054054	5.141356	8.000000	4.000000	15.000000	3	0
HG	OPEN-DYNAMICS	GATE	127	1459	644	892.661102	-14.561343	0.441398	1369	1131.198868	11.488189	127	0.087046	6.957771	10.000000	5.000000	21.000000	0	0
HG	OPEN-DYNAMICS	HOLDOUT_2025H2	131	1386	607	859.178336	-50.459055	0.437951	1318	1152.791161	10.580153	84	0.060606	9.154196	9.000000	3.000000	17.000000	2	1
HG	OPEN-DYNAMICS	PRE_E1	116	942	435	726.695402	-10.248142	0.461783	896	856.244420	8.120690	69	0.073248	5.023692	7.000000	3.000000	15.000000	0	0
HG	RECLAIM	2021	247	2946	1383	553.622560	-39.292261	0.469450	2811	771.294023	11.927126	134	0.045485	8.360449	10.000000	3.000000	22.400000	5	0
HG	RECLAIM	2022	258	4769	2141	618.969524	-46.419847	0.448941	4549	817.368927	18.484496	326	0.068358	10.849239	17.000000	7.000000	32.000000	0	0
HG	RECLAIM	2023	257	4029	1861	446.481059	-31.586932	0.461901	3888	569.371463	15.677043	137	0.034003	8.641785	14.000000	6.000000	25.000000	2	0
HG	RECLAIM	2024	259	3846	1810	514.437155	-19.003185	0.470619	3665	705.059686	14.849421	186	0.048362	10.617582	13.000000	4.000000	26.000000	2	0
HG	RECLAIM	2025	127	2004	918	783.419118	-7.133234	0.458084	1914	1037.871604	15.779528	157	0.078343	13.592081	14.000000	4.000000	27.400000	1	0
HG	RECLAIM	ALL	1148	17594	8113	563.550475	-31.361615	0.461123	16827	752.990135	15.325784	940	0.053427	10.417198	14.000000	5.000000	27.000000	10	0
HG	RECLAIM	E1	131	1692	799	500.139237	-65.738032	0.472222	1621	724.221931	12.916031	65	0.038416	7.706180	12.000000	4.000000	22.000000	1	0
HG	RECLAIM	E2	128	2653	1191	606.812552	-60.922541	0.448926	2523	854.621482	20.726562	175	0.065963	11.891713	19.000000	7.700000	38.000000	0	0
HG	RECLAIM	E3	130	2116	950	634.210526	-28.236649	0.448960	2026	770.977912	16.276923	151	0.071361	9.240134	14.500000	6.000000	27.100000	0	0
HG	RECLAIM	E4	128	1992	926	523.934935	-32.776732	0.464859	1931	654.564345	15.562500	77	0.038655	8.354121	15.000000	6.000000	25.600000	2	0
HG	RECLAIM	E5	129	2037	935	369.772727	-30.423417	0.459008	1957	485.310424	15.790698	60	0.029455	8.949227	14.000000	6.000000	25.000000	0	0
HG	RECLAIM	E6	128	2192	1055	493.904028	-15.621008	0.481296	2087	695.485146	17.125000	99	0.045164	12.298774	14.500000	5.000000	31.300000	1	0
HG	RECLAIM	E7	131	1654	755	543.129139	-23.485490	0.456469	1578	717.722592	12.625954	87	0.052600	8.116778	11.000000	4.000000	24.000000	1	0
HG	RECLAIM	E8	127	2004	918	783.419118	-7.133234	0.458084	1914	1037.871604	15.779528	157	0.078343	13.592081	14.000000	4.000000	27.400000	1	0
HG	RECLAIM	FIT	1021	15590	7195	535.497741	-34.476026	0.461514	14913	716.427194	15.269344	783	0.050225	9.958883	14.000000	5.000000	27.000000	9	0
HG	RECLAIM	GATE	127	2004	918	783.419118	-7.133234	0.458084	1914	1037.871604	15.779528	157	0.078343	13.592081	14.000000	4.000000	27.400000	1	0
HG	RECLAIM	HOLDOUT_2025H2	131	1900	839	742.549166	-12.371711	0.441579	1811	980.505246	14.503817	108	0.056842	11.014937	13.000000	2.000000	29.000000	7	1
HG	RECLAIM	PRE_E1	116	1254	584	626.795805	-3.609450	0.465710	1190	835.414916	10.810345	69	0.055024	8.945160	9.000000	2.000000	23.000000	4	0
HG	REVERSAL-CONFIRMATION	2021	247	86133	39963	545.971211	-19.580286	0.463969	82096	837.524225	348.716599	4306	0.049992	144.803177	319.000000	213.200000	493.600000	0	0
HG	REVERSAL-CONFIRMATION	2022	258	100114	45181	574.055217	-38.216695	0.451296	95104	860.878275	388.038760	5225	0.052191	126.735817	358.500000	277.000000	529.600000	0	0
HG	REVERSAL-CONFIRMATION	2023	257	94822	44749	405.413082	-21.561887	0.471926	91012	627.422716	368.957198	2900	0.030584	83.528778	361.000000	278.000000	474.800000	0	0
HG	REVERSAL-CONFIRMATION	2024	259	97267	45011	468.912766	-27.984992	0.462757	93016	747.700812	375.548263	3910	0.040199	147.332774	335.000000	243.600000	522.400000	0	0
HG	REVERSAL-CONFIRMATION	2025	127	51949	22962	694.077824	-23.161322	0.442010	49264	992.378664	409.047244	3190	0.061406	195.375254	384.000000	231.200000	590.200000	0	0
HG	REVERSAL-CONFIRMATION	ALL	1148	430285	197866	520.253675	-26.685336	0.459849	410492	794.583168	374.812718	19531	0.045391	138.031075	348.000000	243.000000	521.000000	0	0
HG	REVERSAL-CONFIRMATION	E1	131	43387	20067	516.835601	-32.647250	0.462512	41164	836.996496	331.198473	2007	0.046258	98.974544	319.000000	222.000000	444.000000	0	0
HG	REVERSAL-CONFIRMATION	E2	128	50927	22792	601.110971	-44.393519	0.447543	48222	917.322410	397.867188	2802	0.055020	156.234448	356.000000	267.400000	577.500000	0	0
HG	REVERSAL-CONFIRMATION	E3	130	49187	22389	546.512461	-31.821365	0.455181	46882	802.820832	378.361538	2423	0.049261	88.195432	362.000000	282.900000	504.200000	0	0
HG	REVERSAL-CONFIRMATION	E4	128	49452	23025	465.232356	-26.637649	0.465603	47314	709.826875	386.343750	1954	0.039513	95.329221	374.000000	277.700000	507.400000	0	0
HG	REVERSAL-CONFIRMATION	E5	129	45370	21724	342.011370	-16.029452	0.478819	43698	538.199632	351.705426	946	0.020851	65.842307	340.000000	279.600000	432.400000	0	0
HG	REVERSAL-CONFIRMATION	E6	128	51269	23811	467.774400	-28.030364	0.464433	49187	740.959425	400.539062	1912	0.037293	176.428384	351.500000	241.700000	596.000000	0	0
HG	REVERSAL-CONFIRMATION	E7	131	45998	21200	470.191333	-27.934421	0.460890	43829	755.266319	351.129771	1998	0.043437	107.030362	325.000000	245.000000	464.000000	0	0
HG	REVERSAL-CONFIRMATION	E8	127	51949	22962	694.077824	-23.161322	0.442010	49264	992.378664	409.047244	3190	0.061406	195.375254	384.000000	231.200000	590.200000	0	0
HG	REVERSAL-CONFIRMATION	FIT	1021	378336	174904	497.433442	-27.169216	0.462298	361228	767.607969	370.554358	16341	0.043192	128.629046	346.000000	244.000000	505.000000	0	0
HG	REVERSAL-CONFIRMATION	GATE	127	51949	22962	694.077824	-23.161322	0.442010	49264	992.378664	409.047244	3190	0.061406	195.375254	384.000000	231.200000	590.200000	0	0
HG	REVERSAL-CONFIRMATION	HOLDOUT_2025H2	131	50135	21618	722.382563	-30.871273	0.431196	47306	1022.511441	382.709924	2700	0.053855	245.109410	324.000000	108.000000	640.000000	0	1
HG	REVERSAL-CONFIRMATION	PRE_E1	116	42746	19896	575.357233	-6.317375	0.465447	40932	838.054945	368.500000	2299	0.053783	181.755713	323.500000	203.000000	609.500000	0	0
HG	SHOCK-RESOLUTION	2021	247	41	15	772.500000	-200.884146	0.365854	40	926.250000	0.165992	1	0.024390	0.928751	0.000000	0.000000	0.000000	227	0
HG	SHOCK-RESOLUTION	2022	258	48	17	945.735294	-187.942708	0.354167	43	1392.529070	0.186047	5	0.104167	0.976514	0.000000	0.000000	0.000000	237	0
HG	SHOCK-RESOLUTION	2023	257	13	3	526.250000	-548.269231	0.230769	12	585.104167	0.050584	0	0.000000	0.406694	0.000000	0.000000	0.000000	249	0
HG	SHOCK-RESOLUTION	2024	259	9	4	1185.625000	115.138889	0.444444	8	1645.000000	0.034749	1	0.111111	0.183498	0.000000	0.000000	0.000000	250	0
HG	SHOCK-RESOLUTION	2025	127	111	33	2097.083333	-10.686937	0.297297	100	1774.312500	0.874016	8	0.072072	5.841820	0.000000	0.000000	1.000000	104	0
HG	SHOCK-RESOLUTION	ALL	1148	222	72	1433.194444	-110.518018	0.324324	203	1450.942118	0.193380	15	0.067568	2.062466	0.000000	0.000000	0.000000	1067	0
HG	SHOCK-RESOLUTION	E1	131	13	4	184.062500	-456.442308	0.307692	12	363.229167	0.099237	0	0.000000	0.347628	0.000000	0.000000	0.000000	120	0
HG	SHOCK-RESOLUTION	E2	128	24	4	932.500000	-570.364583	0.166667	22	1620.000000	0.187500	1	0.041667	1.227955	0.000000	0.000000	0.000000	123	0
HG	SHOCK-RESOLUTION	E3	130	24	13	949.807692	194.479167	0.541667	21	1154.226190	0.184615	4	0.166667	0.644411	0.000000	0.000000	1.000000	114	0
HG	SHOCK-RESOLUTION	E4	128	12	3	526.250000	-555.000000	0.250000	11	630.227273	0.093750	0	0.000000	0.567319	0.000000	0.000000	0.000000	121	0
HG	SHOCK-RESOLUTION	E5	129	1	0		-467.500000	0.000000	1	88.750000	0.007752	0	0.000000	0.088045	0.000000	0.000000	0.000000	128	0
HG	SHOCK-RESOLUTION	E6	128	5	2	423.125000	-267.500000	0.400000	5	790.000000	0.039062	0	0.000000	0.194505	0.000000	0.000000	0.000000	123	0
HG	SHOCK-RESOLUTION	E7	131	4	2	1948.125000	593.437500	0.500000	3	3070.000000	0.030534	1	0.250000	0.172713	0.000000	0.000000	0.000000	127	0
HG	SHOCK-RESOLUTION	E8	127	111	33	2097.083333	-10.686937	0.297297	100	1774.312500	0.874016	8	0.072072	5.841820	0.000000	0.000000	1.000000	104	0
HG	SHOCK-RESOLUTION	FIT	1021	111	39	871.442308	-210.349099	0.351351	103	1136.990291	0.108717	7	0.063063	0.709137	0.000000	0.000000	0.000000	963	0
HG	SHOCK-RESOLUTION	GATE	127	111	33	2097.083333	-10.686937	0.297297	100	1774.312500	0.874016	8	0.072072	5.841820	0.000000	0.000000	1.000000	104	0
HG	SHOCK-RESOLUTION	HOLDOUT_2025H2	131	133	50	1678.125000	114.031955	0.375940	122	1684.241803	1.015267	9	0.067669	3.466288	0.000000	0.000000	2.000000	104	1
HG	SHOCK-RESOLUTION	PRE_E1	116	28	11	986.477273	-82.232143	0.392857	28	1167.544643	0.241379	1	0.035714	1.302978	0.000000	0.000000	0.000000	107	0
NKD	ALL_CLASSES	2021	248	92439	39778	583.500239	-48.236486	0.430316	84415	843.163537	372.737903	4728	0.051147	228.988004	309.500000	174.700000	663.200000	0	0
NKD	ALL_CLASSES	2022	258	107609	46863	588.306020	-52.279386	0.435493	99160	820.087989	417.089147	5606	0.052096	189.997040	366.500000	232.400000	650.500000	0	0
NKD	ALL_CLASSES	2023	258	93616	41737	540.595635	-41.933056	0.445832	87202	778.609751	362.852713	4555	0.048656	152.071384	345.500000	188.700000	562.600000	0	0
NKD	ALL_CLASSES	2024	259	105862	43192	888.146300	-43.468832	0.408003	97051	1166.696711	408.733591	7265	0.068627	227.807451	360.000000	229.000000	613.000000	0	0
NKD	ALL_CLASSES	2025	127	59610	22592	1033.411827	-65.192921	0.378997	55068	1251.388238	469.370079	3565	0.059805	414.290095	334.000000	180.800000	914.800000	0	0
NKD	ALL_CLASSES	ALL	1150	459136	194162	695.557073	-49.000988	0.422886	422896	951.847340	399.248696	25719	0.056016	236.807952	349.500000	197.000000	640.000000	0	0
NKD	ALL_CLASSES	E1	131	52113	22358	594.733317	-45.422255	0.429029	47695	851.221040	397.809160	2478	0.047551	250.900842	324.000000	188.000000	695.000000	0	0
NKD	ALL_CLASSES	E2	128	59925	25806	660.556944	-60.684814	0.430638	54973	900.434259	468.164062	3722	0.062111	223.195468	401.000000	236.700000	754.600000	0	0
NKD	ALL_CLASSES	E3	130	47684	21057	499.760293	-41.716194	0.441595	44187	720.129280	366.800000	1884	0.039510	133.180381	344.000000	229.200000	540.400000	0	0
NKD	ALL_CLASSES	E4	129	42690	19035	509.117415	-39.947587	0.445889	39570	737.737238	330.930233	1808	0.042352	163.981906	289.000000	166.600000	564.800000	0	0
NKD	ALL_CLASSES	E5	129	50926	22702	566.989252	-43.597426	0.445784	47632	812.564347	394.775194	2747	0.053941	132.242216	379.000000	268.200000	562.400000	0	0
NKD	ALL_CLASSES	E6	128	50947	21936	696.135120	-52.413979	0.430565	46943	960.743295	398.023438	3352	0.065794	122.899899	388.500000	262.500000	552.000000	0	0
NKD	ALL_CLASSES	E7	131	54915	21256	1086.300104	-35.170036	0.387071	50108	1359.641375	419.198473	3913	0.071256	296.673128	336.000000	212.000000	636.000000	0	0
NKD	ALL_CLASSES	E8	127	59610	22592	1033.411827	-65.192921	0.378997	55068	1251.388238	469.370079	3565	0.059805	414.290095	334.000000	180.800000	914.800000	0	0
NKD	ALL_CLASSES	FIT	1023	399526	171570	651.069024	-46.585122	0.429434	367828	907.002689	390.543500	22154	0.055451	202.975599	350.000000	198.200000	621.800000	0	0
NKD	ALL_CLASSES	GATE	127	59610	22592	1033.411827	-65.192921	0.378997	55068	1251.388238	469.370079	3565	0.059805	414.290095	334.000000	180.800000	914.800000	0	0
NKD	ALL_CLASSES	HOLDOUT_2025H2	131	52558	21163	1032.835491	-13.356245	0.402660	48309	1251.879670	401.206107	3842	0.073100	189.922969	364.000000	222.000000	598.000000	0	1
NKD	ALL_CLASSES	PRE_E1	117	40326	17420	569.082951	-51.873295	0.431979	36720	832.697781	344.666667	2250	0.055795	198.992549	293.000000	170.600000	534.800000	0	0
NKD	LEVEL-FIRST-TEST	2021	248	1309	566	643.233216	-49.661956	0.432391	1194	920.219849	5.278226	76	0.058060	1.090634	5.000000	4.000000	7.000000	0	0
NKD	LEVEL-FIRST-TEST	2022	258	1480	643	620.622084	-49.349662	0.434459	1379	1024.115301	5.736434	76	0.051351	0.869003	6.000000	5.000000	7.000000	0	0
NKD	LEVEL-FIRST-TEST	2023	258	1446	636	677.507862	-30.769364	0.439834	1360	957.077206	5.604651	97	0.067082	0.969725	6.000000	4.000000	7.000000	0	0
NKD	LEVEL-FIRST-TEST	2024	259	1440	624	975.789263	-14.800347	0.433333	1339	1353.355116	5.559846	122	0.084722	0.901812	6.000000	4.000000	7.000000	0	0
NKD	LEVEL-FIRST-TEST	2025	127	705	283	817.349823	-119.219858	0.401418	661	1209.580182	5.551181	39	0.055319	1.005609	6.000000	4.000000	7.000000	0	0
NKD	LEVEL-FIRST-TEST	ALL	1150	6380	2752	739.181504	-45.125392	0.431348	5933	1082.807602	5.547826	410	0.064263	0.976160	6.000000	4.000000	7.000000	0	0
NKD	LEVEL-FIRST-TEST	E1	131	714	298	639.588926	-75.500700	0.417367	655	902.175573	5.450382	35	0.049020	1.039332	5.000000	4.000000	7.000000	0	0
NKD	LEVEL-FIRST-TEST	E2	128	725	297	730.269360	-89.741379	0.409655	663	1125.222474	5.664062	48	0.066207	0.835034	6.000000	5.000000	7.000000	0	0
NKD	LEVEL-FIRST-TEST	E3	130	755	346	526.502890	-10.562914	0.458278	716	930.492318	5.807692	28	0.037086	0.898717	6.000000	5.000000	7.000000	0	0
NKD	LEVEL-FIRST-TEST	E4	129	719	320	629.609375	-18.230181	0.445063	669	906.976831	5.573643	47	0.065369	0.998242	6.000000	4.000000	7.000000	0	0
NKD	LEVEL-FIRST-TEST	E5	129	727	316	726.012658	-43.170564	0.434663	691	1005.582489	5.635659	50	0.068776	0.943216	6.000000	4.800000	7.000000	0	0
NKD	LEVEL-FIRST-TEST	E6	128	711	306	854.272876	-53.470464	0.430380	666	1185.878378	5.554688	57	0.080169	0.937484	6.000000	4.000000	7.000000	0	0
NKD	LEVEL-FIRST-TEST	E7	131	729	318	1092.720126	22.914952	0.436214	673	1519.089896	5.564885	65	0.089163	0.869122	6.000000	5.000000	7.000000	0	0
NKD	LEVEL-FIRST-TEST	E8	127	705	283	817.349823	-119.219858	0.401418	661	1209.580182	5.551181	39	0.055319	1.005609	6.000000	4.000000	7.000000	0	0
NKD	LEVEL-FIRST-TEST	FIT	1023	5675	2469	730.221750	-35.920705	0.435066	5272	1066.912936	5.547410	371	0.065374	0.972946	6.000000	4.000000	7.000000	0	0
