# PORT_M2_SHEETS_SPEC.md §4 [P-M2a] 30-sheet pilot (spec_sha16=c45371dbd6ad2995)
# params_hash=6d0cd928cd3f06ba5610256aa1362694d2bf621ae524495ba1e8e890eee290e8
# one row per pilot sheet; tokens are the M2-PROXY-2 proxy (no BPE tokenizer on this host)
cid	asset	era	phase	family	trade_date	decision_ts	certified	n_failed_sections	n_leak_refusals	tokens_proxy	chars	lines	appendix_tokens	sheet_sha256	appendix_sha256	wall_sec	tok_S1	tok_S2	tok_S3	tok_S4	tok_S5	tok_S6	tok_S7	tok_S8	tok_S9	tok_S10	tok_S11	tok_S12	tok_S13	rows_S1	rows_S2	rows_S3	rows_S4	rows_S5	rows_S6	rows_S7	rows_S8	rows_S9	rows_S10	rows_S11	rows_S12	rows_S13
HG-20231018-036968-L	HG	E5	LONDON	G2_RECLAIM	2023-10-18	1697616968	1	0	0	7384	18369	263	441	313104972b4066b7b9ed523c32b2f98c50c4b17a1a72fbeeaea7fec768881c24	f02596d75b3d85b0eb48b5662f48896ad629bcaa0eeb651cc4bf0fd1bea97b2f	4.20	558	210	639	677	293	2979	202	404	239	226	141	530	274	24	6	19	19	10	102	6	20	9	7	5	16	8
HG-20240325-057659-L	HG	E6	NY	NEWS_WINDOW	2024-03-25	1711375259	1	0	0	7370	18353	263	443	306e9295b210301abef59dfccdc3318d0e05474a1ae5f255dfe3c98d827727d9	3a19c115c67169b702d3af33cae12d65157bb8a31a199441887a38db10aa401c	3.98	556	211	657	645	291	2976	204	402	237	238	140	529	272	24	6	19	19	10	102	6	19	9	8	5	16	8
HG-20241008-019960-L	HG	E7	TOKYO	MICRO_OPEN	2024-10-08	1728358360	1	0	0	7426	18483	266	460	d2cae58ae154cfe701fe62a936d7c01068e6dddf93dadc55d62bc9657bcdccf8	af6d13ea9934b473a2b989be60e301de08aaca9b32d14ddb2fc08ffa2aadb550	3.85	560	211	628	703	290	2943	202	522	243	169	143	532	268	24	6	19	19	10	102	6	24	9	6	5	16	8
HG-20250411-036369-L	HG	E8	LONDON	POST_SHOCK	2025-04-11	1744358769	1	0	0	7376	18505	264	456	cf8fbd2f6f15fac94b5b8171a10cfe912fae653e838a96bfaaa8ba7ff1012e2a	5f8ef0bb97abbf527cf4383416df1a4d4c82702065945c489dfc3126ba7b224f	3.89	562	213	638	658	287	2941	202	401	246	238	141	563	274	24	6	19	19	10	102	6	20	9	7	5	17	8
HG-20210924-052107-S	HG	E1	NY	G1	2021-09-24	1632486507	1	0	0	7301	18386	264	504	87b74efe5547576948fcb9af3900b615cc65f4d3f09a8e703b228f35d654a8eb	eeb9e9a2e965119a6f4aeba4958ecbfb392072e654f8a1f2abe770c495d786b8	1.04	554	212	631	615	289	2936	205	400	240	264	143	534	266	24	6	19	19	10	102	6	20	9	8	5	16	8
HG-20220401-029521-S	HG	E2	TOKYO	G1_FINE	2022-04-01	1648793521	1	0	0	7303	18330	264	501	ce3c99446c13d1c9d60fc7e39770aa5039c7c53b96778a067a5a38c84886f3d1	76e61135182c361ab4628de7655a9df60d61bf8e0e882be73254fb2cd7d6dad0	0.72	561	210	634	667	293	2913	205	460	239	169	139	529	272	24	6	19	19	10	102	6	22	9	6	5	16	8
NKD-20211001-023032-S	NKD	E1	TOKYO	G1	2021-10-01	1633062232	1	0	0	7392	18505	260	459	0bad0c1fccd89514cea1e11110055432851d2f8d166e13f6fd7c319562f73588	c183d314ce60614218473db2d867482b0ddf9703260e8249ae260283ab64f4b5	3.69	559	212	667	770	294	2937	202	380	244	191	142	516	266	24	6	19	21	10	102	6	17	9	6	5	15	8
NKD-20220323-043404-L	NKD	E2	LONDON	G1_FINE	2022-03-23	1648029804	1	0	0	7414	18491	259	468	d7243215f62b8e803c6533b82d213e3fe9547136c0cf12e3d69569761fa48377	d255a5ae929c26f09080180b8770271545c096deca4ccdfab0cdef058b23bc5a	4.19	568	211	649	807	293	2949	201	315	240	247	139	511	272	24	6	19	21	10	102	6	15	9	7	5	15	8
NKD-20220929-046862-L	NKD	E3	NY	G1_FAST_OPEN	2022-09-29	1664449262	1	0	0	7294	18411	257	457	644c541c144ae6d92d558f96cbd4a72a614842cecc25f1bc711a353f737c269c	39330f6e93b0904f20e2afbe401b2f188d28c96b73bdb511802d5486714d8bec	3.90	558	212	666	745	291	2908	202	229	239	298	140	516	278	24	6	19	21	10	102	6	12	9	8	5	15	8
NKD-20230428-021744-S	NKD	E4	TOKYO	G2_REJECT	2023-04-28	1682654544	1	0	0	7441	18758	266	455	4c9bd49d6a36ea56e71f30469a68dd321698d41390ed71b89fa1b9147c565b33	75acfd7ebd3ec8fb4640c1aab9b2a7f76e4434cc888edd4292fd1651b77cab88	4.31	567	212	676	758	296	2882	204	422	242	191	137	495	347	24	6	19	21	10	102	6	21	9	6	5	15	10
NKD-20231002-043855-L	NKD	E5	LONDON	G2_RECLAIM	2023-10-02	1696241455	1	0	0	7287	18401	260	453	d5f47f52c6baa5031107412dee7463b45b1e87b1bfed319142264b1701bde410	b04c8b9cb205422ea7e0588266fe70ff0e45b80dea6959c92818ca207c89ba3e	4.20	569	211	655	784	292	2855	206	348	240	196	143	501	275	24	6	19	21	10	102	6	16	9	7	5	15	8
NKD-20240410-052668-L	NKD	E6	NY	NEWS_WINDOW	2024-04-10	1712752668	1	0	0	7497	18706	266	487	332e5d599395e31fe507e6414e9bf4f74328d047f3e41919ea66642d859cc65a	4ad11acce195c2f68261b137d81a5f84abd3a85dc29103b5a3acdaba226d1989	3.84	561	212	647	769	296	2861	206	452	245	292	143	528	273	24	6	19	21	10	100	6	22	9	8	5	16	8
NKD-20240920-019860-L	NKD	E7	TOKYO	MICRO_OPEN	2024-09-20	1726803060	1	0	0	7189	18334	257	500	c06758725fc3579c5217ca61078f90f5fb71c060b80fcdb6748c3ff6f18e4059	2910036abffdeeeb92412e3d8a0a1e524cc89f3cc8ee9cf097592c9c5a60148d	3.95	560	212	678	737	291	2856	204	291	241	197	139	502	269	24	6	19	21	10	102	6	14	9	6	5	15	8
NKD-20250409-036346-S	NKD	E8	LONDON	POST_SHOCK	2025-04-09	1744185946	1	0	0	7503	18650	265	471	ee555b268e15c49a0a9b805b062349b0c5c440851676db2cb72d3fd0be1103b0	4815ae6b519f4ea0abccd3d22864f231f62a8a59df9d64b4703f3641586fb46d	3.95	561	213	680	744	291	2943	205	453	249	247	139	494	272	24	6	19	21	10	101	6	22	9	7	5	15	8
NKD-20211019-059971-S	NKD	E1	NY	FIRST_TEST	2021-10-19	1634654371	1	0	0	7339	18654	261	419	55593416a7d22cb53419dd3a48d358ac5ec708419eb124f85ea6608fdb0c6251	11b45c87d7a043f1c3ff02a007859c1261f88af52772fd2e149065d6ca93624a	1.54	566	213	635	775	297	2842	206	288	239	270	141	507	348	24	6	19	21	10	102	6	14	9	8	5	15	10
NKD-20220309-006843-S	NKD	E2	TOKYO	G1	2022-03-09	1646787243	1	0	0	7309	18356	258	470	501a213cdb898e77a77d16b6896aeaea6a507c6802692165fa7a95de743e661b	30bdbb61e0aad27f372951ecaec5af0a58b8e032b20d63975f90a8416d56cfc0	1.33	559	213	646	774	292	2943	205	310	243	197	140	509	266	24	6	19	21	10	102	6	15	9	6	5	15	8
