# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# the per-session identity: bar - realised = opportunity + recoverable - surplus
judge	session	era	asset	realised_usd	ceiling_usd	bar_usd	recoverable_usd	opportunity_usd	surplus_usd
CELL1_FIX2_FT2_RANDOM	HG|20220824	E3	HG	660.000000	2010.000000	2000.000000	1340.000000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220825	E3	HG	572.500000	1747.500000	2000.000000	1175.000000	252.500000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220826	E3	HG	-546.250000	4278.750000	2000.000000	2546.250000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220829	E3	HG	1203.750000	3116.250000	2000.000000	796.250000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220830	E3	HG	566.250000	2478.750000	2000.000000	1433.750000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220831	E3	HG	-846.250000	4922.500000	2000.000000	2846.250000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220901	E3	HG	153.750000	2885.000000	2000.000000	1846.250000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220902	E3	HG	622.500000	1935.000000	2000.000000	1312.500000	65.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220905	E3	HG	-290.000000	2947.500000	2000.000000	2290.000000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220906	E3	HG	-765.000000	2622.500000	2000.000000	2765.000000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220907	E3	HG	797.500000	2253.750000	2000.000000	1202.500000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220908	E3	HG	1266.250000	3528.750000	2000.000000	733.750000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220909	E3	HG	172.500000	3110.000000	2000.000000	1827.500000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220912	E3	HG	1241.250000	2835.000000	2000.000000	758.750000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220913	E3	HG	191.250000	5241.250000	2000.000000	1808.750000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220914	E3	HG	603.750000	1103.750000	2000.000000	500.000000	896.250000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220915	E3	HG	291.250000	2935.000000	2000.000000	1708.750000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220916	E3	HG	-1015.000000	3385.000000	2000.000000	3015.000000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220919	E3	HG	-890.000000	2872.500000	2000.000000	2890.000000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220920	E3	HG	816.250000	2010.000000	2000.000000	1183.750000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220921	E3	HG	347.500000	2116.250000	2000.000000	1652.500000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220922	E3	HG	-608.750000	3210.000000	2000.000000	2608.750000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220923	E3	HG	-915.000000	3878.750000	2000.000000	2915.000000	0.000000	0.000000
CELL1_FIX2_FT2_RANDOM	HG|20220926	E3	HG	335.000000	4272.500000	2000.000000	1665.000000	0.000000	0.000000
