# PORT_M1_SPEC.md §10 FAMILY DISCOVERY CENSUS (D-055) (spec_sha16=81ea7f84a085e4bb)
# params_hash=48d590fc8f22ad4b70be3be0c7152295dcf8e670cba41bb8dd436b5a76560484
# holm_family_size = multiplicity_m() = marginals + 2-way; the miner tests exactly this many cells
asset	g1_conditional_value_fit_usd	g1_conditional_value_peak_fit_usd	n_marginal_cells	n_twoway_cells	holm_family_size	n_holm_rejected	n_promoted
SI	817.065636	1040.395296	71	993	1064	245	152
HG	496.085672	774.132743	72	1014	1086	336	136
NKD	649.893856	923.934603	72	1080	1152	361	201
