# PORT_M1_SPEC.md §10 FAMILY DISCOVERY CENSUS (D-055) (spec_sha16=81ea7f84a085e4bb)
# params_hash=48d590fc8f22ad4b70be3be0c7152295dcf8e670cba41bb8dd436b5a76560484
# one row per session: window/episode counters and the slice-miner session context
asset	trade_date	year	open_utc	dow	insane_frac	n_base_candidates	n_new_candidates	n_g1_confirmations	n_g2_confirmations	n_conf_in_fd1	n_conf_in_fd2	n_conf_in_fd3	n_shock_episodes	n_insane_episodes	n_fd4_triggers	fd4_latency_median_sec	n_fd5_tags	n_fd6_tags	n_base_keys_reconstructed
SI	2021-06-16	2021	1623794400	2	0.000000	559	225	496	108	36	6	80	2	0	2	8.500000	5	544	559
SI	2021-06-17	2021	1623880800	3	0.000000	671	135	608	92	33	13	30	0	0	0		5	631	671
SI	2021-06-18	2021	1623967200	4	0.000000	492	95	442	90	15	11	30	0	0	0		5	483	492
SI	2021-06-21	2021	1624226400	0	0.000000	417	64	378	79	11	17	13	1	0	1	21.000000	3	61	417
SI	2021-06-22	2021	1624312800	1	0.000000	272	38	232	60	8	4	9	0	0	0		4	65	272
SI	2021-06-23	2021	1624399200	2	0.000000	260	29	226	54	9	3	4	0	0	0		4	83	260
SI	2021-06-24	2021	1624485600	3	0.000000	247	40	216	52	7	5	11	0	0	0		4	31	247
SI	2021-06-25	2021	1624572000	4	0.000000	270	54	247	63	8	3	18	0	0	0		5	74	270
SI	2021-06-28	2021	1624831200	0	0.000000	316	44	283	82	11	4	9	0	0	0		5	76	316
SI	2021-06-29	2021	1624917600	1	0.000000	348	43	299	75	5	15	9	0	0	0		5	23	348
SI	2021-06-30	2021	1625004000	2	0.000000	319	52	263	83	9	2	16	0	0	0		5	30	319
SI	2021-07-01	2021	1625090400	3	0.000000	352	59	298	103	8	5	19	0	0	0		5	118	352
SI	2021-07-02	2021	1625176800	4	0.000000	347	108	303	131	6	5	47	0	0	0		5	201	347
SI	2021-07-05	2021	1625436000	0	0.000000	191	14	170	36	2	2	4	0	0	0		3	7	191
SI	2021-07-06	2021	1625522400	1	0.000000	495	65	424	215	5	12	22	0	0	0		5	250	495
SI	2021-07-07	2021	1625608800	2	0.000000	366	51	339	52	10	8	12	0	0	0		5	275	366
SI	2021-07-08	2021	1625695200	3	0.000000	479	72	412	156	15	10	16	0	0	0		5	186	479
SI	2021-07-09	2021	1625781600	4	0.000000	292	40	258	60	8	2	11	0	0	0		5	96	292
SI	2021-07-12	2021	1626040800	0	0.000000	301	38	268	54	7	4	10	0	0	0		5	159	301
SI	2021-07-13	2021	1626127200	1	0.000000	383	110	332	75	6	9	49	0	0	0		4	121	383
SI	2021-07-14	2021	1626213600	2	0.000000	414	94	367	117	11	11	31	0	0	0		5	217	414
SI	2021-07-15	2021	1626300000	3	0.000000	297	47	266	71	9	1	14	0	0	0		3	6	297
SI	2021-07-16	2021	1626386400	4	0.000000	517	68	458	126	14	6	17	0	0	0		5	307	517
