# PORT_M1_SPEC.md §10 FAMILY DISCOVERY CENSUS (D-055) (spec_sha16=a7b18471e6eaefe4)
# params_hash=48d590fc8f22ad4b70be3be0c7152295dcf8e670cba41bb8dd436b5a76560484
# CC-M1-3.2(iii): seat share over sessions where the family has at least one candidate
asset	family	era	n_eligible_sessions	n_seats_with_family	n_seats_total	seat_share
SI	FD1_CLOSE_15	ALL	1171	74	3644	0.020307
SI	FD1_CLOSE_15	FIT_2021_2024	914	48	2830	0.016961
SI	FD1_CLOSE_15	GATE_2025	257	26	814	0.031941
SI	FD1_CLOSE_60	ALL	1170	39	3641	0.010711
SI	FD1_CLOSE_60	FIT_2021_2024	913	27	2827	0.009551
SI	FD1_CLOSE_60	GATE_2025	257	12	814	0.014742
SI	FD2_MICRO_OPEN	ALL	1161	24	3613	0.006643
SI	FD2_MICRO_OPEN	FIT_2021_2024	904	17	2800	0.006071
SI	FD2_MICRO_OPEN	GATE_2025	257	7	813	0.008610
SI	FD3_NEWS_15	ALL	1173	55	3649	0.015073
SI	FD3_NEWS_15	FIT_2021_2024	916	44	2836	0.015515
SI	FD3_NEWS_15	GATE_2025	257	11	813	0.013530
SI	FD3_NEWS_60	ALL	1173	50	3649	0.013702
SI	FD3_NEWS_60	FIT_2021_2024	916	42	2836	0.014810
SI	FD3_NEWS_60	GATE_2025	257	8	813	0.009840
SI	FD4_POST_SHOCK	ALL	348	9	1095	0.008219
SI	FD4_POST_SHOCK	FIT_2021_2024	214	0	663	0.000000
SI	FD4_POST_SHOCK	GATE_2025	134	9	432	0.020833
SI	FD5_FIRST_TEST	ALL	1174	95	3652	0.026013
SI	FD5_FIRST_TEST	FIT_2021_2024	916	77	2836	0.027151
SI	FD5_FIRST_TEST	GATE_2025	258	18	816	0.022059
SI	FD5_FIRST_TEST_VIRGIN	ALL	1168	71	3634	0.019538
SI	FD5_FIRST_TEST_VIRGIN	FIT_2021_2024	910	55	2818	0.019517
SI	FD5_FIRST_TEST_VIRGIN	GATE_2025	258	16	816	0.019608
SI	FD6_EXHAUSTION	ALL	1164	1115	3622	0.307841
SI	FD6_EXHAUSTION	FIT_2021_2024	911	887	2821	0.314428
SI	FD6_EXHAUSTION	GATE_2025	253	228	801	0.284644
SI	FD6_EXHAUSTION_ANY	ALL	1164	1115	3622	0.307841
SI	FD6_EXHAUSTION_ANY	FIT_2021_2024	911	887	2821	0.314428
SI	FD6_EXHAUSTION_ANY	GATE_2025	253	228	801	0.284644
SI	G1	ALL	1174	586	3652	0.160460
SI	G1	FIT_2021_2024	916	438	2836	0.154443
SI	G1	GATE_2025	258	148	816	0.181373
HG	FD1_CLOSE_15	ALL	1275	32	3891	0.008224
HG	FD1_CLOSE_15	FIT_2021_2024	1019	21	3099	0.006776
HG	FD1_CLOSE_15	GATE_2025	256	11	792	0.013889
HG	FD1_CLOSE_60	ALL	1275	35	3891	0.008995
HG	FD1_CLOSE_60	FIT_2021_2024	1019	23	3099	0.007422
HG	FD1_CLOSE_60	GATE_2025	256	12	792	0.015152
HG	FD2_MICRO_OPEN	ALL	1221	9	3726	0.002415
HG	FD2_MICRO_OPEN	FIT_2021_2024	979	7	2977	0.002351
HG	FD2_MICRO_OPEN	GATE_2025	242	2	749	0.002670
HG	FD3_NEWS_15	ALL	1277	40	3896	0.010267
HG	FD3_NEWS_15	FIT_2021_2024	1020	30	3102	0.009671
HG	FD3_NEWS_15	GATE_2025	257	10	794	0.012594
HG	FD3_NEWS_60	ALL	1277	33	3896	0.008470
HG	FD3_NEWS_60	FIT_2021_2024	1020	28	3102	0.009026
HG	FD3_NEWS_60	GATE_2025	257	5	794	0.006297
HG	FD4_POST_SHOCK	ALL	108	3	333	0.009009
HG	FD4_POST_SHOCK	FIT_2021_2024	58	2	178	0.011236
HG	FD4_POST_SHOCK	GATE_2025	50	1	155	0.006452
HG	FD5_FIRST_TEST	ALL	1279	71	3902	0.018196
HG	FD5_FIRST_TEST	FIT_2021_2024	1021	55	3105	0.017713
HG	FD5_FIRST_TEST	GATE_2025	258	16	797	0.020075
HG	FD5_FIRST_TEST_VIRGIN	ALL	1270	53	3875	0.013677
HG	FD5_FIRST_TEST_VIRGIN	FIT_2021_2024	1016	42	3090	0.013592
HG	FD5_FIRST_TEST_VIRGIN	GATE_2025	254	11	785	0.014013
HG	FD6_EXHAUSTION_ANY	ALL	1266	1035	3863	0.267926
HG	FD6_EXHAUSTION_ANY	FIT_2021_2024	1015	833	3087	0.269841
HG	FD6_EXHAUSTION_ANY	GATE_2025	251	202	776	0.260309
HG	G1	ALL	1279	590	3902	0.151205
HG	G1	FIT_2021_2024	1021	479	3105	0.154267
HG	G1	GATE_2025	258	111	797	0.139272
NKD	FD1_CLOSE_15	ALL	1278	22	3829	0.005746
NKD	FD1_CLOSE_15	FIT_2021_2024	1021	20	3058	0.006540
NKD	FD1_CLOSE_15	GATE_2025	257	2	771	0.002594
NKD	FD1_CLOSE_60	ALL	1278	24	3829	0.006268
NKD	FD1_CLOSE_60	FIT_2021_2024	1021	21	3058	0.006867
NKD	FD1_CLOSE_60	GATE_2025	257	3	771	0.003891
NKD	FD2_MICRO_OPEN	ALL	1246	19	3733	0.005090
NKD	FD2_MICRO_OPEN	FIT_2021_2024	989	13	2963	0.004387
NKD	FD2_MICRO_OPEN	GATE_2025	257	6	770	0.007792
NKD	FD3_NEWS_15	ALL	1252	56	3751	0.014929
NKD	FD3_NEWS_15	FIT_2021_2024	994	47	2978	0.015782
NKD	FD3_NEWS_15	GATE_2025	258	9	773	0.011643
NKD	FD3_NEWS_60	ALL	1252	46	3751	0.012263
NKD	FD3_NEWS_60	FIT_2021_2024	994	37	2978	0.012424
NKD	FD3_NEWS_60	GATE_2025	258	9	773	0.011643
NKD	FD4_POST_SHOCK	ALL	577	24	1728	0.013889
NKD	FD4_POST_SHOCK	FIT_2021_2024	460	19	1378	0.013788
NKD	FD4_POST_SHOCK	GATE_2025	117	5	350	0.014286
NKD	FD5_FIRST_TEST	ALL	1281	80	3837	0.020850
NKD	FD5_FIRST_TEST	FIT_2021_2024	1023	63	3064	0.020561
NKD	FD5_FIRST_TEST	GATE_2025	258	17	773	0.021992
NKD	FD5_FIRST_TEST_VIRGIN	ALL	1278	71	3828	0.018548
NKD	FD5_FIRST_TEST_VIRGIN	FIT_2021_2024	1021	58	3058	0.018967
NKD	FD5_FIRST_TEST_VIRGIN	GATE_2025	257	13	770	0.016883
NKD	FD6_EXHAUSTION	ALL	719	167	2156	0.077458
NKD	FD6_EXHAUSTION	FIT_2021_2024	617	152	1850	0.082162
NKD	FD6_EXHAUSTION	GATE_2025	102	15	306	0.049020
NKD	FD6_EXHAUSTION_ANY	ALL	1271	1120	3808	0.294118
NKD	FD6_EXHAUSTION_ANY	FIT_2021_2024	1018	914	3050	0.299672
NKD	FD6_EXHAUSTION_ANY	GATE_2025	253	206	758	0.271768
NKD	G1	ALL	1281	670	3837	0.174616
NKD	G1	FIT_2021_2024	1023	561	3064	0.183094
NKD	G1	GATE_2025	258	109	773	0.141009
