# PORT_M1_SPEC.md §10 FAMILY DISCOVERY CENSUS (D-055) (spec_sha16=81ea7f84a085e4bb)
# params_hash=48d590fc8f22ad4b70be3be0c7152295dcf8e670cba41bb8dd436b5a76560484
# conditional_value_usd = the CC-M1-3.2 metric (mean walled phase-close certificate over candidates with value > 0)
# conditional_value_peak_usd = the same statistic on the walled PEAK-exit certificate: the fair comparator for families that fire near a phase close, whose close certificate has almost no horizon left (F-D1)
# era rows 2021..2024 are the per-FIT-year stability panel
asset	family	era	n_candidates	n_positive	conditional_value_usd	mean_cert_usd	positive_frac	n_positive_peak	conditional_value_peak_usd
NKD	FD4_POST_SHOCK	2021	45	17	814.852941	-108.333333	0.377778	31	1142.580645
NKD	FD4_POST_SHOCK	2022	195	87	782.212644	-37.051282	0.446154	179	1001.634078
NKD	FD4_POST_SHOCK	2023	148	57	753.552632	-160.996622	0.385135	136	959.613971
NKD	FD4_POST_SHOCK	2024	523	124	2207.802419	-184.254302	0.237094	454	1794.642070
NKD	FD5_FIRST_TEST	FIT_2021_2024	4912	2133	782.916081	-37.611462	0.434243	4553	1091.694487
NKD	FD5_FIRST_TEST	GATE_2025	1267	507	1084.324458	-42.243489	0.400158	1193	1365.651718
NKD	FD5_FIRST_TEST	ALL	6179	2640	840.800189	-38.561256	0.427254	5746	1148.574226
NKD	FD5_FIRST_TEST	2021	1133	489	684.877301	-55.055163	0.431598	1029	935.403304
NKD	FD5_FIRST_TEST	2022	1267	548	668.061131	-51.556827	0.432518	1175	1041.829787
NKD	FD5_FIRST_TEST	2023	1250	555	722.319820	-30.720000	0.444000	1176	985.869473
NKD	FD5_FIRST_TEST	2024	1262	541	1050.036969	-14.776149	0.428685	1173	1384.844416
NKD	FD5_FIRST_TEST_VIRGIN	FIT_2021_2024	3906	1695	815.383481	-36.253200	0.433948	3619	1113.820807
NKD	FD5_FIRST_TEST_VIRGIN	GATE_2025	1003	402	1143.942786	-28.454636	0.400798	948	1395.039557
NKD	FD5_FIRST_TEST_VIRGIN	ALL	4909	2097	878.369099	-34.659809	0.427175	4567	1172.195095
NKD	FD5_FIRST_TEST_VIRGIN	2021	930	406	683.362069	-64.005376	0.436559	847	944.217828
NKD	FD5_FIRST_TEST_VIRGIN	2022	945	412	711.110437	-37.830688	0.435979	876	1081.629566
NKD	FD5_FIRST_TEST_VIRGIN	2023	983	431	780.585847	-20.933367	0.438454	925	1018.837838
NKD	FD5_FIRST_TEST_VIRGIN	2024	1048	446	1065.515695	-24.572996	0.425573	971	1381.289907
NKD	FD6_EXHAUSTION	FIT_2021_2024	17312	6731	281.534319	-76.640336	0.388805	16183	912.885281
NKD	FD6_EXHAUSTION	GATE_2025	2381	949	523.464173	-77.889542	0.398572	2171	1387.088899
NKD	FD6_EXHAUSTION	ALL	19693	7680	311.429036	-76.791373	0.389986	18354	968.976381
NKD	FD6_EXHAUSTION	2021	4658	1794	220.536511	-71.367003	0.385144	4354	873.551332
NKD	FD6_EXHAUSTION	2022	2207	872	280.120413	-64.668101	0.395106	2053	907.713103
NKD	FD6_EXHAUSTION	2023	5332	2099	236.537637	-52.983871	0.393661	5046	714.790428
NKD	FD6_EXHAUSTION	2024	5115	1966	385.863428	-111.268328	0.384360	4730	1162.666490
NKD	FD6_EXHAUSTION_ANY	FIT_2021_2024	194482	81553	581.136163	-50.700566	0.419334	176749	874.813889
NKD	FD6_EXHAUSTION_ANY	GATE_2025	50817	20164	969.549940	-22.286538	0.396796	46534	1177.844802
NKD	FD6_EXHAUSTION_ANY	ALL	245299	101717	658.133867	-44.814217	0.414665	223283	937.968005
NKD	FD6_EXHAUSTION_ANY	2021	46851	19668	483.611577	-56.196613	0.419799	42268	825.709106
NKD	FD6_EXHAUSTION_ANY	2022	43706	18667	564.003455	-41.313378	0.427104	39445	758.238687
NKD	FD6_EXHAUSTION_ANY	2023	48929	21347	482.826158	-40.962824	0.436285	45069	750.395893
NKD	FD6_EXHAUSTION_ANY	2024	54996	21871	779.414864	-62.142110	0.397683	49967	1120.601397
NKD	G1	FIT_2021_2024	153031	65595	649.893856	-42.679784	0.428639	140694	923.934603
NKD	G1	GATE_2025	41855	16193	1048.944606	-40.610142	0.386883	38535	1279.756066
NKD	G1	ALL	194886	81788	728.900908	-42.235294	0.419671	179229	1000.437736
NKD	G1	2021	36836	15746	591.250635	-47.421476	0.427462	33564	865.432606
NKD	G1	2022	39826	17310	574.454795	-49.586451	0.434641	36685	822.781109
NKD	G1	2023	37012	16514	533.963152	-39.147371	0.446180	34438	787.705006
NKD	G1	2024	39357	16025	908.472699	-34.574790	0.407170	36007	1211.818952
NKD	UNION_BASE	FIT_2021_2024	383247	164562	645.590051	-46.604337	0.429389	352652	909.673673
NKD	UNION_BASE	GATE_2025	107844	42146	1030.016372	-39.165670	0.390805	99388	1255.519127
NKD	UNION_BASE	ALL	491091	206708	723.971303	-44.970800	0.420916	452040	985.713156
NKD	UNION_BASE	2021	89026	38303	581.422408	-47.997130	0.430245	81265	847.283732
NKD	UNION_BASE	2022	103085	44869	579.453632	-52.674128	0.435262	94929	820.449151
NKD	UNION_BASE	2023	89513	39890	536.940963	-41.389826	0.445634	83295	782.452428
NKD	UNION_BASE	2024	101623	41500	880.753916	-43.820198	0.408372	93163	1168.757286
NKD	UNION_ALL	FIT_2021_2024	436427	184648	632.922425	-46.857401	0.423090	400125	899.489410
NKD	UNION_ALL	GATE_2025	122877	47795	987.951407	-43.352173	0.388966	112922	1232.028657
NKD	UNION_ALL	ALL	559304	232443	705.923592	-46.087316	0.415593	513047	972.681528
NKD	UNION_ALL	2021	102001	43111	560.539537	-48.834129	0.422653	92530	832.333838
NKD	UNION_ALL	2022	117110	50260	578.243882	-51.509585	0.429169	107499	812.179462
