# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# stated-vs-realised by score tier, on the judge's OWN ordering; usd_per_session = the one-position replay of that tier over the judge's own sessions
judge	tier_frac	n	score_min	usd_per_trade	win_rate	frac_ge_600	frac_ge_1000	n_seated	usd_per_session
CELL1_LMART_CELL	0.005000	4734	0.721474	47.360000	0.422900	0.213100	0.137900	612	19.380000
CELL1_LMART_CELL	0.010000	9469	0.581598	30.560000	0.418400	0.223400	0.150100	1084	12.390000
CELL1_LMART_CELL	0.020000	18937	0.395805	-2.510000	0.422700	0.215500	0.138500	2004	-22.140000
CELL1_LMART_CELL	0.050000	47343	0.188733	-33.770000	0.419100	0.212400	0.131600	4614	-55.180000
CELL1_LMART_CELL	0.100000	94685	0.082167	-28.720000	0.428300	0.209900	0.124600	7492	-135.860000
CELL1_LMART_CELL	0.200000	189371	0.015270	-27.900000	0.437100	0.195500	0.111000	9396	-144.140000
CELL1_LMART_CELL	0.500000	473426	-0.195150	-28.170000	0.439900	0.175700	0.097200	9969	-167.550000
CELL1_LMART_CELL	1.000000	946853	-4.202280	-28.130000	0.434400	0.167700	0.094600	10482	-175.140000
