# PORT_M2_SHEETS_SPEC.md DISCRETIONARY_METHOD §4.2 name->count census — batch 2 (CC-M2-10.2) (spec_sha16=552d21d7a848efe2)
# params_hash=00c21776223b82281297cb2b32ca2d3a786d1f1abda99aeb43d935f37bf8819a
# CC-M2-10.2 census batch 2 — P020/P021/P022, strictly causal detectors over the frozen v3 roster
# BOTH CC-M1-8 certificate readings are reported on every row
# Holm-Bonferroni is applied over the WHOLE batch, not per pattern
reading	asset	era	phase	side	group	n_sessions	n_candidates	per_session	mean_close	cond_close	posfrac_close	mean_peak	cond_peak	posfrac_peak	n_winners	winner_frac
P021	ALL	FIT	ALL	SHORT	NOFIRE	2960	470106	158.819595	-27.308054	679.266329	0.436021	856.491504	923.637352	0.943326	28147	0.059874
P021	SI	FIT	ALL	ALL	FIRE	916	92454	100.932314	-0.095940	824.719381	0.431501	951.670479	1031.759530	0.940338	6764	0.073161
P021	SI	FIT	ALL	ALL	NOFIRE	916	313023	341.728166	-15.530017	854.032711	0.424106	972.784779	1043.890672	0.948394	22148	0.070755
P021	SI	GATE_2025	ALL	ALL	FIRE	258	40146	155.604651	-46.562671	1380.478007	0.346012	1653.503026	1832.446863	0.919967	2363	0.058860
P021	SI	GATE_2025	ALL	ALL	NOFIRE	258	93551	362.600775	-6.125990	1465.526520	0.351883	1416.813636	1540.720718	0.935351	6728	0.071918
P021	SI	2021	ALL	ALL	FIRE	142	8192	57.690141	8.395691	824.428453	0.441040	735.759277	807.451089	0.935913	620	0.075684
P021	SI	2021	ALL	ALL	NOFIRE	142	47303	333.119718	-20.990793	683.503120	0.440458	886.283058	951.266860	0.948249	2924	0.061814
P021	SI	2022	ALL	ALL	FIRE	258	23713	91.910853	-14.033020	745.759536	0.440012	879.256526	956.417367	0.938262	1756	0.074052
P021	SI	2022	ALL	ALL	NOFIRE	258	91720	355.503876	-11.037942	854.716584	0.429699	968.547073	1041.799407	0.946958	6847	0.074651
P021	SI	2023	ALL	ALL	FIRE	257	27942	108.723735	19.262311	724.853962	0.448465	838.692739	903.555272	0.945351	1974	0.070646
P021	SI	2023	ALL	ALL	NOFIRE	257	86878	338.046693	-18.291340	760.407807	0.435231	874.204891	939.255781	0.948710	5668	0.065241
P021	SI	2024	ALL	ALL	FIRE	259	32607	125.895753	-8.682491	980.646966	0.408379	1155.391174	1253.361649	0.938663	2414	0.074033
P021	SI	2024	ALL	ALL	NOFIRE	259	87122	336.378378	-14.540644	1057.692385	0.398246	1122.516156	1200.537577	0.949668	6709	0.077007
P021	SI	FIT	TOKYO	ALL	FIRE	916	16035	17.505459	-31.967571	771.401074	0.412286	1461.202838	1562.586320	0.948238	672	0.041908
P021	SI	FIT	TOKYO	ALL	NOFIRE	916	47976	52.375546	-32.245133	522.699094	0.448870	1291.081895	1370.593234	0.953498	1538	0.032058
P021	SI	FIT	LONDON	ALL	FIRE	916	12694	13.858079	-16.421735	421.581928	0.462502	1305.035253	1379.025378	0.957618	295	0.023239
P021	SI	FIT	LONDON	ALL	NOFIRE	916	54298	59.277293	-28.765378	487.073600	0.457291	1136.309763	1203.638478	0.956370	1824	0.033592
P021	SI	FIT	NY	ALL	FIRE	916	63725	69.568777	11.175951	923.920728	0.430161	753.067674	825.428479	0.934908	5797	0.090969
P021	SI	FIT	NY	ALL	NOFIRE	916	210749	230.075328	-8.314903	1042.096886	0.409919	858.194902	927.218304	0.945176	18786	0.089139
P021	SI	FIT	ALL	LONG	FIRE	916	46703	50.985808	24.095294	823.340497	0.453333	920.281299	995.476859	0.942381	3695	0.079117
P021	SI	FIT	ALL	LONG	NOFIRE	916	156921	171.311135	-23.185743	846.692010	0.425169	949.928834	1020.782190	0.947719	10730	0.068378
P021	SI	FIT	ALL	SHORT	FIRE	916	45751	49.946507	-24.790551	826.278710	0.409215	983.712815	1068.960129	0.938253	3069	0.067081
P021	SI	FIT	ALL	SHORT	NOFIRE	916	156102	170.417031	-7.834124	861.449112	0.423038	995.760640	1067.087282	0.949072	11418	0.073144
P021	HG	FIT	ALL	ALL	FIRE	1021	83567	81.848188	-34.314502	444.013563	0.456807	687.997311	738.334018	0.946247	3018	0.036115
P021	HG	FIT	ALL	ALL	NOFIRE	1021	333698	326.834476	-26.167830	523.130739	0.463437	727.698447	770.804153	0.957423	15596	0.046737
P021	HG	GATE_2025	ALL	ALL	FIRE	258	35105	136.065891	-12.872098	785.029185	0.425808	988.016308	1078.333842	0.933827	1914	0.054522
P021	HG	GATE_2025	ALL	ALL	NOFIRE	258	77122	298.922481	-31.717328	697.494385	0.441625	918.355609	979.008427	0.951622	4773	0.061889
P021	HG	2021	ALL	ALL	FIRE	247	9887	40.028340	-24.189972	531.643156	0.458885	659.479240	711.967640	0.942349	406	0.041064
P021	HG	2021	ALL	ALL	NOFIRE	247	84106	340.510121	-19.339346	558.298675	0.464842	796.566624	846.573359	0.954676	4396	0.052267
