# PORT_M2_SHEETS_SPEC.md DISCRETIONARY_METHOD §4.2 name->count census — batch 2 (CC-M2-10.2) (spec_sha16=552d21d7a848efe2)
# params_hash=00c21776223b82281297cb2b32ca2d3a786d1f1abda99aeb43d935f37bf8819a
# CC-M2-10.2 census batch 2 — P020/P021/P022, strictly causal detectors over the frozen v3 roster
# BOTH CC-M1-8 certificate readings are reported on every row
# Holm-Bonferroni is applied over the WHOLE batch, not per pattern
reading	asset	neutralised_term	n_fires_mean	n_fires_sd	mean_close_mean	mean_close_sd	edge_close_mean	edge_close_sd	cond_close_mean	mean_peak_mean	edge_peak_mean	intact_n_fires	intact_mean_close	intact_edge_close	intact_cond_close	intact_edge_peak	edge_retention_close	edge_retention_peak	verdict
P020	ALL	T1_phase_is_NY	669979.000000	0.000000	-24.937175	0.676895	8.332398	1.498032	686.896813	848.159231	31.576430	669979	-25.013090	8.164390	771.368422	-367.721438	1.020578	-0.085871	TERM_NOT_LOAD_BEARING
P020	SI	T1_phase_is_NY	274474.000000	0.000000	-9.284571	1.046995	8.438298	3.240631	861.109673	969.298803	4.111496	274474	-3.789685	25.445924	1013.631263	-415.319882	0.331617	-0.009900	TERM_LOAD_BEARING
P020	HG	T1_phase_is_NY	228103.000000	0.000000	-28.431089	0.819040	-1.393440	1.806687	515.463338	724.032461	9.452308	228103	-33.237244	-11.995147	575.921886	-394.907253	0.116167	-0.023936	VOID_no_intact_edge
P020	NKD	T1_phase_is_NY	167402.000000	0.000000	-45.840510	1.579651	1.281607	2.718855	654.792476	818.673478	2.834293	167402	-48.604915	-3.476417	671.594655	-427.688326	-0.368657	-0.006627	VOID_no_intact_edge
P021	ALL	T1_day_type_EXPANDED	199971.100000	167.960531	-26.296639	0.762807	2.876170	0.912125	678.032048	889.057412	65.957207	278924	-27.636991	1.380189	637.399631	5.291919	2.083896	12.463759	TERM_NOT_LOAD_BEARING
P021	SI	T1_day_type_EXPANDED	60752.150000	82.926941	7.502960	1.700529	22.952879	2.001091	907.958879	1020.526987	61.818839	92454	-0.095940	15.434077	824.719381	-21.114300	1.487156	-2.927819	TERM_NOT_LOAD_BEARING
P021	HG	T1_day_type_EXPANDED	61321.225000	89.211683	-35.396864	1.235014	-8.906244	1.447092	466.430627	738.971616	22.536058	83567	-34.314502	-8.146672	444.013563	-39.701136	1.093237	-0.567643	VOID_no_intact_edge
P021	NKD	T1_day_type_EXPANDED	77897.725000	101.670789	-45.493561	1.242860	1.355978	1.544053	676.716244	904.672727	108.873643	102903	-46.958689	-0.503163	635.300716	54.678290	-2.694906	1.991168	VOID_no_intact_edge
P021	ALL	T2_surprise_ge_0.99	199924.900000	165.732737	-17.126898	1.172475	13.838885	1.401256	801.867197	920.575127	103.635386	278924	-27.636991	1.380189	637.399631	5.291919	10.026803	19.583704	TERM_NOT_LOAD_BEARING
P021	SI	T2_surprise_ge_0.99	60727.125000	95.288558	23.624413	2.527107	41.912256	2.970915	1062.651743	1080.381910	132.212668	92454	-0.095940	15.434077	824.719381	-21.114300	2.715566	-6.261759	TERM_NOT_LOAD_BEARING
P021	HG	T2_surprise_ge_0.99	61317.275000	104.664222	-22.983734	1.942909	5.645318	2.277983	613.435063	800.502272	94.666202	83567	-34.314502	-8.146672	444.013563	-39.701136	-0.692960	-2.384471	VOID_no_intact_edge
P021	NKD	T2_surprise_ge_0.99	77880.500000	71.386273	-44.291827	1.745162	2.848529	2.167663	761.250216	890.501786	91.265605	102903	-46.958689	-0.503163	635.300716	54.678290	-5.661242	1.669138	VOID_no_intact_edge
P022	ALL	T1_disagrees_30m	6388.825000	55.857357	-27.979967	9.121117	0.726196	9.169036	1107.175633	877.700311	44.039421	8564	-61.287220	-32.814924	1025.257736	-0.504415	-0.022130	-87.307970	VOID_no_intact_edge
P022	SI	T1_disagrees_30m	2733.950000	40.984113	-39.875708	15.582128	-28.053382	15.686429	1354.250750	1058.048508	90.689983	3504	-89.018265	-77.678691	1202.245827	18.567721	0.361146	4.884282	VOID_no_intact_edge
P022	HG	T1_disagrees_30m	2066.450000	31.531690	-60.240347	15.857525	-32.602513	15.936838	789.361168	675.246760	-44.722040	2874	-57.107255	-29.511129	796.813549	-30.043027	1.104753	1.488600	VOID_no_intact_edge
P022	NKD	T1_disagrees_30m	1588.425000	31.771754	34.463288	20.146750	81.371846	20.226896	1156.301357	830.685436	13.713100	2186	-22.331885	24.386669	1084.327897	-40.449127	3.336735	-0.339021	TERM_NOT_LOAD_BEARING
P022	ALL	T2_disagrees_5m	5971.725000	62.022975	-46.990955	9.268016	-18.378571	9.313633	1029.028740	842.327686	8.477860	8564	-61.287220	-32.814924	1025.257736	-0.504415	0.560067	-16.807323	VOID_no_intact_edge
P022	SI	T2_disagrees_5m	2451.125000	33.589572	-54.307349	16.492612	-42.553759	16.592517	1195.938661	1011.207781	43.500134	3504	-89.018265	-77.678691	1202.245827	18.567721	0.547818	2.342783	VOID_no_intact_edge
P022	HG	T2_disagrees_5m	2051.025000	31.932341	-63.765499	14.946440	-36.143632	15.019540	797.215177	675.139407	-44.828222	2874	-57.107255	-29.511129	796.813549	-30.043027	1.224746	1.492134	VOID_no_intact_edge
P022	NKD	T2_disagrees_5m	1469.575000	27.645874	-11.468235	21.492728	35.246628	21.571962	1103.124566	793.928924	-23.182857	2186	-22.331885	24.386669	1084.327897	-40.449127	1.445324	0.573136	TERM_NOT_LOAD_BEARING
P022	ALL	T3_release_lt_90min	9232.275000	60.296761	-24.389393	8.521153	4.345571	8.585857	759.925743	887.596691	54.114133	8564	-61.287220	-32.814924	1025.257736	-0.504415	-0.132427	-107.281045	VOID_no_intact_edge
P022	SI	T3_release_lt_90min	4113.350000	48.877167	-32.458088	14.703736	-20.656415	14.853167	901.777532	1009.416038	41.870557	3504	-89.018265	-77.678691	1202.245827	18.567721	0.265921	2.255019	VOID_no_intact_edge
P022	HG	T3_release_lt_90min	2834.575000	37.276593	-23.913705	10.127878	3.912042	10.196832	570.532344	734.396398	14.749120	2874	-57.107255	-29.511129	796.813549	-30.043027	-0.132562	-0.490933	VOID_no_intact_edge
P022	NKD	T3_release_lt_90min	2284.350000	36.017045	-10.393958	14.948346	36.398564	15.032133	768.087109	858.390751	41.601257	2186	-22.331885	24.386669	1084.327897	-40.449127	1.492560	-1.028483	TERM_NOT_LOAD_BEARING
