# PORT_M2_SHEETS_SPEC.md DISCRETIONARY_METHOD §4.2 name->count census — batch 3 (CC-M2-12.4) (spec_sha16=18d12ab86a4ee6b0)
# params_hash=4a425ed1c08530a32b70ca198ac70719f94dcc3a706dee8eb1caeaaad81b811b
# phase_dec as a CONTROL: the phase breakdown INSIDE each runway band, which is where P020's 86/86 has to survive if it is a phase fact
reading	asset	era	band	phase	n_candidates	cand_share_in_band	n_winners	winner_share_in_band	conc_ratio_in_band	winner_rate	band_winner_rate	mean_close	cond_close	mean_peak
B_observed	NKD	GATE_2025	b5_3-4h	TOKYO	4190	0.343865	249	0.316391	0.920102	0.059427	0.064588	-75.238663	851.972586	1220.874105
B_observed	NKD	GATE_2025	b5_3-4h	LONDON	3920	0.321707	257	0.326557	1.015074	0.065561	0.064588	46.157526	1020.896562	1425.258291
B_observed	NKD	GATE_2025	b5_3-4h	NY	4075	0.334428	281	0.357052	1.067651	0.068957	0.064588	80.874233	1221.653638	903.674847
B_observed	NKD	GATE_2025	b6_4-6h	TOKYO	10570	0.506081	747	0.513402	1.014467	0.070672	0.069664	-29.930227	1031.638428	1344.613292
B_observed	NKD	GATE_2025	b6_4-6h	LONDON	1	0.000048	0	0.000000	0.000000	0.000000	0.069664	282.500000	282.500000	2157.500000
B_observed	NKD	GATE_2025	b6_4-6h	NY	10315	0.493871	708	0.486598	0.985272	0.068638	0.069664	61.331798	1346.945001	955.738003
B_observed	NKD	GATE_2025	b7_6-8h	TOKYO	19275	0.511816	1679	0.529653	1.034850	0.087108	0.084174	-65.624514	1318.656525	1418.344358
B_observed	NKD	GATE_2025	b7_6-8h	NY	18385	0.488184	1491	0.470347	0.963463	0.081099	0.084174	-60.647947	1222.236957	1015.703699
B_observed	NKD	GATE_2025	b8_ge8h	TOKYO	2144	0.204132	258	0.285083	1.396560	0.120336	0.086166	-96.248834	1524.852321	1494.405317
B_observed	NKD	GATE_2025	b8_ge8h	NY	8359	0.795868	647	0.714917	0.898286	0.077402	0.086166	-151.533676	1301.861778	1042.982713
