# PORT_M2_SHEETS_SPEC.md DISCRETIONARY_METHOD §4.2 name->count census — batch 3 (CC-M2-12.4) (spec_sha16=18d12ab86a4ee6b0)
# params_hash=4a425ed1c08530a32b70ca198ac70719f94dcc3a706dee8eb1caeaaad81b811b
# CC-M2-12.4 census batch 3 — P025/P023/P024/P007-as-entry, strictly causal detectors over the frozen v3 roster
# BOTH CC-M1-8 certificate readings are reported on every row
# Holm-Bonferroni is applied over the WHOLE batch, not per pattern
# S7 c2f / S7 erosion / S8 through-book side are NOT censusable at era scale (MBP-1 event cache covers 488 of 3,734 sessions)
reading	asset	scope	term	n_candidates	per_session	mean_close	cond_close	posfrac_close	mean_peak	cond_peak	n_winners	winner_frac
P023_ABS	ALL	NEAR_MISS_ONLY_THIS_TERM_FAILS	T2_vol_abs_500	214567	72.488851	-35.069512	617.864725	0.442463	845.452394	914.475038	11316	0.052739
P023_ABS	ALL	TERM_ALONE	T3_live_book	1074796	363.106757	-26.075261	683.928030	0.440498	848.239010	914.190632	63830	0.059388
P023_ABS	ALL	DETECTOR_MINUS_TERM	T3_live_book	77798	26.283108	-16.069533	885.389264	0.429394	842.190239	900.656853	6522	0.083832
P023_ABS	ALL	NEAR_MISS_ONLY_THIS_TERM_FAILS	T3_live_book	2	0.000676	-155.000000	420.000000	0.500000	1051.250000	1051.250000	0	0.000000
P023_ABS	ALL	TERM_ALONE	T4_price_failure	1188230	401.429054	-28.543753	655.754910	0.439960	830.361878	898.556057	67021	0.056404
P023_ABS	ALL	DETECTOR_MINUS_TERM	T4_price_failure	87198	29.458784	-15.815042	905.118599	0.426191	856.152779	916.223252	7375	0.084578
P023_ABS	ALL	NEAR_MISS_ONLY_THIS_TERM_FAILS	T4_price_failure	9402	3.176351	-13.738832	1080.369545	0.399702	971.729020	1045.673972	853	0.090725
P023_ABS	SI	TERM_ALONE	T1_opposed_5m	106285	116.031659	-11.687444	885.624513	0.422628	979.167686	1050.194602	8120	0.076398
P023_ABS	SI	DETECTOR_MINUS_TERM	T1_opposed_5m	153116	167.157205	2.997450	1136.890270	0.406842	959.563550	1036.345218	15235	0.099500
P023_ABS	SI	NEAR_MISS_ONLY_THIS_TERM_FAILS	T1_opposed_5m	109939	120.020742	3.490731	1142.376353	0.405889	959.333744	1037.836354	10826	0.098473
P023_ABS	SI	TERM_ALONE	T2_vol_abs_500	162656	177.572052	2.183565	1148.053590	0.404910	964.751423	1042.321336	16174	0.099437
P023_ABS	SI	DETECTOR_MINUS_TERM	T2_vol_abs_500	98074	107.067686	-12.283403	868.510027	0.425057	970.015422	1039.961052	7420	0.075657
P023_ABS	SI	NEAR_MISS_ONLY_THIS_TERM_FAILS	T2_vol_abs_500	54897	59.931223	-23.314070	681.228972	0.437474	977.775698	1045.778073	3011	0.054848
P023_ABS	SI	TERM_ALONE	T3_live_book	399247	435.859170	-11.628478	854.179835	0.425761	967.312002	1040.235380	28762	0.072041
P023_ABS	SI	DETECTOR_MINUS_TERM	T3_live_book	43178	47.137555	1.751123	1122.996973	0.409283	960.136470	1032.550907	4409	0.102112
P023_ABS	SI	NEAR_MISS_ONLY_THIS_TERM_FAILS	T3_live_book	1	0.001092	420.000000	420.000000	1.000000	432.500000	432.500000	0	0.000000
P023_ABS	SI	TERM_ALONE	T4_price_failure	392940	428.973799	-11.780075	836.163267	0.427144	964.555117	1037.317704	27754	0.070632
P023_ABS	SI	DETECTOR_MINUS_TERM	T4_price_failure	48760	53.231441	2.211085	1149.101553	0.405517	974.954881	1049.205113	4991	0.102358
P023_ABS	SI	NEAR_MISS_ONLY_THIS_TERM_FAILS	T4_price_failure	5583	6.094978	5.843185	1368.221931	0.376500	1089.460863	1178.625759	582	0.104245
P023_ABS	HG	TERM_ALONE	T1_opposed_5m	110473	108.200784	-26.533146	516.953933	0.462303	726.411012	768.894039	5204	0.047107
P023_ABS	HG	DETECTOR_MINUS_TERM	T1_opposed_5m	118242	115.809990	-34.340833	621.364085	0.458407	679.897128	722.549218	7279	0.061560
P023_ABS	HG	NEAR_MISS_ONLY_THIS_TERM_FAILS	T1_opposed_5m	84089	82.359452	-33.590467	623.729072	0.459561	677.735554	721.124862	5182	0.061625
P023_ABS	HG	TERM_ALONE	T2_vol_abs_500	124438	121.878550	-33.225904	626.168884	0.458196	685.443383	728.224863	7738	0.062184
P023_ABS	HG	DETECTOR_MINUS_TERM	T2_vol_abs_500	102792	100.677767	-26.446951	510.367604	0.462993	719.961208	761.612734	4785	0.046550
P023_ABS	HG	NEAR_MISS_ONLY_THIS_TERM_FAILS	T2_vol_abs_500	68639	67.227228	-21.599892	459.307706	0.466688	737.247938	779.336671	2688	0.039161
P023_ABS	HG	TERM_ALONE	T3_live_book	410326	401.886386	-27.789029	509.058729	0.462437	719.804302	764.115163	18404	0.044852
P023_ABS	HG	DETECTOR_MINUS_TERM	T3_live_book	34153	33.450539	-36.188329	615.490150	0.455568	685.219197	726.049046	2097	0.061400
P023_ABS	HG	TERM_ALONE	T4_price_failure	406228	397.872674	-27.966151	503.411476	0.462167	716.927264	761.429868	17926	0.044128
P023_ABS	HG	DETECTOR_MINUS_TERM	T4_price_failure	37884	37.104799	-35.329097	624.804395	0.454097	696.426064	738.199572	2365	0.062427
P023_ABS	HG	NEAR_MISS_ONLY_THIS_TERM_FAILS	T4_price_failure	3731	3.654261	-27.463817	712.955444	0.440633	799.011994	849.539731	268	0.071831
P023_ABS	NKD	TERM_ALONE	T1_opposed_5m	142554	139.348974	-51.735009	656.291948	0.429774	816.282637	906.233911	8066	0.056582
P023_ABS	NKD	DETECTOR_MINUS_TERM	T1_opposed_5m	1531	1.496579	-240.418027	990.937500	0.313521	1252.062378	1445.554949	90	0.058785
P023_ABS	NKD	NEAR_MISS_ONLY_THIS_TERM_FAILS	T1_opposed_5m	1065	1.041056	-261.936620	1050.327869	0.286385	1180.211268	1357.994277	74	0.069484
P023_ABS	NKD	TERM_ALONE	T2_vol_abs_500	1711	1.672532	-276.968147	1000.645957	0.296318	1225.179719	1421.158616	94	0.054939
P023_ABS	NKD	DETECTOR_MINUS_TERM	T2_vol_abs_500	91497	89.439883	-53.022613	710.135739	0.426943	850.139923	942.183539	5633	0.061565
P023_ABS	NKD	NEAR_MISS_ONLY_THIS_TERM_FAILS	T2_vol_abs_500	91031	88.984360	-52.315063	709.337923	0.427206	847.241819	938.706769	5617	0.061704
P023_ABS	NKD	TERM_ALONE	T3_live_book	265223	259.260020	-45.171007	721.227564	0.428737	867.696467	959.924569	16664	0.062830
P023_ABS	NKD	DETECTOR_MINUS_TERM	T3_live_book	467	0.456500	-192.392934	887.428571	0.374732	1416.814775	1649.347826	16	0.034261
P023_ABS	NKD	NEAR_MISS_ONLY_THIS_TERM_FAILS	T3_live_book	1	0.000978	-730.000000		0.000000	1670.000000	1670.000000	0	0.000000
P023_ABS	NKD	TERM_ALONE	T4_price_failure	389062	380.314761	-46.077611	645.715965	0.429718	813.270578	902.991918	21341	0.054852
P023_ABS	NKD	DETECTOR_MINUS_TERM	T4_price_failure	554	0.541544	-267.951264	894.264706	0.337545	1322.391697	1556.654713	19	0.034296
P023_ABS	NKD	NEAR_MISS_ONLY_THIS_TERM_FAILS	T4_price_failure	88	0.086022	-674.176136	993.958333	0.136364	825.255682	1046.500000	3	0.034091
P023_REL	ALL	TERM_ALONE	T1_opposed_5m	359312	121.389189	-32.140393	676.546171	0.437661	836.832603	906.227021	21390	0.059530
P023_REL	ALL	DETECTOR_MINUS_TERM	T1_opposed_5m	276075	93.268581	-24.957032	868.889288	0.428923	977.985217	1049.237372	21108	0.076457
P023_REL	ALL	NEAR_MISS_ONLY_THIS_TERM_FAILS	T1_opposed_5m	195962	66.203378	-27.912637	872.741597	0.426455	977.785438	1049.448014	14741	0.075224
P023_REL	ALL	TERM_ALONE	T2_vol_rel_8pct	323310	109.226351	-26.793983	864.347071	0.428443	973.868288	1046.805102	24569	0.075992
P023_REL	ALL	DETECTOR_MINUS_TERM	T2_vol_rel_8pct	292363	98.771284	-30.012784	687.499396	0.438985	844.582924	910.760808	17838	0.061013
P023_REL	ALL	NEAR_MISS_ONLY_THIS_TERM_FAILS	T2_vol_rel_8pct	212250	71.706081	-34.649853	623.339278	0.440504	794.046260	858.273470	11471	0.054045
P023_REL	ALL	TERM_ALONE	T3_live_book	1074796	363.106757	-26.075261	683.928030	0.440498	848.239010	914.190632	63830	0.059388
P023_REL	ALL	DETECTOR_MINUS_TERM	T3_live_book	88018	29.735811	-19.788878	845.354050	0.435615	972.299317	1043.671851	6891	0.078291
P023_REL	ALL	NEAR_MISS_ONLY_THIS_TERM_FAILS	T3_live_book	7905	2.670608	-40.680740	702.855406	0.442252	909.723276	991.711016	524	0.066287
P023_REL	ALL	TERM_ALONE	T4_price_failure	1188230	401.429054	-28.543753	655.754910	0.439960	830.361878	898.556057	67021	0.056404
P023_REL	ALL	DETECTOR_MINUS_TERM	T4_price_failure	92865	31.373311	-20.251777	874.961134	0.431530	982.038981	1054.148811	7423	0.079933
P023_REL	ALL	NEAR_MISS_ONLY_THIS_TERM_FAILS	T4_price_failure	12752	4.308108	-36.110806	977.010329	0.409975	1004.436265	1088.482782	1056	0.082811
P023_REL	SI	TERM_ALONE	T1_opposed_5m	106285	116.031659	-11.687444	885.624513	0.422628	979.167686	1050.194602	8120	0.076398
P023_REL	SI	DETECTOR_MINUS_TERM	T1_opposed_5m	102984	112.427948	-12.597661	1113.821052	0.400596	1115.619344	1194.824994	8864	0.086072
P023_REL	SI	NEAR_MISS_ONLY_THIS_TERM_FAILS	T1_opposed_5m	76140	83.122271	-20.244779	1111.587016	0.396428	1113.077390	1194.953094	6380	0.083793
P023_REL	SI	TERM_ALONE	T2_vol_rel_8pct	112992	123.353712	-12.044747	1124.594578	0.399427	1118.105507	1198.728608	9734	0.086148
P023_REL	SI	DETECTOR_MINUS_TERM	T2_vol_rel_8pct	98074	107.067686	-12.283403	868.510027	0.425057	970.015422	1039.961052	7420	0.075657
P023_REL	SI	NEAR_MISS_ONLY_THIS_TERM_FAILS	T2_vol_rel_8pct	71230	77.762009	-20.339218	777.601009	0.429819	912.425418	981.285962	4936	0.069297
P023_REL	SI	TERM_ALONE	T3_live_book	399247	435.859170	-11.628478	854.179835	0.425761	967.312002	1040.235380	28762	0.072041
P023_REL	SI	DETECTOR_MINUS_TERM	T3_live_book	27086	29.569869	9.054770	1115.974993	0.412649	1123.239681	1195.124710	2501	0.092336
P023_REL	SI	NEAR_MISS_ONLY_THIS_TERM_FAILS	T3_live_book	242	0.264192	4.865702	704.787736	0.438017	1168.760331	1270.388889	17	0.070248
P023_REL	SI	TERM_ALONE	T4_price_failure	392940	428.973799	-11.780075	836.163267	0.427144	964.555117	1037.317704	27754	0.070632
P023_REL	SI	DETECTOR_MINUS_TERM	T4_price_failure	31554	34.447598	8.602871	1152.679681	0.407872	1129.656066	1204.740184	2931	0.092888
P023_REL	SI	NEAR_MISS_ONLY_THIS_TERM_FAILS	T4_price_failure	4710	5.141921	5.812102	1354.331573	0.381953	1168.564225	1264.017214	447	0.094904
P023_REL	HG	TERM_ALONE	T1_opposed_5m	110473	108.200784	-26.533146	516.953933	0.462303	726.411012	768.894039	5204	0.047107
P023_REL	HG	DETECTOR_MINUS_TERM	T1_opposed_5m	98636	96.607248	-25.797807	661.029629	0.459538	846.396612	892.981957	6351	0.064388
P023_REL	HG	NEAR_MISS_ONLY_THIS_TERM_FAILS	T1_opposed_5m	72308	70.820764	-30.066296	661.038939	0.458345	841.793750	889.103611	4552	0.062953
P023_REL	HG	TERM_ALONE	T2_vol_rel_8pct	107767	105.550441	-25.873505	662.935876	0.458907	848.564345	895.708241	6957	0.064556
P023_REL	HG	DETECTOR_MINUS_TERM	T2_vol_rel_8pct	102792	100.677767	-26.446951	510.367604	0.462993	719.961208	761.612734	4785	0.046550
P023_REL	HG	NEAR_MISS_ONLY_THIS_TERM_FAILS	T2_vol_rel_8pct	76464	74.891283	-30.706950	458.527339	0.463055	672.074424	712.298035	2986	0.039051
P023_REL	HG	TERM_ALONE	T3_live_book	410326	401.886386	-27.789029	509.058729	0.462437	719.804302	764.115163	18404	0.044852
P023_REL	HG	DETECTOR_MINUS_TERM	T3_live_book	26630	26.082272	-14.379929	660.251866	0.462937	859.177854	903.511022	1810	0.067968
P023_REL	HG	NEAR_MISS_ONLY_THIS_TERM_FAILS	T3_live_book	302	0.295788	-40.989238	596.136364	0.473510	871.365894	895.529661	11	0.036424
P023_REL	HG	TERM_ALONE	T4_price_failure	406228	397.872674	-27.966151	503.411476	0.462167	716.927264	761.429868	17926	0.044128
P023_REL	HG	DETECTOR_MINUS_TERM	T4_price_failure	30437	29.810970	-17.852162	666.021915	0.459507	860.718944	907.448164	2077	0.068239
P023_REL	HG	NEAR_MISS_ONLY_THIS_TERM_FAILS	T4_price_failure	4109	4.024486	-42.055853	699.969461	0.438306	871.489109	932.359586	278	0.067656
P023_REL	NKD	TERM_ALONE	T1_opposed_5m	142554	139.348974	-51.735009	656.291948	0.429774	816.282637	906.233911	8066	0.056582
P023_REL	NKD	DETECTOR_MINUS_TERM	T1_opposed_5m	74455	72.781036	-40.938318	847.433402	0.427547	961.938755	1057.642655	5893	0.079148
P023_REL	NKD	NEAR_MISS_ONLY_THIS_TERM_FAILS	T1_opposed_5m	47514	46.445748	-36.922696	863.204441	0.426043	967.939028	1063.894039	3809	0.080166
P023_REL	NKD	TERM_ALONE	T2_vol_rel_8pct	102551	100.245357	-44.012174	823.723852	0.428401	946.623095	1040.103934	7878	0.076820
P023_REL	NKD	DETECTOR_MINUS_TERM	T2_vol_rel_8pct	91497	89.439883	-53.022613	710.135739	0.426943	850.139923	942.183539	5633	0.061565
P023_REL	NKD	NEAR_MISS_ONLY_THIS_TERM_FAILS	T2_vol_rel_8pct	64556	63.104594	-55.110176	663.836445	0.425584	807.899459	898.108838	3549	0.054976
P023_REL	NKD	TERM_ALONE	T3_live_book	265223	259.260020	-45.171007	721.227564	0.428737	867.696467	959.924569	16664	0.062830
P023_REL	NKD	DETECTOR_MINUS_TERM	T3_live_book	34302	33.530792	-46.763964	795.290658	0.432540	940.932453	1033.721613	2580	0.075214
P023_REL	NKD	NEAR_MISS_ONLY_THIS_TERM_FAILS	T3_live_book	7361	7.195503	-42.165467	707.492301	0.441109	902.780872	986.716977	496	0.067382
P023_REL	NKD	TERM_ALONE	T4_price_failure	389062	380.314761	-46.077611	645.715965	0.429718	813.270578	902.991918	21341	0.054852
