# PORT_M2_SHEETS_SPEC.md DISCRETIONARY_METHOD §4.2 name->count census — batch 3 (CC-M2-12.4) (spec_sha16=18d12ab86a4ee6b0)
# params_hash=4a425ed1c08530a32b70ca198ac70719f94dcc3a706dee8eb1caeaaad81b811b
# CC-M2-12.4 census batch 3 — P025/P023/P024/P007-as-entry, strictly causal detectors over the frozen v3 roster
# BOTH CC-M1-8 certificate readings are reported on every row
# Holm-Bonferroni is applied over the WHOLE batch, not per pattern
# S7 c2f / S7 erosion / S8 through-book side are NOT censusable at era scale (MBP-1 event cache covers 488 of 3,734 sessions)
reading	asset	era	metric	n	n_clusters	n_fires	beta_usd	se_naive	se_cr0	se_cr1	z_cr1	p_cr1	icc_rho	deff	n_eff	verdict	holm_rank	holm_threshold	holm_verdict
P025_B_observed	SI	FIT	cert_close	405477	916	322857	14.401972	3.866614	10.058960	10.064468	1.430972	0.152438	0.033161	15.643703	25919.502375	NOT_SIGNIFICANT	209	0.000305	HOLM_NOT_SIGNIFICANT
P025_B_observed	SI	FIT	cert_peak	405477	916	322857	-13.735494	4.587663	14.139587	14.147329	-0.970890	0.331603	0.089446	40.498570	10012.131239	NOT_SIGNIFICANT	253	0.000417	HOLM_NOT_SIGNIFICANT
P025_B_observed	SI	GATE_2025	cert_close	133697	258	100613	37.210971	10.866288	29.000511	29.056987	1.280620	0.200327	0.026811	14.852857	9001.433479	NOT_SIGNIFICANT	223	0.000333	HOLM_NOT_SIGNIFICANT
P025_B_observed	SI	GATE_2025	cert_peak	133697	258	100613	54.781594	17.034821	40.795578	40.875023	1.340222	0.180173	0.071352	37.866902	3530.708714	NOT_SIGNIFICANT	217	0.000321	HOLM_NOT_SIGNIFICANT
P025_B_observed	HG	FIT	cert_close	417265	1021	300134	-5.784460	2.286300	4.115016	4.117038	-1.405006	0.160020	0.010435	5.253842	79420.928170	NOT_SIGNIFICANT	212	0.000311	HOLM_NOT_SIGNIFICANT
P025_B_observed	HG	FIT	cert_peak	417265	1021	300134	-69.672276	2.872155	6.915246	6.918643	-10.070222	0.000000	0.107931	44.996430	9273.291256	SIGNIFICANT_p<0.05	69	0.000164	HOLM_SIGNIFICANT
P025_B_observed	HG	GATE_2025	cert_close	112227	258	82515	5.559321	6.380800	16.739287	16.771897	0.331466	0.740292	0.021178	10.179323	11024.996891	NOT_SIGNIFICANT	331	0.001190	HOLM_NOT_SIGNIFICANT
P025_B_observed	HG	GATE_2025	cert_peak	112227	258	82515	-23.767714	8.561334	31.677328	31.739038	-0.748848	0.453949	0.088590	39.398789	2848.488553	NOT_SIGNIFICANT	274	0.000505	HOLM_NOT_SIGNIFICANT
P025_B_observed	NKD	FIT	cert_close	399526	1023	278819	0.400764	2.901975	6.102154	6.105146	0.065644	0.947662	0.014414	6.613262	60412.847326	NOT_SIGNIFICANT	361	0.004167	HOLM_NOT_SIGNIFICANT
P025_B_observed	NKD	FIT	cert_peak	399526	1023	278819	109.036270	3.632221	10.328189	10.333253	10.551979	0.000000	0.103320	41.236956	9688.542561	SIGNIFICANT_p<0.05	63	0.000161	HOLM_SIGNIFICANT
P025_B_observed	NKD	GATE_2025	cert_close	112168	258	81234	-0.818819	8.418170	34.277632	34.344408	-0.023841	0.980979	0.034497	15.931347	7040.710458	NOT_SIGNIFICANT	369	0.012500	HOLM_NOT_SIGNIFICANT
P025_B_observed	NKD	GATE_2025	cert_peak	112168	258	81234	199.678256	10.955934	28.652855	28.708673	6.955329	0.000000	0.090904	40.346507	2780.116721	SIGNIFICANT_p<0.05	102	0.000185	HOLM_SIGNIFICANT
P023_ABS	ALL	FIT	cert_close	1222268	2960	77796	13.495212	3.119147	14.223685	14.226094	0.948624	0.342812	0.022433	10.240405	119357.383380	NOT_SIGNIFICANT	257	0.000431	HOLM_NOT_SIGNIFICANT
P023_ABS	ALL	FIT	cert_peak	1222268	2960	77796	8.857393	3.835318	13.544044	13.546338	0.653859	0.513203	0.107100	45.114907	27092.330853	NOT_SIGNIFICANT	284	0.000562	HOLM_NOT_SIGNIFICANT
P023_ABS	ALL	GATE_2025	cert_close	358092	774	19443	137.398092	10.092313	53.235588	53.270086	2.579273	0.009901	0.027882	13.865479	25826.153783	SIGNIFICANT_p<0.05	163	0.000238	HOLM_NOT_SIGNIFICANT
P023_ABS	ALL	GATE_2025	cert_peak	358092	774	19443	393.131318	14.914113	105.917724	105.986361	3.709263	0.000208	0.089304	42.207482	8484.088273	SIGNIFICANT_p<0.05	142	0.000216	HOLM_SIGNIFICANT
