# PORT_M2_SHEETS_SPEC.md DISCRETIONARY_METHOD §4.2 name->count census — P001 (spec_sha16=e6443a43e898dd86)
# params_hash=f8d2e2eef007828e5d81c51f4c82166ffb88932cf6c0edb03aeefc970874056e
# P001 PHASE_ROLLOVER_UNDERMOVED — five strictly-causal terms; readings A/B differ ONLY in the T4 age field (see the report)
# BOTH CC-M1-8 certificate readings are reported on every row
reading	asset	era	metric	n	n_clusters	n_fires	beta_usd	se_naive	se_cr0	se_cr1	z_cr1	p_cr1	icc_rho	deff	n_eff	verdict	holm_rank	holm_threshold	holm_verdict
A	HG	GATE_2025	cert_close	112227	258	732	14.728307	34.972401	87.302269	87.472343	0.168377	0.866287	0.021178	10.179323	11024.996891	NOT_SIGNIFICANT	15	0.025000	HOLM_NOT_SIGNIFICANT
A	HG	GATE_2025	cert_peak	112227	258	732	68.260575	46.924689	80.222350	80.378631	0.849238	0.395749	0.088590	39.398789	2848.488553	NOT_SIGNIFICANT	7	0.005000	HOLM_NOT_SIGNIFICANT
A	NKD	FIT	cert_close	399526	1023	2050	24.711921	18.650382	38.313851	38.332639	0.644670	0.519141	0.014414	6.613262	60412.847326	NOT_SIGNIFICANT	11	0.008333	HOLM_NOT_SIGNIFICANT
A	NKD	FIT	cert_peak	399526	1023	2050	-45.173179	23.369773	30.125646	30.140418	-1.498758	0.133937	0.103320	41.236956	9688.542561	NOT_SIGNIFICANT	2	0.003333	HOLM_NOT_SIGNIFICANT
A	NKD	GATE_2025	cert_close	112168	258	772	-62.322798	45.504838	80.365736	80.522296	-0.773982	0.438942	0.034497	15.931347	7040.710458	NOT_SIGNIFICANT	9	0.006250	HOLM_NOT_SIGNIFICANT
A	NKD	GATE_2025	cert_peak	112168	258	772	-93.626291	59.310315	57.728398	57.840859	-1.618688	0.105514	0.090904	40.346507	2780.116721	NOT_SIGNIFICANT	1	0.003125	HOLM_NOT_SIGNIFICANT
B	ALL	FIT	cert_close	1222268	2960	31534	-1.436520	4.803120	15.305968	15.308560	-0.093838	0.925238	0.022433	10.240405	119357.383380	NOT_SIGNIFICANT	15	0.025000	HOLM_NOT_SIGNIFICANT
B	ALL	FIT	cert_peak	1222268	2960	31534	18.313462	5.905884	12.908227	12.910414	1.418503	0.156044	0.107100	45.114907	27092.330853	NOT_SIGNIFICANT	4	0.003846	HOLM_NOT_SIGNIFICANT
B	ALL	GATE_2025	cert_close	358092	774	8179	39.599075	15.311771	45.949546	45.979322	0.861237	0.389108	0.027882	13.865479	25826.153783	NOT_SIGNIFICANT	11	0.008333	HOLM_NOT_SIGNIFICANT
B	ALL	GATE_2025	cert_peak	358092	774	8179	42.873128	22.643450	53.319170	53.353722	0.803564	0.421649	0.089304	42.207482	8484.088273	NOT_SIGNIFICANT	14	0.016667	HOLM_NOT_SIGNIFICANT
B	SI	FIT	cert_close	405477	916	14649	-24.100835	8.346121	28.458099	28.473681	-0.846425	0.397316	0.033161	15.643703	25919.502375	NOT_SIGNIFICANT	12	0.010000	HOLM_NOT_SIGNIFICANT
B	SI	FIT	cert_peak	405477	916	14649	45.658940	9.902293	22.692341	22.704765	2.010985	0.044327	0.089446	40.498570	10012.131239	SIGNIFICANT_p<0.05	3	0.003571	HOLM_NOT_SIGNIFICANT
B	SI	GATE_2025	cert_close	133697	258	3980	87.062800	27.591808	68.041942	68.174446	1.277059	0.201581	0.026811	14.852857	9001.433479	NOT_SIGNIFICANT	7	0.005000	HOLM_NOT_SIGNIFICANT
B	SI	GATE_2025	cert_peak	133697	258	3980	-109.091856	43.255379	94.844713	95.029412	-1.147980	0.250977	0.071352	37.866902	3530.708714	NOT_SIGNIFICANT	8	0.005556	HOLM_NOT_SIGNIFICANT
B	HG	FIT	cert_close	417265	1021	11801	21.899272	6.197093	16.054968	16.062856	1.363349	0.172773	0.010435	5.253842	79420.928170	NOT_SIGNIFICANT	5	0.004167	HOLM_NOT_SIGNIFICANT
B	HG	FIT	cert_peak	417265	1021	11801	-18.939812	7.790561	14.203888	14.210866	-1.332770	0.182607	0.107931	44.996430	9273.291256	NOT_SIGNIFICANT	6	0.004545	HOLM_NOT_SIGNIFICANT
B	HG	GATE_2025	cert_close	112227	258	1947	72.742530	21.560342	76.555362	76.704499	0.948348	0.342953	0.021178	10.179323	11024.996891	NOT_SIGNIFICANT	9	0.006250	HOLM_NOT_SIGNIFICANT
B	HG	GATE_2025	cert_peak	112227	258	1947	173.164061	28.925977	76.418747	76.567618	2.261583	0.023723	0.088590	39.398789	2848.488553	SIGNIFICANT_p<0.05	2	0.003333	HOLM_NOT_SIGNIFICANT
B	NKD	FIT	cert_close	399526	1023	5084	-23.749548	11.888431	25.713471	25.726080	-0.923170	0.355919	0.014414	6.613262	60412.847326	NOT_SIGNIFICANT	10	0.007143	HOLM_NOT_SIGNIFICANT
B	NKD	FIT	cert_peak	399526	1023	5084	-78.951963	14.896330	18.798881	18.808100	-4.197764	0.000027	0.103320	41.236956	9688.542561	SIGNIFICANT_p<0.05	1	0.003125	HOLM_SIGNIFICANT
B	NKD	GATE_2025	cert_close	112168	258	2252	-77.287285	26.820936	95.348032	95.533780	-0.809005	0.418512	0.034497	15.931347	7040.710458	NOT_SIGNIFICANT	13	0.012500	HOLM_NOT_SIGNIFICANT
B	NKD	GATE_2025	cert_peak	112168	258	2252	-6.993284	34.959384	93.985548	94.168641	-0.074263	0.940801	0.090904	40.346507	2780.116721	NOT_SIGNIFICANT	16	0.050000	HOLM_NOT_SIGNIFICANT
P016	ALL	FIT	cert_close	1222268	2960	10797	-95.354071	8.137443	53.364375	53.373414	-1.786546	0.074011	0.022433	10.240405	119357.383380	NOT_SIGNIFICANT	6	0.004545	HOLM_NOT_SIGNIFICANT
P016	ALL	FIT	cert_peak	1222268	2960	10797	-79.745133	10.006085	42.393747	42.400927	-1.880740	0.060007	0.107100	45.114907	27092.330853	NOT_SIGNIFICANT	4	0.003846	HOLM_NOT_SIGNIFICANT
P016	ALL	GATE_2025	cert_close	358092	774	3968	69.401473	21.851940	148.940705	149.037221	0.465665	0.641455	0.027882	13.865479	25826.153783	NOT_SIGNIFICANT	13	0.012500	HOLM_NOT_SIGNIFICANT
P016	ALL	GATE_2025	cert_peak	358092	774	3968	21.453778	32.315519	132.244806	132.330503	0.162123	0.871209	0.089304	42.207482	8484.088273	NOT_SIGNIFICANT	14	0.016667	HOLM_NOT_SIGNIFICANT
P016	SI	FIT	cert_close	405477	916	4976	-181.767730	14.143456	77.339220	77.381565	-2.348980	0.018825	0.033161	15.643703	25919.502375	SIGNIFICANT_p<0.05	3	0.003571	HOLM_NOT_SIGNIFICANT
P016	SI	FIT	cert_peak	405477	916	4976	-170.419546	16.782119	63.366951	63.401646	-2.687936	0.007190	0.089446	40.498570	10012.131239	SIGNIFICANT_p<0.05	1	0.003125	HOLM_NOT_SIGNIFICANT
P016	SI	GATE_2025	cert_close	133697	258	1418	-189.517623	45.774637	180.101340	180.452066	-1.050238	0.293609	0.026811	14.852857	9001.433479	NOT_SIGNIFICANT	9	0.006250	HOLM_NOT_SIGNIFICANT
P016	SI	GATE_2025	cert_peak	133697	258	1418	-406.853577	71.755411	154.962173	155.263943	-2.620400	0.008783	0.071352	37.866902	3530.708714	SIGNIFICANT_p<0.05	2	0.003333	HOLM_NOT_SIGNIFICANT
P016	HG	FIT	cert_close	417265	1021	4086	-51.291036	10.432759	81.625193	81.665294	-0.628064	0.529962	0.010435	5.253842	79420.928170	NOT_SIGNIFICANT	11	0.008333	HOLM_NOT_SIGNIFICANT
P016	HG	FIT	cert_peak	417265	1021	4086	-78.435471	13.115066	62.537093	62.567815	-1.253607	0.209985	0.107931	44.996430	9273.291256	NOT_SIGNIFICANT	8	0.005556	HOLM_NOT_SIGNIFICANT
P016	HG	GATE_2025	cert_close	112227	258	1719	380.700411	22.894960	284.670728	285.225295	1.334736	0.181963	0.021178	10.179323	11024.996891	NOT_SIGNIFICANT	7	0.005000	HOLM_NOT_SIGNIFICANT
P016	HG	GATE_2025	cert_peak	112227	258	1719	445.243817	30.728976	242.931314	243.404568	1.829234	0.067365	0.088590	39.398789	2848.488553	NOT_SIGNIFICANT	5	0.004167	HOLM_NOT_SIGNIFICANT
P016	NKD	FIT	cert_close	399526	1023	1735	14.320220	20.264859	150.868950	150.942931	0.094872	0.924417	0.014414	6.613262	60412.847326	NOT_SIGNIFICANT	15	0.025000	HOLM_NOT_SIGNIFICANT
P016	NKD	FIT	cert_peak	399526	1023	1735	75.266959	25.392585	114.597455	114.653650	0.656472	0.511520	0.103320	41.236956	9688.542561	NOT_SIGNIFICANT	10	0.007143	HOLM_NOT_SIGNIFICANT
P016	NKD	GATE_2025	cert_close	112168	258	831	-135.678729	43.869821	219.809369	220.237580	-0.616056	0.537857	0.034497	15.931347	7040.710458	NOT_SIGNIFICANT	12	0.010000	HOLM_NOT_SIGNIFICANT
P016	NKD	GATE_2025	cert_peak	112168	258	831	18.124348	57.181828	241.018405	241.487934	0.075053	0.940173	0.090904	40.346507	2780.116721	NOT_SIGNIFICANT	16	0.050000	HOLM_NOT_SIGNIFICANT
