# PORT_M1B_SPEC.md S4 atlas screen (spec_sha16=d31f48b59877e44d)
# params_hash=c50dfd164e2fc778844a6f8f6681f8050964cec3ff1e017904a18798e50957c3
# EXPLORATORY_NONCERTIFYING; FIT era only; no promotion claims
# scoring is reported separately: learnability (rho vs own truth) vs economic alignment (within-unit Spearman vs net_phase_close, dollar_recall@k)
asset	label	family	base	kind	horizon	truncation	penalty	transform	ranking_unit	occupancy_derived	shuffled_twin	n_rows	n_folds_scored	rho_median_learnability	rho_fold_min	rho_fold_max	align_spearman_unit	align_p_value	dollar_recall_at3	dollar_recall_at10	era_sign_consistency	era_min_align	era_max_align	holm_rank	holm_threshold	holm_significant	twin_align_spearman	voided_by_twin	fit_secs
SI	ret|e1|h30|raw	ratio	ret|e1	ratio	h30			raw		0	0	100885	4	-0.017421	-0.020310	-0.010810	-0.003028	0.386541	-0.095362	-0.139766	0.666667	-0.013730	0.009867	219	0.000463	0		0	1.672735
SI	ret|e1|h30|z@phase	ratio	ret|e1	ratio	h30			z	phase	0	0	100880	4	0.006239	0.004033	0.008330	-0.000879	0.801638	-0.225011	-0.398900	0.666667	-0.008688	0.011726	295	0.001563	0		0	1.190888
SI	ret|e1|h30|z@session	ratio	ret|e1	ratio	h30			z	session	0	0	100885	4	-0.004083	-0.006601	-0.002579	0.000949	0.786098	-0.113085	-0.141573	0.333333	-0.014710	0.016276	289	0.001316	0		0	1.163159
SI	ret|e1|h30|rank@phase	ratio	ret|e1	ratio	h30			rank	phase	0	0	100880	4	0.007741	-0.005623	0.016175	0.014182	0.000050	-0.220808	-0.379607	1.000000	0.012061	0.017839	91	0.000212	1		0	1.240287
SI	ret|e1|h30|rank@session	ratio	ret|e1	ratio	h30			rank	session	0	0	100885	4	0.015979	0.006864	0.021860	0.007122	0.041698	-0.112527	-0.179466	1.000000	0.001808	0.012118	155	0.000291	0		0	1.175501
SI	ret|e1|h30|winsor@phase	ratio	ret|e1	ratio	h30			winsor	phase	0	0	100885	4	-0.017164	-0.020990	-0.007384	-0.007135	0.041357	-0.223035	-0.379307	0.666667	-0.016896	0.007177	154	0.000289	0		0	1.172101
SI	ret|e1|h30|winsor@session	ratio	ret|e1	ratio	h30			winsor	session	0	0	100885	4	-0.015085	-0.017929	-0.010873	0.001558	0.655954	-0.106175	-0.134979	0.333333	-0.005696	0.014319	267	0.000833	0		0	1.185062
SI	retg|e1|h30|raw	ratio	retg|e1	ratio	h30			raw		0	0	90584	4	0.008267	0.001101	0.016338	0.000602	0.870212	-0.075768	-0.104397	0.666667	-0.001404	0.002327	307	0.002500	0		0	1.075442
SI	retg|e1|h30|z@phase	ratio	retg|e1	ratio	h30			z	phase	0	0	90571	4	0.016593	0.013190	0.029855	0.010028	0.006511	-0.183808	-0.302798	1.000000	0.006466	0.016387	126	0.000249	0		0	1.634577
SI	retg|e1|h30|z@session	ratio	retg|e1	ratio	h30			z	session	0	0	90584	4	0.013600	0.006305	0.028375	0.004467	0.225383	-0.085063	-0.110332	0.666667	-0.001113	0.008040	198	0.000388	0		0	1.090602
SI	retg|e1|h30|rank@phase	ratio	retg|e1	ratio	h30			rank	phase	0	0	90571	4	0.012771	-0.003263	0.019352	0.008404	0.022598	-0.208531	-0.308972	1.000000	0.006527	0.009606	143	0.000272	0		0	1.084159
SI	retg|e1|h30|rank@session	ratio	retg|e1	ratio	h30			rank	session	0	0	90584	4	0.009222	-0.000747	0.016987	0.008512	0.020885	-0.082746	-0.123519	1.000000	0.004310	0.010871	140	0.000267	0		0	1.116165
SI	retg|e1|h30|winsor@phase	ratio	retg|e1	ratio	h30			winsor	phase	0	0	90584	4	0.012236	0.001710	0.024912	-0.000214	0.953632	-0.177234	-0.305410	0.333333	-0.008136	0.009118	321	0.008333	0		0	1.108058
SI	retg|e1|h30|winsor@session	ratio	retg|e1	ratio	h30			winsor	session	0	0	90584	4	0.014114	0.004924	0.021722	0.000373	0.919463	-0.076222	-0.109073	0.666667	-0.003444	0.003746	316	0.004545	0		0	1.094570
SI	ret|e5|h30|raw	ratio	ret|e5	ratio	h30			raw		0	0	100885	4	0.019307	0.012078	0.022541	-0.001120	0.748724	-0.096520	-0.128463	0.666667	-0.010511	0.008502	283	0.001136	0		0	1.235078
SI	ret|e5|h30|z@phase	ratio	ret|e5	ratio	h30			z	phase	0	0	100880	4	0.037629	0.030610	0.045755	-0.006102	0.081050	-0.252806	-0.384589	0.666667	-0.018506	0.009273	169	0.000316	0		0	1.219383
SI	ret|e5|h30|z@session	ratio	ret|e5	ratio	h30			z	session	0	0	100885	4	0.031449	0.020571	0.037932	0.003838	0.272433	-0.095037	-0.128181	0.666667	-0.003052	0.014041	204	0.000407	0		0	1.703335
SI	ret|e5|h30|rank@phase	ratio	ret|e5	ratio	h30			rank	phase	0	0	100880	4	0.006446	0.002503	0.015787	0.013755	0.000084	-0.211571	-0.379748	1.000000	0.011664	0.016718	94	0.000215	1		0	1.173099
SI	ret|e5|h30|rank@session	ratio	ret|e5	ratio	h30			rank	session	0	0	100885	4	0.008017	0.000779	0.014062	0.004875	0.163263	-0.111732	-0.143388	1.000000	0.001529	0.009090	188	0.000360	0		0	1.160319
SI	ret|e5|h30|winsor@phase	ratio	ret|e5	ratio	h30			winsor	phase	0	0	100885	4	0.018715	0.011902	0.024636	-0.009919	0.004566	-0.253472	-0.391859	1.000000	-0.016755	-0.005235	122	0.000244	0		0	1.237547
SI	ret|e5|h30|winsor@session	ratio	ret|e5	ratio	h30			winsor	session	0	0	100885	4	0.020084	0.011720	0.025803	-0.001137	0.745038	-0.106894	-0.129654	0.666667	-0.007792	0.010566	281	0.001087	0		0	1.175179
SI	retg|e5|h30|raw	ratio	retg|e5	ratio	h30			raw		0	0	65735	4	0.076693	0.074661	0.107067	0.001206	0.779337	-0.016059	-0.023393	0.666667	-0.001953	0.006616	287	0.001250	0		0	0.834807
SI	retg|e5|h30|z@phase	ratio	retg|e5	ratio	h30			z	phase	0	0	65607	4	0.044177	0.006502	0.050641	-0.003793	0.379475	-0.083904	-0.148778	0.666667	-0.012566	0.010220	217	0.000455	0		0	0.850518
SI	retg|e5|h30|z@session	ratio	retg|e5	ratio	h30			z	session	0	0	65735	4	0.076376	0.070291	0.093724	0.004555	0.290128	-0.018410	-0.018998	1.000000	0.000484	0.008577	207	0.000417	0		0	0.834500
SI	retg|e5|h30|rank@phase	ratio	retg|e5	ratio	h30			rank	phase	0	0	65625	4	0.033770	0.022013	0.040367	0.019599	0.000006	-0.075607	-0.114268	1.000000	0.013714	0.025533	81	0.000203	1		0	0.840729
SI	retg|e5|h30|rank@session	ratio	retg|e5	ratio	h30			rank	session	0	0	65735	4	0.067780	0.055053	0.076949	0.002106	0.624730	-0.008456	-0.035566	0.666667	-0.008556	0.010361	260	0.000746	0		0	0.822602
SI	retg|e5|h30|winsor@phase	ratio	retg|e5	ratio	h30			winsor	phase	0	0	65735	4	0.076234	0.071590	0.105453	0.000149	0.972377	-0.034752	-0.093634	0.666667	-0.005718	0.003161	324	0.016667	0		0	0.850599
SI	retg|e5|h30|winsor@session	ratio	retg|e5	ratio	h30			winsor	session	0	0	65735	4	0.078066	0.070678	0.109261	-0.001805	0.675059	-0.015694	-0.022061	0.666667	-0.004519	0.001018	270	0.000877	0		0	0.824168
SI	ret|e15|h30|raw	ratio	ret|e15	ratio	h30			raw		0	0	100885	4	0.021875	0.016106	0.030073	-0.000261	0.940552	-0.088044	-0.126831	0.666667	-0.007526	0.009097	319	0.006250	0		0	1.160511
SI	ret|e15|h30|z@phase	ratio	ret|e15	ratio	h30			z	phase	0	0	100877	4	0.026802	0.020997	0.034106	-0.000946	0.786815	-0.234991	-0.391918	0.666667	-0.012320	0.011462	290	0.001351	0		0	1.195159
SI	ret|e15|h30|z@session	ratio	ret|e15	ratio	h30			z	session	0	0	100885	4	0.032359	0.027327	0.036212	0.003476	0.320203	-0.089312	-0.132769	0.666667	-0.006589	0.013348	211	0.000431	0		0	1.184470
SI	ret|e15|h30|rank@phase	ratio	ret|e15	ratio	h30			rank	phase	0	0	100880	4	0.004462	-0.000170	0.022074	0.008667	0.013210	-0.225701	-0.385610	1.000000	0.002234	0.017403	134	0.000259	0		0	1.219018
SI	ret|e15|h30|rank@session	ratio	ret|e15	ratio	h30			rank	session	0	0	100885	4	0.008904	0.005657	0.019334	0.010893	0.001838	-0.099199	-0.147139	1.000000	0.003864	0.014500	111	0.000231	0		0	1.162892
SI	ret|e15|h30|winsor@phase	ratio	ret|e15	ratio	h30			winsor	phase	0	0	100885	4	0.019830	0.012553	0.026940	-0.007653	0.028667	-0.233878	-0.381743	1.000000	-0.012629	-0.000059	147	0.000278	0		0	1.182795
SI	ret|e15|h30|winsor@session	ratio	ret|e15	ratio	h30			winsor	session	0	0	100885	4	0.020452	0.014984	0.030535	0.001135	0.745597	-0.094715	-0.128617	0.333333	-0.006054	0.010025	282	0.001111	0		0	1.163356
SI	retg|e15|h30|raw	ratio	retg|e15	ratio	h30			raw		0	0	26318	4	0.100643	0.053696	0.118468	0.004504	0.503575	0.131436	0.195092	0.666667	-0.003680	0.018172	239	0.000568	0		0	0.399135
SI	retg|e15|h30|z@phase	ratio	retg|e15	ratio	h30			z	phase	0	0	25968	4	0.002280	-0.010527	0.079383	0.016407	0.016196	0.182251	0.230135	1.000000	0.003136	0.048948	137	0.000263	0		0	0.395467
SI	retg|e15|h30|z@session	ratio	retg|e15	ratio	h30			z	session	0	0	26312	4	0.083642	0.071671	0.100213	0.032147	0.000002	0.159531	0.203222	0.666667	-0.001084	0.076370	78	0.000201	1		0	0.402211
SI	retg|e15|h30|rank@phase	ratio	retg|e15	ratio	h30			rank	phase	0	0	26004	4	0.061516	0.044198	0.077858	0.054602	0.000000	0.205092	0.269552	1.000000	0.021109	0.080667	41	0.000175	1		0	0.398783
SI	retg|e15|h30|rank@session	ratio	retg|e15	ratio	h30			rank	session	0	0	26312	4	0.070288	0.052231	0.076896	0.018665	0.005564	0.158321	0.185863	1.000000	0.006764	0.031849	124	0.000246	0		0	0.397737
SI	retg|e15|h30|winsor@phase	ratio	retg|e15	ratio	h30			winsor	phase	0	0	26318	4	0.100697	0.057273	0.117253	0.015019	0.027661	0.212551	0.262334	1.000000	0.000412	0.035598	146	0.000276	0		0	0.410658
SI	retg|e15|h30|winsor@session	ratio	retg|e15	ratio	h30			winsor	session	0	0	26318	4	0.099948	0.054497	0.120328	0.006801	0.312467	0.125531	0.206609	0.666667	-0.011637	0.029422	210	0.000427	0		0	0.402511
