# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# THE-FIX-LIST: components ranked by recoverable $/session, with the named improvement type
# block A = fixed-contract ladder (additive); B = contract change, D-029 reserved; D = diagnostic
# standalone = the same repair applied ALONE from the judge's own takes (order-free)
rank	judge	component	improvement_type	block	usd_per_session	usd_total	share_of_block_A	standalone_usd_per_session	n_repairs	top_cell	top_cell_usd_per_session
1	E3E7_LMART_HP_NOTF	RANKING_RESIDUAL	scoring/foresight	A	567.470000	1100331.860000	0.457200	2167.330000	0	E7|SI|rg0|ph2	11.990000
2	E3E7_LMART_HP_NOTF	SEL_WRONG_MEMBER	ranking	A	385.990000	748427.520000	0.311000	1106.260000	5186	E3|SI|rg2|ph2	15.740000
3	E3E7_LMART_HP_NOTF	SEL_WRONG_SIDE	validity	A	242.960000	471096.640000	0.195700	468.910000	767	E7|SI|rg0|ph2	11.410000
4	E3E7_LMART_HP_NOTF	EXIT	exit-contract (D-029)	B	152.360000	295422.500000	0.122700			E7|HG|rg0|ph0	13.990000
5	E3E7_LMART_HP_NOTF	OPPORTUNITY	generation/coverage	A	102.770000	199262.500000	0.082800			E5|HG|ALL	18.650000
6	E3E7_LMART_HP_NOTF	RISK	stop-structure (D-029)	B	66.290000	128535.000000	0.053400			E6|SI|rg2|ph2	4.480000
7	E3E7_LMART_HP_NOTF	SEL_WRONG_MOMENT	moment	A	26.690000	51750.170000	0.021500	46.510000	773	E7|SI|rg1|ph2	1.710000
8	E3E7_LMART_HP_NOTF	CALIBRATION	threshold	D	0.000000	0.000000	0.000000				
9	E3E7_LMART_HP_NOTF	PARTICIPATION	throughput/abstention	A	-84.630000	-164102.440000	-0.068200	0.000000	339544	E7|HG|rg0|ph2	1.260000
