# PORT_M1B_SPEC.md D-065 EPISODE CENSUS (episode-grain generation quality) (spec_sha16=d31f48b59877e44d)
# params_hash=b275c684b91d617686d714eb547ad3d01d6ae0cf00a335173192b4c0e8bc0aaf
# c_c_roster.dp_schedule, one position, phase-close certificates, per (asset, trade_date); $/day over the roster's trading days
asset	era	cert_metric	selection	n_days	dp_total_usd	dp_usd_per_day	dp_picks_per_day	delta_usd_per_day_vs_all	delta_frac_vs_all
SI	2021	close	ALL_CANDIDATES	142	427767.500000	3012.447183	3.056338	0.000000	0.000000
SI	2021	close	EPISODE|BEST_MEMBER	142	408595.000000	2877.429577	2.929577	-135.017606	-0.044820
SI	2021	close	EPISODE|BEST_SPREAD	142	337472.500000	2376.566901	2.873239	-635.880282	-0.211084
SI	2021	close	EPISODE|CLOSEST_LEVEL	142	333637.500000	2349.559859	2.852113	-662.887324	-0.220049
SI	2021	close	EPISODE|EARLIEST	142	340622.500000	2398.750000	2.873239	-613.697183	-0.203720
SI	2021	close	EPISODE|FAMILY_PRIORITY	142	323535.000000	2278.415493	2.838028	-734.031690	-0.243666
SI	2021	close	EPISODE|HIGHEST_RUNG	142	304947.500000	2147.517606	2.838028	-864.929577	-0.287119
SI	2021	peak	ALL_CANDIDATES	142	976172.500000	6874.454225	17.802817	0.000000	0.000000
SI	2021	peak	EPISODE|BEST_MEMBER	142	802705.000000	5652.852113	7.281690	-1221.602113	-0.177702
SI	2021	peak	EPISODE|BEST_SPREAD	142	727557.500000	5123.644366	6.802817	-1750.809859	-0.254683
SI	2021	peak	EPISODE|CLOSEST_LEVEL	142	701840.000000	4942.535211	7.091549	-1931.919014	-0.281029
SI	2021	peak	EPISODE|EARLIEST	142	734350.000000	5171.478873	6.866197	-1702.975352	-0.247725
SI	2021	peak	EPISODE|FAMILY_PRIORITY	142	685057.500000	4824.348592	6.732394	-2050.105634	-0.298221
SI	2021	peak	EPISODE|HIGHEST_RUNG	142	662350.000000	4664.436620	6.690141	-2210.017606	-0.321483
SI	2022	close	ALL_CANDIDATES	258	949742.500000	3681.172481	3.096899	0.000000	0.000000
SI	2022	close	EPISODE|BEST_MEMBER	258	929995.000000	3604.631783	3.027132	-76.540698	-0.020792
SI	2022	close	EPISODE|BEST_SPREAD	258	766625.000000	2971.414729	2.945736	-709.757752	-0.192808
SI	2022	close	EPISODE|CLOSEST_LEVEL	258	773665.000000	2998.701550	2.953488	-682.470930	-0.185395
SI	2022	close	EPISODE|EARLIEST	258	776877.500000	3011.153101	2.953488	-670.019380	-0.182012
SI	2022	close	EPISODE|FAMILY_PRIORITY	258	749212.500000	2903.924419	2.945736	-777.248062	-0.211141
SI	2022	close	EPISODE|HIGHEST_RUNG	258	691440.000000	2680.000000	2.914729	-1001.172481	-0.271971
SI	2022	peak	ALL_CANDIDATES	258	2181312.500000	8454.699612	21.860465	0.000000	0.000000
SI	2022	peak	EPISODE|BEST_MEMBER	258	1749667.500000	6781.656977	7.903101	-1673.042636	-0.197883
SI	2022	peak	EPISODE|BEST_SPREAD	258	1594475.000000	6180.135659	7.500000	-2274.563953	-0.269030
SI	2022	peak	EPISODE|CLOSEST_LEVEL	258	1529707.500000	5929.098837	7.523256	-2525.600775	-0.298722
SI	2022	peak	EPISODE|EARLIEST	258	1611737.500000	6247.044574	7.461240	-2207.655039	-0.261116
SI	2022	peak	EPISODE|FAMILY_PRIORITY	258	1476455.000000	5722.693798	7.437984	-2732.005814	-0.323135
