# PORT_M1B_SPEC.md D-065 EPISODE CENSUS (episode-grain generation quality) (spec_sha16=d31f48b59877e44d)
# params_hash=b275c684b91d617686d714eb547ad3d01d6ae0cf00a335173192b4c0e8bc0aaf
# rules: EARLIEST, BEST_SPREAD, HIGHEST_RUNG, FAMILY_PRIORITY, CLOSEST_LEVEL, BEST_MEMBER
# (dec_sec, iid, roster_row)
# min |entry_mid - level_price| x mult over the G2 confirmations at dec_sec - tau* (m1/levels_v4 touches); the rule abstains when no member has a level; the DP probe falls back to EARLIEST on abstention
# multi-member episodes only; episodes whose best member certificate is <= 0 are not scored
asset	era	cert_metric	rule	n_episodes_scored	n_abstained	capture_of_best	mean_per_episode_ratio	vs_mean_member	argmax_hit_rate
SI	2025	peak	BEST_MEMBER	7610	0	1.000000	1.000000	1.546165	1.000000
SI	2025	peak	BEST_SPREAD	7610	0	0.725346	0.591877	1.121505	0.362155
SI	2025	peak	CLOSEST_LEVEL	4660	2950	0.687274	0.599210	1.179919	0.166309
SI	2025	peak	EARLIEST	7610	0	0.753143	0.688536	1.164484	0.470434
SI	2025	peak	FAMILY_PRIORITY	7610	0	0.709175	0.634474	1.096502	0.333377
SI	2025	peak	HIGHEST_RUNG	7610	0	0.639643	0.486728	0.988994	0.132983
SI	ALL	close	BEST_MEMBER	19577	0	1.000000	1.000000	2.306351	1.000000
SI	ALL	close	BEST_SPREAD	19577	0	0.531870	-0.016229	1.226680	0.403586
SI	ALL	close	CLOSEST_LEVEL	12516	7061	0.525364	-0.351926	1.479671	0.183046
SI	ALL	close	EARLIEST	19577	0	0.548795	0.079307	1.265714	0.477652
SI	ALL	close	FAMILY_PRIORITY	19577	0	0.518000	-0.118872	1.194691	0.347806
SI	ALL	close	HIGHEST_RUNG	19577	0	0.407900	-0.688861	0.940760	0.116974
SI	ALL	peak	BEST_MEMBER	35022	0	1.000000	1.000000	1.362885	1.000000
SI	ALL	peak	BEST_SPREAD	35022	0	0.795700	0.675946	1.084448	0.437896
SI	ALL	peak	CLOSEST_LEVEL	20422	14600	0.758351	0.646883	1.131647	0.205367
SI	ALL	peak	EARLIEST	35022	0	0.811517	0.719454	1.106004	0.515704
SI	ALL	peak	FAMILY_PRIORITY	35022	0	0.784650	0.681459	1.069387	0.388299
SI	ALL	peak	HIGHEST_RUNG	35022	0	0.715614	0.535466	0.975299	0.154246
SI	FIT_2021_2024	close	BEST_MEMBER	15399	0	1.000000	1.000000	2.088829	1.000000
SI	FIT_2021_2024	close	BEST_SPREAD	15399	0	0.561209	0.025198	1.172269	0.423274
SI	FIT_2021_2024	close	CLOSEST_LEVEL	9663	5736	0.557204	-0.260966	1.409101	0.193315
SI	FIT_2021_2024	close	EARLIEST	15399	0	0.572707	0.116094	1.196288	0.490811
SI	FIT_2021_2024	close	FAMILY_PRIORITY	15399	0	0.558563	-0.084713	1.166742	0.364179
SI	FIT_2021_2024	close	HIGHEST_RUNG	15399	0	0.436016	-0.626915	0.910763	0.122670
SI	FIT_2021_2024	peak	BEST_MEMBER	27412	0	1.000000	1.000000	1.290470	1.000000
SI	FIT_2021_2024	peak	BEST_SPREAD	27412	0	0.829005	0.699284	1.069806	0.458923
SI	FIT_2021_2024	peak	CLOSEST_LEVEL	15762	11650	0.794778	0.660977	1.111494	0.216914
SI	FIT_2021_2024	peak	EARLIEST	27412	0	0.839151	0.728037	1.082899	0.528272
SI	FIT_2021_2024	peak	FAMILY_PRIORITY	27412	0	0.820379	0.694503	1.058674	0.403546
SI	FIT_2021_2024	peak	HIGHEST_RUNG	27412	0	0.751577	0.548996	0.969888	0.160149
SI	GATE_2025	close	BEST_MEMBER	4178	0	1.000000	1.000000	2.912142	1.000000
SI	GATE_2025	close	BEST_SPREAD	4178	0	0.473264	-0.168921	1.378211	0.331020
SI	GATE_2025	close	CLOSEST_LEVEL	2853	1325	0.465276	-0.660005	1.668530	0.148265
SI	GATE_2025	close	EARLIEST	4178	0	0.501028	-0.056282	1.459065	0.429153
SI	GATE_2025	close	FAMILY_PRIORITY	4178	0	0.436972	-0.244774	1.272525	0.287458
SI	GATE_2025	close	HIGHEST_RUNG	4178	0	0.351735	-0.917174	1.024302	0.095979
SI	GATE_2025	peak	BEST_MEMBER	7610	0	1.000000	1.000000	1.546165	1.000000
SI	GATE_2025	peak	BEST_SPREAD	7610	0	0.725346	0.591877	1.121505	0.362155
SI	GATE_2025	peak	CLOSEST_LEVEL	4660	2950	0.687274	0.599210	1.179919	0.166309
SI	GATE_2025	peak	EARLIEST	7610	0	0.753143	0.688536	1.164484	0.470434
SI	GATE_2025	peak	FAMILY_PRIORITY	7610	0	0.709175	0.634474	1.096502	0.333377
SI	GATE_2025	peak	HIGHEST_RUNG	7610	0	0.639643	0.486728	0.988994	0.132983
HG	2021	close	BEST_MEMBER	4208	0	1.000000	1.000000	1.892770	1.000000
HG	2021	close	BEST_SPREAD	4208	0	0.595400	-1.148467	1.126955	0.327947
HG	2021	close	CLOSEST_LEVEL	2414	1794	0.576579	-2.330426	1.360345	0.147059
HG	2021	close	EARLIEST	4208	0	0.617112	-0.865840	1.168050	0.462452
HG	2021	close	FAMILY_PRIORITY	4208	0	0.607941	-1.532426	1.150692	0.335789
HG	2021	close	HIGHEST_RUNG	4208	0	0.491858	-2.323775	0.930974	0.106226
HG	2021	peak	BEST_MEMBER	7269	0	1.000000	1.000000	1.242621	1.000000
HG	2021	peak	BEST_SPREAD	7269	0	0.849166	0.515456	1.055191	0.366350
HG	2021	peak	CLOSEST_LEVEL	3727	3542	0.805371	0.685693	1.092956	0.161256
HG	2021	peak	EARLIEST	7269	0	0.860032	0.528662	1.068694	0.495667
HG	2021	peak	FAMILY_PRIORITY	7269	0	0.846376	0.641025	1.051725	0.375980
HG	2021	peak	HIGHEST_RUNG	7269	0	0.786605	0.351642	0.977452	0.137708
HG	2022	close	BEST_MEMBER	4535	0	1.000000	1.000000	2.071621	1.000000
HG	2022	close	BEST_SPREAD	4535	0	0.537714	-1.675157	1.113940	0.295259
HG	2022	close	CLOSEST_LEVEL	2891	1644	0.531375	-2.260399	1.400141	0.134901
HG	2022	close	EARLIEST	4535	0	0.570870	-1.346356	1.182627	0.430871
HG	2022	close	FAMILY_PRIORITY	4535	0	0.547641	-1.782085	1.134505	0.306505
HG	2022	close	HIGHEST_RUNG	4535	0	0.439950	-2.994373	0.911409	0.089305
HG	2022	peak	BEST_MEMBER	7758	0	1.000000	1.000000	1.268901	1.000000
HG	2022	peak	BEST_SPREAD	7758	0	0.829835	0.430116	1.052979	0.334880
HG	2022	peak	CLOSEST_LEVEL	4506	3252	0.801421	0.527892	1.102028	0.162672
HG	2022	peak	EARLIEST	7758	0	0.849385	0.474717	1.077786	0.475380
HG	2022	peak	FAMILY_PRIORITY	7758	0	0.829227	0.445634	1.052207	0.352153
HG	2022	peak	HIGHEST_RUNG	7758	0	0.759633	0.339808	0.963899	0.113947
HG	2023	close	BEST_MEMBER	4670	0	1.000000	1.000000	1.651310	1.000000
HG	2023	close	BEST_SPREAD	4670	0	0.664594	-0.338287	1.097451	0.355675
HG	2023	close	CLOSEST_LEVEL	2765	1905	0.595742	-1.371087	1.231576	0.158409
HG	2023	close	EARLIEST	4670	0	0.675150	-0.273644	1.114881	0.437259
HG	2023	close	FAMILY_PRIORITY	4670	0	0.667812	-0.660816	1.102765	0.339186
HG	2023	close	HIGHEST_RUNG	4670	0	0.561947	-1.200549	0.927950	0.111563
HG	2023	peak	BEST_MEMBER	8017	0	1.000000	1.000000	1.197497	1.000000
HG	2023	peak	BEST_SPREAD	8017	0	0.882796	0.563904	1.057146	0.395784
HG	2023	peak	CLOSEST_LEVEL	4361	3656	0.831292	0.370426	1.075840	0.181380
HG	2023	peak	EARLIEST	8017	0	0.887949	0.585662	1.063317	0.479855
HG	2023	peak	FAMILY_PRIORITY	8017	0	0.873327	0.434196	1.045807	0.377697
HG	2023	peak	HIGHEST_RUNG	8017	0	0.812697	0.359057	0.973202	0.139329
HG	2024	close	BEST_MEMBER	4439	0	1.000000	1.000000	1.855339	1.000000
HG	2024	close	BEST_SPREAD	4439	0	0.614670	-0.523322	1.140421	0.353683
HG	2024	close	CLOSEST_LEVEL	2674	1765	0.560477	-1.455271	1.299441	0.151832
HG	2024	close	EARLIEST	4439	0	0.633014	-0.172989	1.174455	0.464068
HG	2024	close	FAMILY_PRIORITY	4439	0	0.610263	-0.646282	1.132245	0.352106
HG	2024	close	HIGHEST_RUNG	4439	0	0.501811	-1.722559	0.931030	0.098671
HG	2024	peak	BEST_MEMBER	7761	0	1.000000	1.000000	1.234465	1.000000
HG	2024	peak	BEST_SPREAD	7761	0	0.860668	0.719407	1.062465	0.390671
HG	2024	peak	CLOSEST_LEVEL	4235	3526	0.808495	0.607854	1.086021	0.172609
HG	2024	peak	EARLIEST	7761	0	0.872930	0.750231	1.077602	0.494266
HG	2024	peak	FAMILY_PRIORITY	7761	0	0.850249	0.690962	1.049602	0.384100
HG	2024	peak	HIGHEST_RUNG	7761	0	0.790892	0.578361	0.976328	0.137482
HG	2025	close	BEST_MEMBER	4301	0	1.000000	1.000000	2.077061	1.000000
HG	2025	close	BEST_SPREAD	4301	0	0.509546	-1.773909	1.058358	0.302488
HG	2025	close	CLOSEST_LEVEL	2667	1634	0.532564	-1.713073	1.398875	0.151106
HG	2025	close	EARLIEST	4301	0	0.583492	-1.421805	1.211948	0.447570
HG	2025	close	FAMILY_PRIORITY	4301	0	0.548376	-1.488339	1.139011	0.322483
HG	2025	close	HIGHEST_RUNG	4301	0	0.441070	-2.151180	0.916129	0.098349
HG	2025	peak	BEST_MEMBER	7516	0	1.000000	1.000000	1.298923	1.000000
HG	2025	peak	BEST_SPREAD	7516	0	0.800922	0.673427	1.040336	0.344066
HG	2025	peak	CLOSEST_LEVEL	4202	3314	0.777880	0.655187	1.102336	0.174203
HG	2025	peak	EARLIEST	7516	0	0.838127	0.723083	1.088663	0.485764
HG	2025	peak	FAMILY_PRIORITY	7516	0	0.813432	0.702332	1.056585	0.365487
HG	2025	peak	HIGHEST_RUNG	7516	0	0.748822	0.534623	0.972662	0.127594
HG	ALL	close	BEST_MEMBER	22153	0	1.000000	1.000000	1.916940	1.000000
HG	ALL	close	BEST_SPREAD	22153	0	0.576500	-1.081659	1.105115	0.327315
HG	ALL	close	CLOSEST_LEVEL	13411	8742	0.555142	-1.820273	1.343146	0.148535
HG	ALL	close	EARLIEST	22153	0	0.611283	-0.808477	1.171794	0.448111
HG	ALL	close	FAMILY_PRIORITY	22153	0	0.590493	-1.213669	1.131939	0.331197
HG	ALL	close	HIGHEST_RUNG	22153	0	0.481506	-2.070291	0.923019	0.100844
HG	ALL	peak	BEST_MEMBER	38321	0	1.000000	1.000000	1.252047	1.000000
HG	ALL	peak	BEST_SPREAD	38321	0	0.840931	0.580603	1.052885	0.366692
HG	ALL	peak	CLOSEST_LEVEL	21031	17290	0.802141	0.564740	1.093196	0.170605
HG	ALL	peak	EARLIEST	38321	0	0.859394	0.612672	1.076001	0.486026
HG	ALL	peak	FAMILY_PRIORITY	38321	0	0.839858	0.580336	1.051541	0.371102
HG	ALL	peak	HIGHEST_RUNG	38321	0	0.776701	0.432602	0.972466	0.131207
HG	FIT_2021_2024	close	BEST_MEMBER	17852	0	1.000000	1.000000	1.868878	1.000000
HG	FIT_2021_2024	close	BEST_SPREAD	17852	0	0.598836	-0.914879	1.119150	0.333296
HG	FIT_2021_2024	close	CLOSEST_LEVEL	10744	7108	0.563050	-1.846883	1.325650	0.147897
HG	FIT_2021_2024	close	EARLIEST	17852	0	0.620555	-0.660710	1.159741	0.448241
HG	FIT_2021_2024	close	FAMILY_PRIORITY	17852	0	0.604543	-1.147494	1.129817	0.333296
HG	FIT_2021_2024	close	HIGHEST_RUNG	17852	0	0.494996	-2.050803	0.925087	0.101445
HG	FIT_2021_2024	peak	BEST_MEMBER	30805	0	1.000000	1.000000	1.237634	1.000000
HG	FIT_2021_2024	peak	BEST_SPREAD	30805	0	0.853842	0.557956	1.056744	0.372212
HG	FIT_2021_2024	peak	CLOSEST_LEVEL	16829	13976	0.810428	0.542156	1.090233	0.169707
HG	FIT_2021_2024	peak	EARLIEST	30805	0	0.866256	0.585733	1.072108	0.486090
HG	FIT_2021_2024	peak	FAMILY_PRIORITY	30805	0	0.848385	0.550571	1.049991	0.372472
HG	FIT_2021_2024	peak	HIGHEST_RUNG	30805	0	0.785697	0.407711	0.972406	0.132089
HG	GATE_2025	close	BEST_MEMBER	4301	0	1.000000	1.000000	2.077061	1.000000
HG	GATE_2025	close	BEST_SPREAD	4301	0	0.509546	-1.773909	1.058358	0.302488
HG	GATE_2025	close	CLOSEST_LEVEL	2667	1634	0.532564	-1.713073	1.398875	0.151106
HG	GATE_2025	close	EARLIEST	4301	0	0.583492	-1.421805	1.211948	0.447570
HG	GATE_2025	close	FAMILY_PRIORITY	4301	0	0.548376	-1.488339	1.139011	0.322483
HG	GATE_2025	close	HIGHEST_RUNG	4301	0	0.441070	-2.151180	0.916129	0.098349
HG	GATE_2025	peak	BEST_MEMBER	7516	0	1.000000	1.000000	1.298923	1.000000
HG	GATE_2025	peak	BEST_SPREAD	7516	0	0.800922	0.673427	1.040336	0.344066
HG	GATE_2025	peak	CLOSEST_LEVEL	4202	3314	0.777880	0.655187	1.102336	0.174203
HG	GATE_2025	peak	EARLIEST	7516	0	0.838127	0.723083	1.088663	0.485764
HG	GATE_2025	peak	FAMILY_PRIORITY	7516	0	0.813432	0.702332	1.056585	0.365487
HG	GATE_2025	peak	HIGHEST_RUNG	7516	0	0.748822	0.534623	0.972662	0.127594
NKD	2021	close	BEST_MEMBER	3852	0	1.000000	1.000000	1.880463	1.000000
NKD	2021	close	BEST_SPREAD	3852	0	0.597720	-0.049214	1.123990	0.371236
NKD	2021	close	CLOSEST_LEVEL	2053	1799	0.551126	-0.189848	1.415139	0.162202
NKD	2021	close	EARLIEST	3852	0	0.625869	0.061474	1.176923	0.497144
NKD	2021	close	FAMILY_PRIORITY	3852	0	0.622910	0.058393	1.171360	0.380582
NKD	2021	close	HIGHEST_RUNG	3852	0	0.507025	-0.425889	0.953441	0.128245
NKD	2021	peak	BEST_MEMBER	7165	0	1.000000	1.000000	1.280537	1.000000
NKD	2021	peak	BEST_SPREAD	7165	0	0.824416	0.693391	1.055695	0.414794
NKD	2021	peak	CLOSEST_LEVEL	3382	3783	0.780698	0.660664	1.108162	0.184802
NKD	2021	peak	EARLIEST	7165	0	0.837356	0.761488	1.072266	0.534124
NKD	2021	peak	FAMILY_PRIORITY	7165	0	0.829334	0.723618	1.061994	0.421214
NKD	2021	peak	HIGHEST_RUNG	7165	0	0.761667	0.471523	0.975343	0.163573
NKD	2022	close	BEST_MEMBER	4201	0	1.000000	1.000000	1.973947	1.000000
NKD	2022	close	BEST_SPREAD	4201	0	0.572397	-0.132164	1.129881	0.347060
NKD	2022	close	CLOSEST_LEVEL	2703	1498	0.559119	-0.342705	1.370022	0.174621
NKD	2022	close	EARLIEST	4201	0	0.592718	-0.031845	1.169993	0.449179
NKD	2022	close	FAMILY_PRIORITY	4201	0	0.584428	-0.132748	1.153630	0.321590
NKD	2022	close	HIGHEST_RUNG	4201	0	0.461975	-0.685136	0.911915	0.121876
NKD	2022	peak	BEST_MEMBER	7556	0	1.000000	1.000000	1.279302	1.000000
NKD	2022	peak	BEST_SPREAD	7556	0	0.830638	0.723968	1.062638	0.396109
NKD	2022	peak	CLOSEST_LEVEL	4402	3154	0.793658	0.710164	1.104118	0.198319
NKD	2022	peak	EARLIEST	7556	0	0.839633	0.736727	1.074144	0.504103
NKD	2022	peak	FAMILY_PRIORITY	7556	0	0.820948	0.687039	1.050241	0.370169
NKD	2022	peak	HIGHEST_RUNG	7556	0	0.760883	0.539455	0.973400	0.150476
NKD	2023	close	BEST_MEMBER	4322	0	1.000000	1.000000	1.747918	1.000000
NKD	2023	close	BEST_SPREAD	4322	0	0.646439	-0.029419	1.129921	0.394493
NKD	2023	close	CLOSEST_LEVEL	2510	1812	0.596273	-0.393612	1.299590	0.207968
NKD	2023	close	EARLIEST	4322	0	0.665025	0.054241	1.162409	0.490051
NKD	2023	close	FAMILY_PRIORITY	4322	0	0.649890	-0.077419	1.135955	0.384313
NKD	2023	close	HIGHEST_RUNG	4322	0	0.544667	-0.534346	0.952033	0.148774
NKD	2023	peak	BEST_MEMBER	7815	0	1.000000	1.000000	1.257008	1.000000
NKD	2023	peak	BEST_SPREAD	7815	0	0.842701	0.734999	1.059282	0.427895
NKD	2023	peak	CLOSEST_LEVEL	4201	3614	0.799235	0.651696	1.098498	0.237562
NKD	2023	peak	EARLIEST	7815	0	0.852670	0.752662	1.071813	0.526296
NKD	2023	peak	FAMILY_PRIORITY	7815	0	0.844539	0.750415	1.061593	0.415995
NKD	2023	peak	HIGHEST_RUNG	7815	0	0.776887	0.500737	0.976553	0.176839
NKD	2024	close	BEST_MEMBER	3922	0	1.000000	1.000000	2.220994	1.000000
NKD	2024	close	BEST_SPREAD	3922	0	0.520439	-0.431610	1.155891	0.315655
NKD	2024	close	CLOSEST_LEVEL	2485	1437	0.490890	-0.674326	1.446494	0.148491
NKD	2024	close	EARLIEST	3922	0	0.573439	-0.287402	1.273605	0.459459
NKD	2024	close	FAMILY_PRIORITY	3922	0	0.543316	-0.316755	1.206702	0.319735
NKD	2024	close	HIGHEST_RUNG	3922	0	0.432195	-0.896100	0.959903	0.095105
NKD	2024	peak	BEST_MEMBER	6894	0	1.000000	1.000000	1.402041	1.000000
NKD	2024	peak	BEST_SPREAD	6894	0	0.764886	0.698393	1.072401	0.353931
NKD	2024	peak	CLOSEST_LEVEL	3913	2981	0.720053	0.650255	1.126304	0.163813
NKD	2024	peak	EARLIEST	6894	0	0.790029	0.719144	1.107653	0.497824
NKD	2024	peak	FAMILY_PRIORITY	6894	0	0.767725	0.722720	1.076382	0.361039
NKD	2024	peak	HIGHEST_RUNG	6894	0	0.702625	0.441465	0.985109	0.129533
NKD	2025	close	BEST_MEMBER	3750	0	1.000000	1.000000	2.450776	1.000000
NKD	2025	close	BEST_SPREAD	3750	0	0.471505	-0.281362	1.155553	0.295733
NKD	2025	close	CLOSEST_LEVEL	2352	1398	0.462412	-0.514211	1.519576	0.134779
NKD	2025	close	EARLIEST	3750	0	0.539199	-0.144006	1.321456	0.440533
NKD	2025	close	FAMILY_PRIORITY	3750	0	0.490782	-0.190093	1.202796	0.306133
NKD	2025	close	HIGHEST_RUNG	3750	0	0.397286	-0.873524	0.973660	0.102133
NKD	2025	peak	BEST_MEMBER	6630	0	1.000000	1.000000	1.453717	1.000000
NKD	2025	peak	BEST_SPREAD	6630	0	0.735173	0.643418	1.068733	0.338311
NKD	2025	peak	CLOSEST_LEVEL	3680	2950	0.699476	0.515063	1.140948	0.151359
NKD	2025	peak	EARLIEST	6630	0	0.773676	0.717094	1.124706	0.483560
NKD	2025	peak	FAMILY_PRIORITY	6630	0	0.743939	0.634683	1.081477	0.352338
NKD	2025	peak	HIGHEST_RUNG	6630	0	0.672302	0.419332	0.977337	0.128205
NKD	ALL	close	BEST_MEMBER	20047	0	1.000000	1.000000	2.075418	1.000000
NKD	ALL	close	BEST_SPREAD	20047	0	0.549569	-0.180567	1.140585	0.346186
NKD	ALL	close	CLOSEST_LEVEL	12103	7944	0.520289	-0.428752	1.414165	0.166322
NKD	ALL	close	EARLIEST	20047	0	0.591149	-0.066333	1.226881	0.467601
NKD	ALL	close	FAMILY_PRIORITY	20047	0	0.566777	-0.130818	1.176300	0.343193
NKD	ALL	close	HIGHEST_RUNG	20047	0	0.458428	-0.679326	0.951431	0.119968
NKD	ALL	peak	BEST_MEMBER	36060	0	1.000000	1.000000	1.343860	1.000000
NKD	ALL	peak	BEST_SPREAD	36060	0	0.792170	0.700584	1.064566	0.388020
NKD	ALL	peak	CLOSEST_LEVEL	19578	16482	0.749880	0.640421	1.117748	0.188681
NKD	ALL	peak	EARLIEST	36060	0	0.813142	0.738129	1.092749	0.509900
NKD	ALL	peak	FAMILY_PRIORITY	36060	0	0.794288	0.705238	1.067412	0.385219
NKD	ALL	peak	HIGHEST_RUNG	36060	0	0.727689	0.476747	0.977913	0.150693
NKD	FIT_2021_2024	close	BEST_MEMBER	16297	0	1.000000	1.000000	1.971663	1.000000
NKD	FIT_2021_2024	close	BEST_SPREAD	16297	0	0.576390	-0.157374	1.136447	0.357796
NKD	FIT_2021_2024	close	CLOSEST_LEVEL	9751	6546	0.541588	-0.408138	1.384000	0.173931
NKD	FIT_2021_2024	close	EARLIEST	16297	0	0.608998	-0.048460	1.200739	0.473830
NKD	FIT_2021_2024	close	FAMILY_PRIORITY	16297	0	0.592888	-0.117179	1.168976	0.351721
NKD	FIT_2021_2024	close	HIGHEST_RUNG	16297	0	0.479436	-0.634640	0.945286	0.124072
NKD	FIT_2021_2024	peak	BEST_MEMBER	29430	0	1.000000	1.000000	1.311491	1.000000
NKD	FIT_2021_2024	peak	BEST_SPREAD	29430	0	0.810785	0.713462	1.063338	0.399218
NKD	FIT_2021_2024	peak	CLOSEST_LEVEL	15898	13532	0.767376	0.669438	1.110603	0.197320
NKD	FIT_2021_2024	peak	EARLIEST	29430	0	0.826031	0.742868	1.083333	0.515834
NKD	FIT_2021_2024	peak	FAMILY_PRIORITY	29430	0	0.810732	0.721132	1.063267	0.392627
