# PORT_M1B_SPEC.md D-065 EPISODE CENSUS (episode-grain generation quality) (spec_sha16=d31f48b59877e44d)
# params_hash=b275c684b91d617686d714eb547ad3d01d6ae0cf00a335173192b4c0e8bc0aaf
# same session AND same side AND same oracle leg; membership leg_start_sec <= dec_sec <= leg_end_sec (INCLUSIVE); overlapping legs -> the first by (start, end)
# candidates in NO leg: chain-link on consecutive same-side decision_secs with gap <= GAP (INCLUSIVE)
# haystack_shrink = episode base rate / candidate base rate (CC-M1-8: reported for BOTH certificate readings)
asset	era	gap_sec	n_days	n_candidates	n_episodes	episodes_per_day	candidates_per_day	candidates_per_episode	median_episode_size	max_episode_size	multi_member_share	n_leg_episodes	n_chain_episodes	leg_candidate_share	n_cand_1k_close	cand_base_rate_close	n_epi_1k_close	epi_base_rate_close	haystack_shrink_close	cand_1k_per_day_close	episodes_1k_per_day_close	n_cand_1k_peak	cand_base_rate_peak	n_epi_1k_peak	epi_base_rate_peak	haystack_shrink_peak	cand_1k_per_day_peak	episodes_1k_per_day_peak
SI	2024	900	259	119729	10507	40.567568	462.274131	11.395165	3.000000	499	0.727991	927	9580	0.360347	17417	0.145470	1262	0.120110	0.825670	67.247104	4.872587	44942	0.375364	4143	0.394309	1.050469	173.521236	15.996139
SI	2024	1800	259	119729	5286	20.409266	462.274131	22.650208	7.000000	635	0.849603	927	4359	0.360347	17417	0.145470	984	0.186152	1.279658	67.247104	3.799228	44942	0.375364	2545	0.481460	1.282648	173.521236	9.826255
SI	2025	600	258	133697	14881	57.678295	518.205426	8.984410	3.000000	786	0.686647	1004	13877	0.335759	19896	0.148814	1993	0.133929	0.899976	77.116279	7.724806	54682	0.408999	6428	0.431960	1.056139	211.945736	24.914729
SI	2025	900	258	133697	10130	39.263566	518.205426	13.198124	4.000000	890	0.757552	1004	9126	0.335759	19896	0.148814	1586	0.156565	1.052082	77.116279	6.147287	54682	0.408999	4668	0.460809	1.126675	211.945736	18.093023
SI	2025	1800	258	133697	4725	18.313953	518.205426	28.295661	12.000000	982	0.868571	1004	3721	0.335759	19896	0.148814	1163	0.246138	1.653993	77.116279	4.507752	54682	0.408999	2680	0.567196	1.386789	211.945736	10.387597
SI	ALL	600	1174	539174	67229	57.264906	459.262351	8.019962	2.000000	786	0.664237	3942	63287	0.338243	70027	0.129878	5952	0.088533	0.681663	59.648211	5.069847	193305	0.358521	24120	0.358774	1.000706	164.655026	20.545145
SI	ALL	900	1174	539174	47870	40.775128	459.262351	11.263296	3.000000	890	0.739169	3942	43928	0.338243	70027	0.129878	4857	0.101462	0.781211	59.648211	4.137138	193305	0.358521	18311	0.382515	1.066926	164.655026	15.597104
SI	ALL	1800	1174	539174	23703	20.189949	459.262351	22.747078	7.000000	982	0.850483	3942	19761	0.338243	70027	0.129878	3729	0.157322	1.211302	59.648211	3.176320	193305	0.358521	10958	0.462304	1.289478	164.655026	9.333901
SI	FIT_2021_2024	600	916	405477	52348	57.148472	442.660480	7.745797	2.000000	399	0.657867	2938	49410	0.339062	50131	0.123635	3959	0.075628	0.611710	54.728166	4.322052	138623	0.341876	17692	0.337969	0.988571	151.335153	19.314410
SI	FIT_2021_2024	900	916	405477	37740	41.200873	442.660480	10.743959	3.000000	499	0.734234	2938	34802	0.339062	50131	0.123635	3271	0.086672	0.701033	54.728166	3.570961	138623	0.341876	13643	0.361500	1.057399	151.335153	14.894105
SI	FIT_2021_2024	1800	916	405477	18978	20.718341	442.660480	21.365634	7.000000	635	0.845980	2938	16040	0.339062	50131	0.123635	2566	0.135209	1.093619	54.728166	2.801310	138623	0.341876	8278	0.436189	1.275868	151.335153	9.037118
SI	GATE_2025	600	258	133697	14881	57.678295	518.205426	8.984410	3.000000	786	0.686647	1004	13877	0.335759	19896	0.148814	1993	0.133929	0.899976	77.116279	7.724806	54682	0.408999	6428	0.431960	1.056139	211.945736	24.914729
SI	GATE_2025	900	258	133697	10130	39.263566	518.205426	13.198124	4.000000	890	0.757552	1004	9126	0.335759	19896	0.148814	1586	0.156565	1.052082	77.116279	6.147287	54682	0.408999	4668	0.460809	1.126675	211.945736	18.093023
SI	GATE_2025	1800	258	133697	4725	18.313953	518.205426	28.295661	12.000000	982	0.868571	1004	3721	0.335759	19896	0.148814	1163	0.246138	1.653993	77.116279	4.507752	54682	0.408999	2680	0.567196	1.386789	211.945736	10.387597
HG	2021	600	247	93993	15150	61.336032	380.538462	6.204158	2.000000	271	0.635974	578	14572	0.279510	7007	0.074548	789	0.052079	0.698599	28.368421	3.194332	26894	0.286128	4077	0.269109	0.940520	108.882591	16.506073
HG	2021	900	247	93993	10393	42.076923	380.538462	9.043876	3.000000	327	0.705956	578	9815	0.279510	7007	0.074548	613	0.058982	0.791194	28.368421	2.481781	26894	0.286128	2960	0.284807	0.995385	108.882591	11.983806
HG	2021	1800	247	93993	4782	19.360324	380.538462	19.655583	6.000000	403	0.810958	578	4204	0.279510	7007	0.074548	462	0.096612	1.295973	28.368421	1.870445	26894	0.286128	1687	0.352781	1.232950	108.882591	6.829960
HG	2022	600	258	110802	15835	61.375969	429.465116	6.997284	3.000000	273	0.670793	685	15150	0.297215	8937	0.080657	920	0.058099	0.720320	34.639535	3.565891	33462	0.301998	4836	0.305399	1.011263	129.697674	18.744186
