# PORT_M1_SPEC.md §6 G2/G3 generation + census (m1_spec_sha16=ce0a8ca16e342cd7)
# params_hash=c75dfe7800a15afedcb612e374c664951cb4c3ebb8798a6254e55c4d1c8e4fbc
# exclusive DP add = union DP - DP without that family's EXCLUSIVE candidates (§6 retirement rule input)
asset	family	era	n_sessions	exclusive_dp_add_median_usd	exclusive_dp_add_mean_usd	n_exclusive_median	n_exclusive_total
SI	G1	FIT_2021_2024	916	0.000000	34.868996	119.000000	120699
SI	G1	GATE_2025	258	0.000000	34.525194	136.000000	39988
SI	G1	ALL	1174	0.000000	34.793441	122.500000	160687
SI	G2_REJECT	FIT_2021_2024	916	0.000000	9.661572	75.000000	72533
SI	G2_REJECT	GATE_2025	258	0.000000	19.961240	93.000000	27460
SI	G2_REJECT	ALL	1174	0.000000	11.925043	79.000000	99993
SI	G2_RECLAIM	FIT_2021_2024	916	0.000000	4.243996	33.000000	34660
SI	G2_RECLAIM	GATE_2025	258	0.000000	9.011628	40.500000	12934
SI	G2_RECLAIM	ALL	1174	0.000000	5.291738	34.500000	47594
SI	G3_RATE	FIT_2021_2024	916	0.000000	14.748908	68.000000	68682
SI	G3_RATE	GATE_2025	258	0.000000	27.383721	77.000000	21898
SI	G3_RATE	ALL	1174	0.000000	17.525554	72.000000	90580
SI	G3_FLOW	FIT_2021_2024	916	112.500000	136.375546	251.500000	232595
SI	G3_FLOW	GATE_2025	258	187.500000	264.699612	280.000000	76381
SI	G3_FLOW	ALL	1174	125.000000	164.576235	258.000000	308976
HG	G1	FIT_2021_2024	1021	0.000000	23.932419	118.000000	128634
HG	G1	GATE_2025	258	0.000000	15.479651	120.500000	36056
HG	G1	ALL	1279	0.000000	22.227326	118.000000	164690
HG	G2_REJECT	FIT_2021_2024	1021	0.000000	10.082027	76.000000	81551
HG	G2_REJECT	GATE_2025	258	0.000000	11.603682	82.500000	21920
HG	G2_REJECT	ALL	1279	0.000000	10.388976	77.000000	103471
HG	G2_RECLAIM	FIT_2021_2024	1021	0.000000	3.605534	34.000000	39315
HG	G2_RECLAIM	GATE_2025	258	0.000000	3.076550	33.500000	10300
HG	G2_RECLAIM	ALL	1279	0.000000	3.498827	34.000000	49615
HG	G3_RATE	FIT_2021_2024	1021	0.000000	12.102106	70.000000	76336
HG	G3_RATE	GATE_2025	258	0.000000	14.718992	86.000000	25567
HG	G3_RATE	ALL	1279	0.000000	12.629984	74.000000	101903
HG	G3_FLOW	FIT_2021_2024	1021	56.250000	79.112390	240.000000	244374
HG	G3_FLOW	GATE_2025	258	93.750000	122.718023	267.000000	74129
HG	G3_FLOW	ALL	1279	62.500000	87.908522	245.000000	318503
NKD	G1	FIT_2021_2024	1023	0.000000	25.061095	113.000000	130395
NKD	G1	GATE_2025	258	0.000000	24.079457	111.000000	36187
NKD	G1	ALL	1281	0.000000	24.863388	112.000000	166582
NKD	G2_REJECT	FIT_2021_2024	1023	0.000000	5.571848	58.000000	66547
NKD	G2_REJECT	GATE_2025	258	0.000000	5.281008	66.000000	20704
NKD	G2_REJECT	ALL	1281	0.000000	5.513271	60.000000	87251
NKD	G2_RECLAIM	FIT_2021_2024	1023	0.000000	2.561095	25.000000	32046
NKD	G2_RECLAIM	GATE_2025	258	0.000000	3.536822	28.000000	9844
NKD	G2_RECLAIM	ALL	1281	0.000000	2.757611	25.000000	41890
NKD	G3_RATE	FIT_2021_2024	1023	25.000000	44.599218	224.000000	230697
NKD	G3_RATE	GATE_2025	258	75.000000	93.313953	271.000000	69136
NKD	G3_RATE	ALL	1281	25.000000	54.410617	232.000000	299833
NKD	G3_FLOW	FIT_2021_2024	1023	25.000000	61.859726	202.000000	223282
NKD	G3_FLOW	GATE_2025	258	25.000000	78.439922	175.000000	52389
NKD	G3_FLOW	ALL	1281	25.000000	65.199063	198.000000	275671
