# PORT_M1_SPEC.md §6 G2/G3 generation + census (m1_spec_sha16=ce0a8ca16e342cd7)
# params_hash=c75dfe7800a15afedcb612e374c664951cb4c3ebb8798a6254e55c4d1c8e4fbc
asset	family	n_candidates	n_positive	mean_cert_usd	median_cert_usd	positive_frac	mean_positive_cert_usd
SI	G1	189788	77271	-13.901840	-180.000000	0.407144	951.251213
SI	G2_REJECT	128967	52381	-15.031151	-230.000000	0.406158	1003.889196
SI	G2_RECLAIM	48130	19574	-13.234729	-230.000000	0.406690	1017.294881
SI	G3_RATE	102124	42836	-30.339661	-80.000000	0.419451	675.207944
SI	G3_FLOW	321614	133932	-25.562382	-80.000000	0.416437	683.593745
SI	UNION	749118	308929	-21.201386	-105.000000	0.412390	813.581656
HG	G1	192729	87654	-28.735141	-55.000000	0.454804	543.987354
HG	G2_REJECT	131335	60208	-25.467126	-55.000000	0.458431	565.590079
HG	G2_RECLAIM	50084	23160	-23.422550	-48.750000	0.462423	563.495250
HG	G3_RATE	120050	54247	-25.016035	-36.250000	0.451870	485.405115
HG	G3_FLOW	337528	151812	-24.904867	-36.250000	0.449776	454.851288
HG	UNION	784869	355891	-25.825752	-42.500000	0.453440	502.507443
NKD	G1	196348	82257	-42.851672	-117.500000	0.418935	735.165883
NKD	G2_REJECT	116698	49601	-49.176314	-117.500000	0.425037	725.162446
NKD	G2_RECLAIM	42403	17742	-52.318291	-130.000000	0.418414	743.331642
NKD	G3_RATE	347008	144727	-44.752001	-67.500000	0.417071	534.936829
NKD	G3_FLOW	323638	136529	-42.592735	-80.000000	0.421857	609.437867
NKD	UNION	948534	398400	-44.491231	-80.000000	0.420017	629.368725
