# PORT_M2_SHEETS_SPEC.md CC-M2-13.3 SESSION-SIDE STATE probe (ceiling census + causal day-side estimators, mirror-law tested) (spec_sha16=19fedc9231ba9f0e)
# params_hash=cd234e93d01ac530b9a0c5f752af2cb19fee3411ae5058c67315dface142bedc
# CC-M2-13.3 session-side state probe
# capture = realised / one-position DP ceiling over every candidate of the session
# the ORACLE arms are HINDSIGHT by construction — they are the concept's ceiling, never a rule
asset	d8	era	n_candidates	n_winners	n_win_long	n_win_short	oracle_side	release_day	dp_ceiling_usd	core_realised	core_oracle_realised	core_oracle_mirror_realised	e1_side	e2_side	e3_side
HG	20210119	FIT	239	0	0	0	0	0	1661.250000	1097.500000			1	1	0
HG	20210120	FIT	216	0	0	0	0	0	1285.000000	96.250000			-1	1	-1
HG	20210121	FIT	219	0	0	0	0	0	1172.500000	-110.000000			1	1	-1
HG	20210122	FIT	384	39	37	2	1	0	3078.750000	-1658.750000	602.500000	-1072.500000	-1	-1	-1
HG	20210125	FIT	304	0	0	0	0	0	1197.500000	58.750000			1	1	1
HG	20210126	FIT	276	0	0	0	0	0	1516.250000	-223.750000			-1	-1	-1
HG	20210127	FIT	526	6	0	6	-1	1	2092.500000	-915.000000	1096.250000	-1028.750000	-1	-1	-1
HG	20210128	FIT	504	24	24	0	1	0	3078.750000	-2306.250000	-728.750000	-1577.500000	-1	-1	-1
HG	20210129	FIT	484	63	0	63	-1	0	3255.000000	322.500000	322.500000	121.250000	-1	-1	0
HG	20210201	FIT	522	32	14	18	-1	0	2785.000000	1541.250000	871.250000	670.000000	1	-1	1
HG	20210202	FIT	443	0	0	0	0	0	1753.750000	1453.750000			-1	-1	-1
HG	20210203	FIT	331	1	1	0	1	0	2272.500000	1160.000000	1490.000000	-746.250000	-1	1	1
HG	20210204	FIT	329	0	0	0	0	0	1467.500000	1066.250000			-1	-1	1
HG	20210205	FIT	312	48	48	0	1	1	2497.500000	-1777.500000	1176.250000	-1777.500000	1	1	1
