# PORT_M2_SHEETS_SPEC.md CC-M2-13.3 SESSION-SIDE STATE probe (ceiling census + causal day-side estimators, mirror-law tested) (spec_sha16=18d12ab86a4ee6b0)
# params_hash=432a395322b7915a4d95cb3349754cf5b66c84e4587366d2464b253ea51bcfd9
# CC-M2-13.3 session-side state probe
# capture = realised / one-position DP ceiling over every candidate of the session
# the ORACLE arms are HINDSIGHT by construction — they are the concept's ceiling, never a rule
arm	asset	era	release_day	n_sessions	n_takes	n_seated	n_forfeited	realised_usd	per_session_usd	dp_ceiling_usd	capture	n_winner_seated	precision	takes_per_session
ORACLE_ONLY	HG	GATE_2025	ALL	204	47253	869	46384	287030.000000	1407.009804	829940.000000	0.345844	122	0.140391	231.632353
ORACLE_ONLY	HG	GATE_2025	RELEASE	31	6657	129	6528	38111.250000	1229.395161	132412.500000	0.287822	17	0.131783	214.741935
ORACLE_ONLY	HG	GATE_2025	NO_RELEASE	173	40596	740	39856	248918.750000	1438.836705	697527.500000	0.356859	105	0.141892	234.658960
ORACLE_ONLY	NKD	FIT	ALL	749	159674	2968	156706	936310.000000	1250.080107	2684370.000000	0.348801	464	0.156334	213.182911
ORACLE_ONLY	NKD	FIT	RELEASE	96	22092	383	21709	130560.000000	1360.000000	358602.500000	0.364080	52	0.135770	230.125000
ORACLE_ONLY	NKD	FIT	NO_RELEASE	653	137582	2585	134997	805750.000000	1233.920368	2325767.500000	0.346445	412	0.159381	210.692190
ORACLE_ONLY	NKD	GATE_2025	ALL	225	51429	1025	50404	392937.500000	1746.388889	1071687.500000	0.366653	158	0.154146	228.573333
ORACLE_ONLY	NKD	GATE_2025	RELEASE	33	8287	150	8137	64725.000000	1961.363636	157217.500000	0.411691	23	0.153333	251.121212
ORACLE_ONLY	NKD	GATE_2025	NO_RELEASE	192	43142	875	42267	328212.500000	1709.440104	914470.000000	0.358910	135	0.154286	224.697917
ORACLE_ONLY_MIRROR	ALL	FIT	ALL	2221	498474	11470	487004	-3501531.250000	-1576.556168	7970768.750000	-0.439297	253	0.022058	224.436740
ORACLE_ONLY_MIRROR	ALL	FIT	RELEASE	292	75077	1534	73543	-494770.000000	-1694.417808	1088751.250000	-0.454438	29	0.018905	257.113014
ORACLE_ONLY_MIRROR	ALL	FIT	NO_RELEASE	1929	423397	9936	413461	-3006761.250000	-1558.715008	6882017.500000	-0.436901	224	0.022544	219.490410
