relative_path	physical_line	start_byte	end_byte_exclusive	bytes	sha256	disposition	error
2026/08/08/rollout-2026-08-08T15-12-49-019fe1ef-1314-72d3-ad60-8748f1ecb161.jsonl	33214	348270246	348270593	347	80ce5cf80479d3cc3772864e7c9d386936fb680cd54ce93f7b4d8c0b7943e75d	RAW_PRESERVED_FRAGMENT_SKIPPED_READABLE	JSONDecodeError:Invalid control character at: line 1 column 343 (char 342)
2026/08/08/rollout-2026-08-08T15-12-49-019fe1ef-1314-72d3-ad60-8748f1ecb161.jsonl	33578	350370622	350371841	1219	65c7df1da00e3535315e5f98e1e1c371c3fd9e8390f902be4590e02e7b20ac2a	RAW_PRESERVED_FRAGMENT_SKIPPED_READABLE	JSONDecodeError:Invalid control character at: line 1 column 1219 (char 1218)
2026/08/08/rollout-2026-08-08T15-12-49-019fe1ef-1314-72d3-ad60-8748f1ecb161.jsonl	33596	350396172	350396417	245	12bf24124c6e2f4d26504fc43c06017384ada2b5357351f61b550defb6209143	RAW_PRESERVED_FRAGMENT_SKIPPED_READABLE	JSONDecodeError:Invalid control character at: line 1 column 245 (char 244)
2026/08/08/rollout-2026-08-08T15-12-49-019fe1ef-1314-72d3-ad60-8748f1ecb161.jsonl	33713	351117081	351117313	232	ad8d74c000c2d2fff5d4cc9970d181132482d4c092876798016ce6cabcae6163	RAW_PRESERVED_FRAGMENT_SKIPPED_READABLE	JSONDecodeError:Invalid control character at: line 1 column 232 (char 231)
2026/08/08/rollout-2026-08-08T15-12-49-019fe1ef-1314-72d3-ad60-8748f1ecb161.jsonl	33714	351117313	351121409	4096	3918e10cf554bcf3603ef83734e44d8d5d7ba2fbd3818e173ef5b8dc13dad7e5	RAW_PRESERVED_FRAGMENT_SKIPPED_READABLE	JSONDecodeError:Invalid control character at: line 1 column 4096 (char 4095)
2026/08/08/rollout-2026-08-08T15-12-49-019fe1ef-1314-72d3-ad60-8748f1ecb161.jsonl	33715	351121409	351125505	4096	9c417e75bb1649ca345082d8552cc33706130af147659a7746f5ff70f8312f33	RAW_PRESERVED_FRAGMENT_SKIPPED_READABLE	JSONDecodeError:Invalid control character at: line 1 column 4096 (char 4095)
2026/08/08/rollout-2026-08-08T15-12-49-019fe1ef-1314-72d3-ad60-8748f1ecb161.jsonl	33716	351125505	351129601	4096	4a5febe41164f81a80f9fec04b01162561bc0a0bcf7962a2805a549d9ca5383f	RAW_PRESERVED_FRAGMENT_SKIPPED_READABLE	JSONDecodeError:Invalid control character at: line 1 column 4096 (char 4095)
2026/08/08/rollout-2026-08-08T15-12-49-019fe1ef-1314-72d3-ad60-8748f1ecb161.jsonl	33717	351129601	351133697	4096	6a71b7ef0de759de0f1def28197f2f91621826d6c808dca995b35fdcae02e0d0	RAW_PRESERVED_FRAGMENT_SKIPPED_READABLE	JSONDecodeError:Invalid control character at: line 1 column 4096 (char 4095)
2026/08/08/rollout-2026-08-08T15-12-49-019fe1ef-1314-72d3-ad60-8748f1ecb161.jsonl	34115	353152558	353153025	467	da0be7069279fbbce3fc8513c459be27c481529f07ad6e7db1c310b66161726b	RAW_PRESERVED_FRAGMENT_SKIPPED_READABLE	JSONDecodeError:Invalid control character at: line 1 column 467 (char 466)
2026/08/08/rollout-2026-08-08T15-12-49-019fe1ef-1314-72d3-ad60-8748f1ecb161.jsonl	34441	353791909	353792001	92	68ab5bb05eea3ff21f536301f531cd0bef2095303bfa36889f10ff1d9c406331	RAW_PRESERVED_FRAGMENT_SKIPPED_READABLE	JSONDecodeError:Invalid control character at: line 1 column 92 (char 91)
