# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# stated-vs-realised by score tier, on the judge's OWN ordering; usd_per_session = the one-position replay of that tier over the judge's own sessions
judge	tier_frac	n	score_min	usd_per_trade	win_rate	frac_ge_600	frac_ge_1000	n_seated	usd_per_session
FIX2_GBT_CRE26_COMPOSED	0.005000	4734	1.856115	145.510000	0.569500	0.286200	0.142000	828	28.320000
FIX2_GBT_CRE26_COMPOSED	0.010000	9469	1.810284	98.860000	0.531700	0.258700	0.134500	1395	7.410000
FIX2_GBT_CRE26_COMPOSED	0.020000	18937	1.750725	63.330000	0.502100	0.249400	0.135100	2214	-17.500000
FIX2_GBT_CRE26_COMPOSED	0.050000	47343	1.645892	26.780000	0.466100	0.236400	0.135600	3508	-29.430000
FIX2_GBT_CRE26_COMPOSED	0.100000	94685	1.530523	-6.450000	0.442400	0.225700	0.131600	4508	-46.420000
FIX2_GBT_CRE26_COMPOSED	0.200000	189371	1.360720	-25.450000	0.431600	0.219300	0.130500	5822	-97.950000
FIX2_GBT_CRE26_COMPOSED	0.500000	473426	1.017293	-24.930000	0.431900	0.202300	0.120900	9618	-174.540000
FIX2_GBT_CRE26_COMPOSED	1.000000	946853	0.000955	-28.130000	0.434400	0.167700	0.094600	10482	-175.140000
