date,open,high,low,close,volume
2016-08-15,16850.0,16945.0,16820.0,16885.0,5320
2016-08-16,16875.0,16900.0,16530.0,16575.0,11742
2016-08-17,16600.0,16765.0,16555.0,16680.0,8080
2016-08-18,16650.0,16740.0,16480.0,16550.0,9169
2016-08-19,16550.0,16615.0,16415.0,16485.0,8418
2016-08-22,16560.0,16645.0,16495.0,16550.0,9973
2016-08-23,16570.0,16660.0,16445.0,16555.0,9153
2016-08-24,16575.0,16640.0,16510.0,16540.0,8350
2016-08-25,16555.0,16660.0,16485.0,16505.0,8276
2016-08-26,16525.0,16600.0,16335.0,16595.0,17068
2016-08-29,16585.0,16785.0,16580.0,16710.0,8974
2016-08-30,16705.0,16890.0,16690.0,16865.0,10185
2016-08-31,16845.0,16930.0,16815.0,16925.0,9280
2016-09-01,16885.0,17075.0,16855.0,16965.0,11414
2016-09-02,16985.0,17170.0,16860.0,17140.0,11439
2016-09-06,17125.0,17170.0,16900.0,16945.0,35592
2016-09-07,16930.0,17025.0,16885.0,16970.0,22587
2016-09-08,16985.0,17005.0,16830.0,16990.0,13183
2016-09-09,16960.0,16980.0,16725.0,16735.0,12398
2016-09-12,16735.0,16770.0,16475.0,16735.0,13290
2016-09-13,16740.0,16800.0,16470.0,16605.0,12423
2016-09-14,16620.0,16670.0,16390.0,16430.0,11923
2016-09-15,16445.0,16485.0,16300.0,16470.0,10581
2016-09-16,16465.0,16480.0,16305.0,16325.0,10479
2016-09-19,16335.0,16425.0,16275.0,16330.0,4668
2016-09-20,16335.0,16575.0,16325.0,16415.0,7469
2016-09-21,16445.0,16795.0,16310.0,16555.0,21862
2016-09-22,16530.0,16880.0,16510.0,16815.0,8388
2016-09-23,16805.0,16870.0,16590.0,16630.0,8618
2016-09-26,16655.0,16655.0,16300.0,16330.0,9552
2016-09-27,16335.0,16605.0,16205.0,16510.0,14078
2016-09-28,16540.0,16600.0,16410.0,16590.0,8296
2016-09-29,16590.0,16790.0,16490.0,16560.0,12935
2016-09-30,16560.0,16635.0,16350.0,16595.0,14297
2016-10-03,16570.0,16680.0,16565.0,16650.0,6785
2016-10-04,16640.0,16895.0,16635.0,16770.0,13010
2016-10-05,16795.0,17010.0,16745.0,16985.0,8777
2016-10-06,16985.0,17000.0,16865.0,16975.0,8402
2016-10-07,16965.0,16970.0,16770.0,16820.0,11140
2016-10-11,16985.0,17100.0,16855.0,16915.0,9909
2016-10-12,16920.0,17020.0,16855.0,17000.0,8755
2016-10-13,16985.0,17010.0,16680.0,16805.0,12509
2016-10-14,16815.0,17000.0,16755.0,16910.0,8627
2016-10-17,16890.0,16970.0,16840.0,16880.0,6421
2016-10-18,16880.0,17040.0,16860.0,16970.0,6119
2016-10-19,16965.0,17045.0,16955.0,17015.0,6140
2016-10-20,17005.0,17320.0,16990.0,17305.0,14599
2016-10-21,17320.0,17365.0,17150.0,17275.0,8597
2016-10-24,17255.0,17395.0,17195.0,17365.0,9557
2016-10-25,17380.0,17460.0,17335.0,17380.0,8800
2016-10-26,17350.0,17410.0,17290.0,17385.0,9889
2016-10-27,17385.0,17515.0,17305.0,17475.0,11907
2016-10-28,17480.0,17515.0,17360.0,17425.0,11442
2016-10-31,17415.0,17475.0,17345.0,17420.0,7681
2016-11-01,17470.0,17595.0,17170.0,17270.0,12723
2016-11-02,17260.0,17305.0,16975.0,17040.0,13782
2016-11-03,17035.0,17145.0,16935.0,16995.0,7039
2016-11-04,17000.0,17030.0,16830.0,16880.0,11534
2016-11-07,17050.0,17340.0,17045.0,17335.0,11591
2016-11-08,17320.0,17400.0,17135.0,17340.0,10228
