# PORT_M2_SHEETS_SPEC.md §CC-M2-6 (E1 BLIND SCORING PASS — teacher-gate inputs) (spec_sha16=32196fba2065d7f9)
# params_hash=ddeb8601c5658bb136e642da38b8df24c70f821f0c528dfac2a08bf6c31ac335
# CC-M2-21.4: the GREEDY chronological one-position replay is the pooled law; the DP seat-split (n_dp_seats/dp_seat_value_usd) is its mandatory companion diagnostic; PHASE-CLOSE seating (CC-M2-10.3)
# lift_close is EMPTY wherever mean_skip_close <= 0: panel_score refuses a ratio against a non-positive denominator, so ratio_close_raw and take_minus_skip_close_usd carry the arithmetic instead
reading	arm	is_mechanical_baseline	n_calls	n_takes	mean_take_close_usd	mean_skip_close_usd	lift_close	ratio_close_raw	take_minus_skip_close_usd	mean_take_peak_usd	mean_skip_peak_usd	lift_peak	n_winner_takes	winner_precision_close	winners_missed_in_skips	replay_realised_usd	dp_ceiling_usd	replay_capture	capture_vs_full_universe_ceiling	n_seated	n_forfeited	n_dp_seats	dp_seat_value_usd	replay_realised_peak_usd
DEPLOYABLE-DATED	BASE_EARLIEST_CV639	1	11962	208	-62.632212	-87.343777		0.717077	24.711565	727.241587	780.580972	0.931667	12	0.057692	396	4622.500000	97252.500000	0.047531	0.046412	78	130	53	35572.500000	59015.000000
DEPLOYABLE-DATED	BASE_EARLIEST_CV650	1	11962	107	-113.820093	-86.671236		1.313240	-27.148858	641.203271	780.903100	0.821105	6	0.056075	402	-4146.250000	97252.500000	-0.042634	-0.041631	38	69	26	17288.750000	29327.500000
DEPLOYABLE-DATED	E1D1	1	11962	6	-122.708333	-86.896119		1.412127	-35.812214	684.583333	779.701196	0.878007	0	0.000000	408	-881.250000	97252.500000	-0.009061	-0.008848	5	1	3	1028.750000	3175.000000
DEPLOYABLE-DATED	E1D2	1	11962	54	-140.879630	-86.669361		1.625484	-54.210269	710.972222	779.964940	0.911544	1	0.018519	407	-5963.750000	97252.500000	-0.061322	-0.059879	29	25	15	11606.250000	27762.500000
DEPLOYABLE-DATED	E1D3	1	11962	21	-142.797619	-86.815803		1.644834	-55.981816	632.202381	779.912800	0.810606	0	0.000000	408	-2523.750000	97252.500000	-0.025950	-0.025340	11	10	5	3306.250000	8536.250000
DEPLOYABLE-DATED	E1D4	1	11962	330	-132.272727	-85.627257		1.544750	-46.645471	649.905303	783.334444	0.829665	20	0.060606	388	-3557.500000	97252.500000	-0.036580	-0.035719	44	286	23	18835.000000	38607.500000
DEPLOYABLE-DATED	E1D5	1	11962	768	-115.237630	-84.970855		1.356202	-30.266775	698.979492	785.188382	0.890206	27	0.035156	381	-6908.750000	97252.500000	-0.071039	-0.069368	48	720	24	19623.750000	30903.750000
DEPLOYABLE-DATED	E1D6	1	11962	1014	62.048817	-100.710975		-0.616108	162.759791	968.607002	762.152676	1.270883	93	0.091716	315	5202.500000	97252.500000	0.053495	0.052236	102	912	60	45212.500000	71497.500000
DEPLOYABLE-DATED	E1D7	1	11962	827	-295.976421	-71.386956		4.146085	-224.589465	516.833434	799.173215	0.646710	10	0.012092	398	-12510.000000	97252.500000	-0.128634	-0.125607	57	770	26	18438.750000	30577.500000
DEPLOYABLE-DATED	E1D8	1	11962	241	-82.515560	-87.004522		0.948405	4.488962	844.585062	778.318403	1.085141	34	0.141079	374	6823.750000	97252.500000	0.070165	0.068514	24	217	13	15416.250000	24617.500000
