# PORT_M2_SHEETS_SPEC.md §CC-M2-6 (E1 BLIND SCORING PASS — teacher-gate inputs) (spec_sha16=32196fba2065d7f9)
# params_hash=ddeb8601c5658bb136e642da38b8df24c70f821f0c528dfac2a08bf6c31ac335
# day-paired margins of the REPLAY realised dollars; GEE intercept-only, Liang-Zeger sandwich, Cameron-Miller CR1
reading	vs_arm	is_mechanical_baseline	sum_margin_usd	mean_day_margin_usd	se_cr1	z	p_normal	p_t_df11	n_day_clusters	days_positive	days_negative	p_sign	sess_mean_margin_usd	sess_se_cr1	sess_z	sess_p	sess_n	sess_clusters
DEPLOYABLE-STRICT	BASE_EARLIEST_CV516	1	-392.500000	-32.708333	401.351317	-0.081496	0.935048	0.936512	12	7	5	0.774414	-10.902778	133.783772	-0.081496	0.935048	36	12
DEPLOYABLE-STRICT	BASE_EARLIEST_CV639	1	535.000000	44.583333	453.474339	0.098315	0.921682	0.923451	12	6	6	1.000000	14.861111	151.158113	0.098315	0.921682	36	12
DEPLOYABLE-STRICT	BASE_EARLIEST_CV650	1	2153.750000	179.479167	524.224072	0.342371	0.732072	0.738524	12	5	7	0.774414	59.826389	174.741357	0.342371	0.732072	36	12
DEPLOYABLE-STRICT	E1D1	1	3035.000000	252.916667	483.792950	0.522779	0.601128	0.611496	12	6	6	1.000000	84.305556	161.264317	0.522779	0.601128	36	12
DEPLOYABLE-STRICT	E1D2	1	6932.500000	577.708333	504.241053	1.145699	0.251920	0.276234	12	7	5	0.774414	192.569444	168.080351	1.145699	0.251920	36	12
DEPLOYABLE-STRICT	E1D3	1	4677.500000	389.791667	687.397803	0.567054	0.570678	0.582064	12	6	6	1.000000	129.930556	229.132601	0.567054	0.570678	36	12
DEPLOYABLE-STRICT	E1D4	1	5916.250000	493.020833	793.972745	0.620954	0.534630	0.547281	12	8	4	0.387695	164.340278	264.657582	0.620954	0.534630	36	12
DEPLOYABLE-STRICT	E1D5	1	9043.750000	753.645833	658.094548	1.145194	0.252129	0.276434	12	8	4	0.387695	251.215278	219.364849	1.145194	0.252129	36	12
DEPLOYABLE-STRICT	E1D6	1	-2601.250000	-216.770833	1192.368374	-0.181799	0.855741	0.859048	12	4	8	0.387695	-72.256944	397.456125	-0.181799	0.855741	36	12
DEPLOYABLE-STRICT	E1D7	1	14888.750000	1240.729167	535.680024	2.316176	0.020549	0.040852	12	9	3	0.145996	413.576389	178.560008	2.316176	0.020549	36	12
DEPLOYABLE-STRICT	E1D8	1	-4670.000000	-389.166667	653.719804	-0.595311	0.551636	0.563682	12	4	7	0.548828	-129.722222	217.906601	-0.595311	0.551636	36	12
