# PORT_M1B_SPEC.md S1.1+S1.2 enriched generation v3 (CC-M1-6.1 + CC-M1-7.1) (spec_sha16=d31f48b59877e44d)
# params_hash=e5e8d8aed7cf4e0fab91f11b0726a76ab8195a74284c2ef6eeed37daa33b42f2
# seat share among sessions where the family has at least one candidate (CC-M1-3.2(iii) regression guard)
asset	family	era	n_seats_held	n_seats_total	seat_share
SI	G1	ALL	593	3631	0.163316
SI	G1	FIT_2021_2024	443	2819	0.157148
SI	G1	GATE_2025	150	812	0.184729
SI	G1_FINE	ALL	2291	3631	0.630956
SI	G1_FINE	FIT_2021_2024	1828	2819	0.648457
SI	G1_FINE	GATE_2025	463	812	0.570197
SI	G1_FAST_OPEN	ALL	184	3266	0.056338
SI	G1_FAST_OPEN	FIT_2021_2024	122	2489	0.049016
SI	G1_FAST_OPEN	GATE_2025	62	777	0.079794
SI	G2_REJECT	ALL	509	3631	0.140182
SI	G2_REJECT	FIT_2021_2024	386	2819	0.136928
SI	G2_REJECT	GATE_2025	123	812	0.151478
SI	G2_RECLAIM	ALL	138	3604	0.038291
SI	G2_RECLAIM	FIT_2021_2024	111	2795	0.039714
SI	G2_RECLAIM	GATE_2025	27	809	0.033375
SI	NEWS_WINDOW	ALL	73	3628	0.020121
SI	NEWS_WINDOW	FIT_2021_2024	56	2819	0.019865
SI	NEWS_WINDOW	GATE_2025	17	809	0.021014
SI	MICRO_OPEN	ALL	24	3592	0.006682
SI	MICRO_OPEN	FIT_2021_2024	17	2783	0.006109
SI	MICRO_OPEN	GATE_2025	7	809	0.008653
SI	POST_SHOCK	ALL	8	1091	0.007333
SI	POST_SHOCK	FIT_2021_2024	0	660	0.000000
SI	POST_SHOCK	GATE_2025	8	431	0.018561
HG	G1	ALL	607	3890	0.156041
HG	G1	FIT_2021_2024	491	3098	0.158489
HG	G1	GATE_2025	116	792	0.146465
HG	G1_FINE	ALL	2532	3890	0.650900
HG	G1_FINE	FIT_2021_2024	2025	3098	0.653648
HG	G1_FINE	GATE_2025	507	792	0.640152
HG	G1_FAST_OPEN	ALL	249	3691	0.067461
HG	G1_FAST_OPEN	FIT_2021_2024	198	2919	0.067831
HG	G1_FAST_OPEN	GATE_2025	51	772	0.066062
HG	G2_REJECT	ALL	481	3890	0.123650
HG	G2_REJECT	FIT_2021_2024	368	3098	0.118786
HG	G2_REJECT	GATE_2025	113	792	0.142677
HG	G2_RECLAIM	ALL	109	3838	0.028400
HG	G2_RECLAIM	FIT_2021_2024	88	3070	0.028664
HG	G2_RECLAIM	GATE_2025	21	768	0.027344
HG	NEWS_WINDOW	ALL	51	3884	0.013131
HG	NEWS_WINDOW	FIT_2021_2024	38	3095	0.012278
HG	NEWS_WINDOW	GATE_2025	13	789	0.016477
HG	MICRO_OPEN	ALL	9	3714	0.002423
HG	MICRO_OPEN	FIT_2021_2024	7	2970	0.002357
HG	MICRO_OPEN	GATE_2025	2	744	0.002688
HG	POST_SHOCK	ALL	3	332	0.009036
HG	POST_SHOCK	FIT_2021_2024	2	178	0.011236
HG	POST_SHOCK	GATE_2025	1	154	0.006494
NKD	G1	ALL	686	3837	0.178786
NKD	G1	FIT_2021_2024	575	3064	0.187663
NKD	G1	GATE_2025	111	773	0.143596
NKD	G1_FINE	ALL	2615	3837	0.681522
NKD	G1_FINE	FIT_2021_2024	2088	3064	0.681462
NKD	G1_FINE	GATE_2025	527	773	0.681759
NKD	G1_FAST_OPEN	ALL	175	3452	0.050695
NKD	G1_FAST_OPEN	FIT_2021_2024	127	2708	0.046898
NKD	G1_FAST_OPEN	GATE_2025	48	744	0.064516
NKD	G2_REJECT	ALL	435	3837	0.113370
NKD	G2_REJECT	FIT_2021_2024	356	3064	0.116188
NKD	G2_REJECT	GATE_2025	79	773	0.102199
NKD	G2_RECLAIM	ALL	87	3721	0.023381
NKD	G2_RECLAIM	FIT_2021_2024	68	2980	0.022819
NKD	G2_RECLAIM	GATE_2025	19	741	0.025641
NKD	NEWS_WINDOW	ALL	68	3751	0.018128
NKD	NEWS_WINDOW	FIT_2021_2024	56	2978	0.018805
NKD	NEWS_WINDOW	GATE_2025	12	773	0.015524
NKD	MICRO_OPEN	ALL	19	3733	0.005090
NKD	MICRO_OPEN	FIT_2021_2024	13	2963	0.004387
NKD	MICRO_OPEN	GATE_2025	6	770	0.007792
NKD	POST_SHOCK	ALL	25	1728	0.014468
NKD	POST_SHOCK	FIT_2021_2024	20	1378	0.014514
NKD	POST_SHOCK	GATE_2025	5	350	0.014286
NKD	FIRST_TEST	ALL	93	3837	0.024238
NKD	FIRST_TEST	FIT_2021_2024	74	3064	0.024151
NKD	FIRST_TEST	GATE_2025	19	773	0.024580
