# PORT_M1B_SPEC.md S1.1+S1.2 enriched generation v3 (CC-M1-6.1 + CC-M1-7.1) (spec_sha16=d31f48b59877e44d)
# params_hash=e5e8d8aed7cf4e0fab91f11b0726a76ab8195a74284c2ef6eeed37daa33b42f2
asset	family	era	n_sessions	exclusive_dp_add_median_usd	exclusive_dp_add_mean_usd	n_exclusive_median	n_exclusive_total
NKD	G2_RECLAIM	FIT_2021_2024	1023	0.000000	2.101662	9.000000	11524
NKD	G2_RECLAIM	GATE_2025	258	0.000000	3.585271	9.000000	3314
NKD	G2_RECLAIM	ALL	1281	0.000000	2.400468	9.000000	14838
NKD	NEWS_WINDOW	FIT_2021_2024	1023	0.000000	2.529326	7.000000	9378
NKD	NEWS_WINDOW	GATE_2025	258	0.000000	2.325581	7.000000	2548
NKD	NEWS_WINDOW	ALL	1281	0.000000	2.488290	7.000000	11926
NKD	MICRO_OPEN	FIT_2021_2024	1023	0.000000	0.403226	5.000000	5621
NKD	MICRO_OPEN	GATE_2025	258	0.000000	0.436047	5.000000	1511
NKD	MICRO_OPEN	ALL	1281	0.000000	0.409836	5.000000	7132
NKD	POST_SHOCK	FIT_2021_2024	1023	0.000000	0.000000	0.000000	0
NKD	POST_SHOCK	GATE_2025	258	0.000000	0.000000	0.000000	0
NKD	POST_SHOCK	ALL	1281	0.000000	0.000000	0.000000	0
NKD	FIRST_TEST	FIT_2021_2024	1023	0.000000	0.000000	0.000000	0
NKD	FIRST_TEST	GATE_2025	258	0.000000	0.000000	0.000000	0
NKD	FIRST_TEST	ALL	1281	0.000000	0.000000	0.000000	0
