# PORT_M1B_SPEC.md S1.1+S1.2 enriched generation v3 (CC-M1-6.1 + CC-M1-7.1) (spec_sha16=d31f48b59877e44d)
# params_hash=e5e8d8aed7cf4e0fab91f11b0726a76ab8195a74284c2ef6eeed37daa33b42f2
# ANCHORED oracle on the SANE mid series; the gate is >=99% @$1,000 on the catchable legs
asset	dropped_exclusive_family	era	n_legs	n_gate_legs	n_news_untradeable	recall_gate_900	recall_gate_1000	recall_gate_1100	recall_gate_1000_screened	recall_all_900	recall_all_1000	recall_all_1100	recall_all_1000_screened	recall_news_1000	n_news_captured_1000	gate_ge_99
SI	NONE	FIT_2021_2024	1470	1468	2	0.997275	0.997275	0.994550	0.997275	0.996599	0.996599	0.993878	0.995918	0.500000	1	PASS
SI	NONE	GATE_2025	503	502	1	1.000000	1.000000	1.000000	1.000000	0.998012	0.998012	0.998012	0.998012	0.000000	0	PASS
SI	NONE	ALL	1973	1970	3	0.997970	0.997970	0.995939	0.997970	0.996959	0.996959	0.994932	0.996452	0.333333	1	PASS
SI	G1	FIT_2021_2024	1470	1468	2	0.997275	0.997275	0.994550	0.997275	0.996599	0.996599	0.993878	0.995918	0.500000	1	
SI	G1	GATE_2025	503	502	1	1.000000	1.000000	1.000000	1.000000	0.998012	0.998012	0.998012	0.998012	0.000000	0	
SI	G1	ALL	1973	1970	3	0.997970	0.997970	0.995939	0.997970	0.996959	0.996959	0.994932	0.996452	0.333333	1	
SI	G1_FINE	FIT_2021_2024	1470	1468	2	0.997275	0.997275	0.993869	0.997275	0.996599	0.996599	0.993197	0.995918	0.500000	1	
SI	G1_FINE	GATE_2025	503	502	1	1.000000	1.000000	1.000000	1.000000	0.998012	0.998012	0.998012	0.998012	0.000000	0	
SI	G1_FINE	ALL	1973	1970	3	0.997970	0.997970	0.995431	0.997970	0.996959	0.996959	0.994425	0.996452	0.333333	1	
SI	G1_FAST_OPEN	FIT_2021_2024	1470	1468	2	0.997275	0.996594	0.993869	0.996594	0.995918	0.995238	0.992517	0.995238	0.000000	0	
SI	G1_FAST_OPEN	GATE_2025	503	502	1	1.000000	1.000000	1.000000	1.000000	0.998012	0.998012	0.998012	0.998012	0.000000	0	
SI	G1_FAST_OPEN	ALL	1973	1970	3	0.997970	0.997462	0.995431	0.997462	0.996452	0.995945	0.993918	0.995945	0.000000	0	
SI	G2_REJECT	FIT_2021_2024	1470	1468	2	0.997275	0.996594	0.994550	0.996594	0.996599	0.995918	0.993878	0.995238	0.500000	1	
SI	G2_REJECT	GATE_2025	503	502	1	1.000000	1.000000	1.000000	1.000000	0.998012	0.998012	0.998012	0.998012	0.000000	0	
SI	G2_REJECT	ALL	1973	1970	3	0.997970	0.997462	0.995939	0.997462	0.996959	0.996452	0.994932	0.995945	0.333333	1	
SI	G2_RECLAIM	FIT_2021_2024	1470	1468	2	0.997275	0.997275	0.994550	0.997275	0.996599	0.996599	0.993878	0.995918	0.500000	1	
SI	G2_RECLAIM	GATE_2025	503	502	1	1.000000	1.000000	1.000000	1.000000	0.998012	0.998012	0.998012	0.998012	0.000000	0	
SI	G2_RECLAIM	ALL	1973	1970	3	0.997970	0.997970	0.995939	0.997970	0.996959	0.996959	0.994932	0.996452	0.333333	1	
SI	NEWS_WINDOW	FIT_2021_2024	1470	1468	2	0.996594	0.996594	0.993869	0.996594	0.995918	0.995918	0.993197	0.995238	0.500000	1	
SI	NEWS_WINDOW	GATE_2025	503	502	1	1.000000	1.000000	1.000000	1.000000	0.998012	0.998012	0.998012	0.998012	0.000000	0	
SI	NEWS_WINDOW	ALL	1973	1970	3	0.997462	0.997462	0.995431	0.997462	0.996452	0.996452	0.994425	0.995945	0.333333	1	
SI	MICRO_OPEN	FIT_2021_2024	1470	1468	2	0.997275	0.997275	0.993869	0.997275	0.996599	0.996599	0.993197	0.995918	0.500000	1	
SI	MICRO_OPEN	GATE_2025	503	502	1	1.000000	1.000000	1.000000	1.000000	0.998012	0.998012	0.998012	0.998012	0.000000	0	
SI	MICRO_OPEN	ALL	1973	1970	3	0.997970	0.997970	0.995431	0.997970	0.996959	0.996959	0.994425	0.996452	0.333333	1	
SI	POST_SHOCK	FIT_2021_2024	1470	1468	2	0.997275	0.997275	0.994550	0.997275	0.996599	0.996599	0.993878	0.995918	0.500000	1	
