# PORT_M1B_SPEC.md S1.1+S1.2 enriched generation v3 (CC-M1-6.1 + CC-M1-7.1) (spec_sha16=d31f48b59877e44d)
# params_hash=e5e8d8aed7cf4e0fab91f11b0726a76ab8195a74284c2ef6eeed37daa33b42f2
asset	era	n_candidates	n_winners	mae_p95_usd	mae_p99_usd	mae_median_usd	mae_mean_usd
SI	FIT_2021_2024	405477	171411	1675.000000	2812.500000	350.000000	536.930462
SI	GATE_2025	133697	81099	4325.000000	8500.250000	637.500000	1203.828962
SI	ALL	539174	252510	2450.000000	5675.000000	425.000000	751.119213
HG	FIT_2021_2024	417265	121156	1162.500000	1915.312500	250.000000	378.219919
HG	GATE_2025	112227	45630	1837.500000	4054.437500	356.250000	581.675981
HG	ALL	529492	166786	1356.250000	2450.000000	275.000000	433.882265
NKD	FIT_2021_2024	399526	145425	1587.500000	3012.500000	312.500000	506.134949
NKD	GATE_2025	112168	57910	2837.500000	5148.875000	487.500000	828.448454
NKD	ALL	511694	203335	1962.500000	4100.000000	350.000000	597.930140
