# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# stated-vs-realised by score tier, on the judge's OWN ordering; usd_per_session = the one-position replay of that tier over the judge's own sessions
judge	tier_frac	n	score_min	usd_per_trade	win_rate	frac_ge_600	frac_ge_1000	n_seated	usd_per_session
CELL1_FIX2_LMART_MEM_CRE26	0.005000	4734	0.583747	-78.520000	0.433900	0.157400	0.079600	831	-21.780000
CELL1_FIX2_LMART_MEM_CRE26	0.010000	9469	0.524301	-61.790000	0.439000	0.171800	0.088700	1556	-17.640000
CELL1_FIX2_LMART_MEM_CRE26	0.020000	18937	0.457563	-57.650000	0.438300	0.181000	0.098100	2793	-44.010000
CELL1_FIX2_LMART_MEM_CRE26	0.050000	47343	0.335266	-47.930000	0.430300	0.186700	0.107400	5532	-57.370000
CELL1_FIX2_LMART_MEM_CRE26	0.100000	94685	0.199517	-33.290000	0.432700	0.193500	0.112400	8637	-117.540000
CELL1_FIX2_LMART_MEM_CRE26	0.200000	189371	-0.040290	-24.490000	0.436900	0.189600	0.108100	9698	-100.040000
CELL1_FIX2_LMART_MEM_CRE26	0.500000	473426	-0.615820	-27.690000	0.435300	0.179400	0.101900	10027	-155.400000
CELL1_FIX2_LMART_MEM_CRE26	1.000000	946853	-3.001775	-28.130000	0.434400	0.167700	0.094600	10482	-175.140000
