# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# stated-vs-realised by score tier, on the judge's OWN ordering; usd_per_session = the one-position replay of that tier over the judge's own sessions
judge	tier_frac	n	score_min	usd_per_trade	win_rate	frac_ge_600	frac_ge_1000	n_seated	usd_per_session
E3E7_META_GATE	0.005000	3872	0.762669	-52.020000	0.452500	0.130700	0.069000	503	-13.110000
E3E7_META_GATE	0.010000	7744	0.688964	-17.980000	0.463100	0.157400	0.074300	996	-6.910000
E3E7_META_GATE	0.020000	15488	0.594569	-22.110000	0.455800	0.158100	0.077000	1792	-20.390000
E3E7_META_GATE	0.050000	38720	0.432476	-2.720000	0.458900	0.168500	0.087700	4043	-40.420000
E3E7_META_GATE	0.100000	77439	0.274833	-8.460000	0.454300	0.173600	0.092200	6750	-68.370000
E3E7_META_GATE	0.200000	154879	-0.008811	-12.390000	0.451100	0.177700	0.096500	8012	-134.730000
E3E7_META_GATE	0.500000	387196	-0.626964	-31.080000	0.438000	0.171300	0.094300	7895	-132.400000
E3E7_META_GATE	1.000000	774393	-3.678087	-25.310000	0.440200	0.161800	0.088900	8452	-146.830000
