# PORT M3 M3.2 walk-forward evaluation (expanding-window era ladder) (harness=PORT-M3-HARNESS-V1; m2_spec_sha16=f6ef73a41dbf8588)
# params_hash=6cde2ea3933876895c7b6e569626de8ceea99035edf20f86416489f253cea8c1
# D-048 is a PER-ASSET bar; this is the per-asset reading
# D-021: expectancy >= $600 minimum / $1,000 target, MAE <= $300; D-030: daily drawdown < $1,000
era	asset	n_sessions	usd_per_session	ci_lo	ci_hi	clears_2000	clears_1500	capture_day_ceiling	n_trades	expectancy_usd	mean_mae_usd	frac_ge_1000	p90_daily_dd	frac_sessions_dd_over_1000
E1	SI	131	271.740000	113.250000	430.230000	0	0	0.091500	393	90.580000	327.480000	0.043300	1010.000000	0.106900
E1	HG	131	50.700000	-85.920000	187.320000	0	0	0.017700	393	16.900000	296.900000	0.010200	1021.250000	0.106900
E1	NKD	131	36.810000	-95.690000	169.320000	0	0	0.014100	393	12.270000	228.020000	0.022900	1015.000000	0.106900
E2	SI	128	517.210000	357.770000	676.650000	0	0	0.142100	392	168.880000	417.250000	0.061200	940.250000	0.078100
E2	HG	128	569.860000	432.020000	707.710000	0	0	0.178400	389	187.510000	324.650000	0.061700	873.130000	0.023400
E2	NKD	128	435.230000	257.880000	612.590000	0	0	0.131000	388	143.580000	276.580000	0.059300	906.500000	0.062500
E3	SI	130	500.100000	332.830000	667.360000	0	0	0.134300	390	166.700000	351.280000	0.056400	932.250000	0.061500
E3	HG	130	399.660000	280.010000	519.320000	0	0	0.133400	390	133.220000	282.290000	0.030800	560.000000	0.030800
E3	NKD	130	260.480000	168.300000	352.660000	0	0	0.111400	390	86.830000	207.980000	0.007700	469.250000	0.015400
E4	SI	128	248.770000	118.920000	378.620000	0	0	0.072600	384	82.920000	378.610000	0.013000	930.000000	0.062500
E4	HG	128	239.050000	121.270000	356.840000	0	0	0.095900	384	79.680000	244.420000	0.026000	842.130000	0.054700
E4	NKD	129	193.620000	95.990000	291.260000	0	0	0.082400	387	64.540000	189.570000	0.015500	599.000000	0.015500
E5	SI	129	383.160000	254.160000	512.160000	0	0	0.129100	387	127.720000	294.570000	0.043900	930.000000	0.015500
E5	HG	129	185.730000	101.650000	269.800000	0	0	0.095900	387	61.910000	165.440000	0.005200	525.000000	0.015500
E5	NKD	129	298.470000	176.050000	420.890000	0	0	0.104000	387	99.490000	202.200000	0.023300	599.000000	0.046500
E6	SI	128	260.590000	95.370000	425.800000	0	0	0.061900	384	86.860000	453.740000	0.067700	1045.250000	0.117200
E6	HG	128	230.900000	128.490000	333.310000	0	0	0.091300	384	76.970000	222.350000	0.013000	629.750000	0.023400
E6	NKD	128	477.380000	353.400000	601.370000	0	0	0.140200	384	159.130000	226.950000	0.044300	606.500000	0.015600
E7	SI	131	342.160000	169.490000	514.820000	0	0	0.072300	393	114.050000	478.500000	0.068700	1152.500000	0.152700
E7	HG	131	260.810000	151.430000	370.190000	0	0	0.099700	393	86.940000	215.760000	0.007600	930.000000	0.045800
E7	NKD	131	378.130000	196.900000	559.360000	0	0	0.076300	393	126.040000	386.390000	0.076300	1035.000000	0.122100
E8	SI	127	434.900000	255.650000	614.150000	0	0	0.089500	381	144.970000	468.960000	0.049900	995.000000	0.102400
E8	HG	127	323.580000	157.760000	489.410000	0	0	0.086200	381	107.860000	312.860000	0.036700	989.500000	0.102400
E8	NKD	127	264.230000	114.270000	414.190000	0	0	0.062000	381	88.080000	409.090000	0.031500	1057.000000	0.110200
