# PORT M3 M3.2 walk-forward evaluation (expanding-window era ladder) (harness=PORT-M3-HARNESS-V1; m2_spec_sha16=f6ef73a41dbf8588)
# params_hash=cdd29ac63e95ba9dfb2e8f6197481e8cbd6b0f03077bbcf8fa51b5d5424a927c
# D-048 is a PER-ASSET bar; this is the per-asset reading
# D-021: expectancy >= $600 minimum / $1,000 target, MAE <= $300; D-030: daily drawdown < $1,000
era	asset	n_sessions	usd_per_session	ci_lo	ci_hi	clears_2000	clears_1500	capture_day_ceiling	n_trades	expectancy_usd	mean_mae_usd	frac_ge_1000	p90_daily_dd	frac_sessions_dd_over_1000
E1	SI	131	-23.190000	-204.960000	158.590000	0	0	-0.007800	430	-7.060000	388.690000	0.046500	1302.500000	0.290100
E1	HG	131	32.360000	-160.270000	224.990000	0	0	0.011300	426	9.950000	362.790000	0.039900	1477.500000	0.221400
E1	NKD	131	-49.200000	-230.860000	132.460000	0	0	-0.018800	414	-15.570000	288.380000	0.045900	1490.000000	0.198500
E2	SI	128	266.110000	62.210000	470.020000	0	0	0.073100	405	84.100000	483.240000	0.066700	1381.500000	0.156200
E2	HG	128	247.760000	96.070000	399.460000	0	0	0.077600	401	79.090000	355.880000	0.049900	1111.130000	0.140600
E2	NKD	128	24.490000	-160.480000	209.460000	0	0	0.007400	403	7.780000	333.720000	0.042200	1428.750000	0.226600
E3	SI	130	589.330000	437.890000	740.770000	0	0	0.158300	390	196.440000	341.600000	0.046200	660.500000	0.069200
E3	HG	130	499.760000	388.290000	611.230000	0	0	0.166800	390	166.590000	248.490000	0.025600	513.250000	0.023100
E3	NKD	130	349.710000	258.820000	440.600000	0	0	0.149600	390	116.570000	182.240000	0.010300	378.250000	0.000000
E4	SI	128	321.290000	171.730000	470.840000	0	0	0.093700	400	102.810000	394.530000	0.027500	939.000000	0.085900
E4	HG	128	135.020000	12.270000	257.770000	0	0	0.054200	386	44.770000	259.290000	0.020700	928.250000	0.070300
E4	NKD	129	169.690000	65.790000	273.590000	0	0	0.072200	392	55.840000	203.130000	0.020400	798.500000	0.031000
E5	SI	129	478.900000	323.500000	634.290000	0	0	0.161400	387	159.630000	302.450000	0.043900	506.500000	0.031000
E5	HG	129	217.850000	140.220000	295.480000	0	0	0.112500	387	72.620000	169.980000	0.002600	433.750000	0.000000
E5	NKD	129	280.830000	172.990000	388.680000	0	0	0.097900	387	93.610000	197.000000	0.020700	581.000000	0.023300
E6	SI	128	201.110000	23.350000	378.880000	0	0	0.047800	394	65.340000	453.740000	0.066000	1229.750000	0.164100
E6	HG	128	158.010000	50.450000	265.570000	0	0	0.062500	385	52.530000	243.800000	0.015600	917.500000	0.046900
E6	NKD	128	400.550000	255.690000	545.400000	0	0	0.117600	386	132.820000	259.940000	0.049200	955.000000	0.070300
E7	SI	131	378.890000	164.500000	593.280000	0	0	0.080100	393	126.300000	488.450000	0.058500	1022.500000	0.137400
E7	HG	131	272.400000	166.320000	378.490000	0	0	0.104200	393	90.800000	213.720000	0.007600	930.000000	0.061100
E7	NKD	131	457.520000	249.210000	665.820000	0	0	0.092300	393	152.510000	414.380000	0.084000	1085.000000	0.129800
E8	SI	127	122.130000	-122.160000	366.410000	0	0	0.025100	438	35.410000	522.660000	0.063900	1880.000000	0.267700
E8	HG	127	49.210000	-136.580000	235.010000	0	0	0.013100	410	15.240000	403.580000	0.043900	1388.750000	0.204700
E8	NKD	127	86.710000	-147.460000	320.880000	0	0	0.020400	415	26.540000	466.720000	0.045800	1685.500000	0.267700
