# PORT M3 M3.2 walk-forward evaluation (expanding-window era ladder) (harness=PORT-M3-HARNESS-V1; m2_spec_sha16=f6ef73a41dbf8588)
# params_hash=e800e849078628d09e1f07eacc8ec2146c571d1b7008f0314d0365fbe4b85075
# D-048 is a PER-ASSET bar; this is the per-asset reading
# D-021: expectancy >= $600 minimum / $1,000 target, MAE <= $300; D-030: daily drawdown < $1,000
era	asset	n_sessions	usd_per_session	ci_lo	ci_hi	clears_2000	clears_1500	capture_day_ceiling	n_trades	expectancy_usd	mean_mae_usd	frac_ge_1000	p90_daily_dd	frac_sessions_dd_over_1000
E1	SI	131	59.310000	-90.040000	208.670000	0	0	0.020000	396	19.620000	360.350000	0.022700	1027.500000	0.122100
E1	HG	131	196.860000	48.930000	344.790000	0	0	0.068700	396	65.120000	290.180000	0.027800	930.000000	0.076300
E1	NKD	131	151.660000	3.670000	299.650000	0	0	0.057900	394	50.430000	242.450000	0.030500	1022.500000	0.106900
E2	SI	128	386.560000	207.780000	565.340000	0	0	0.106200	384	128.850000	432.130000	0.062500	955.000000	0.085900
E2	HG	128	382.310000	229.740000	534.880000	0	0	0.119700	384	127.440000	316.370000	0.052100	992.750000	0.093800
E2	NKD	128	253.750000	81.090000	426.410000	0	0	0.076400	384	84.580000	285.580000	0.046900	1182.500000	0.140600
E3	SI	130	549.370000	390.850000	707.880000	0	0	0.147600	394	181.260000	351.300000	0.048200	854.500000	0.069200
E3	HG	130	461.160000	348.290000	574.030000	0	0	0.153900	391	153.330000	277.210000	0.025600	603.620000	0.023100
E3	NKD	130	312.880000	222.990000	402.780000	0	0	0.133800	390	104.290000	198.270000	0.010300	416.500000	0.000000
E4	SI	128	416.250000	287.020000	545.480000	0	0	0.121400	384	138.750000	348.960000	0.020800	685.000000	0.031200
E4	HG	128	178.850000	59.720000	297.970000	0	0	0.071800	384	59.620000	240.720000	0.013000	931.500000	0.062500
E4	NKD	129	238.970000	146.090000	331.850000	0	0	0.101700	387	79.660000	177.360000	0.018100	494.000000	0.023300
E5	SI	129	478.900000	323.500000	634.290000	0	0	0.161400	387	159.630000	302.450000	0.043900	506.500000	0.031000
E5	HG	129	217.850000	140.220000	295.480000	0	0	0.112500	387	72.620000	169.980000	0.002600	433.750000	0.000000
E5	NKD	129	280.830000	172.990000	388.680000	0	0	0.097900	387	93.610000	197.000000	0.020700	581.000000	0.023300
E6	SI	128	226.410000	67.190000	385.630000	0	0	0.053800	384	75.470000	454.620000	0.054700	1049.000000	0.117200
E6	HG	128	177.530000	75.230000	279.830000	0	0	0.070200	384	59.180000	228.190000	0.015600	662.250000	0.031200
E6	NKD	128	485.780000	347.360000	624.200000	0	0	0.142700	384	161.930000	224.120000	0.052100	688.750000	0.023400
E7	SI	131	378.890000	164.500000	593.280000	0	0	0.080100	393	126.300000	488.450000	0.058500	1022.500000	0.137400
E7	HG	131	272.400000	166.320000	378.490000	0	0	0.104200	393	90.800000	213.720000	0.007600	930.000000	0.061100
E7	NKD	131	457.520000	249.210000	665.820000	0	0	0.092300	393	152.510000	414.380000	0.084000	1085.000000	0.129800
E8	SI	127	401.630000	202.180000	601.090000	0	0	0.082600	381	133.880000	490.720000	0.047200	957.000000	0.070900
E8	HG	127	344.500000	194.580000	494.420000	0	0	0.091700	381	114.830000	308.170000	0.042000	930.000000	0.070900
E8	NKD	127	284.900000	70.670000	499.130000	0	0	0.066900	381	94.970000	377.260000	0.034100	984.000000	0.094500
