# PORT M3 M3.2 walk-forward evaluation (expanding-window era ladder) (harness=PORT-M3-HARNESS-V1; m2_spec_sha16=f6ef73a41dbf8588)
# params_hash=6cde2ea3933876895c7b6e569626de8ceea99035edf20f86416489f253cea8c1
era	asset	d8	realised_usd	day_ceiling_usd	oracle_ceiling_usd	n_seated
E1	HG	20211103	-483.750000	3197.500000	4243.750000	3
E1	HG	20211104	97.500000	3510.000000	3043.750000	3
E1	HG	20211105	666.250000	2503.750000	2268.750000	3
E1	HG	20211108	-208.750000	2441.250000	2100.000000	3
E1	HG	20211109	-958.750000	3453.750000	2737.500000	3
E1	HG	20211110	-415.000000	4148.750000	4418.750000	3
E1	HG	20211111	747.500000	2422.500000	3906.250000	3
E1	HG	20211112	-696.250000	3060.000000	0.000000	3
E1	HG	20211115	-777.500000	3422.500000	1900.000000	3
E1	HG	20211116	585.000000	2397.500000	3543.750000	3
E1	HG	20211117	-1833.750000	5430.000000	5087.500000	3
E1	HG	20211118	-533.750000	3160.000000	2506.250000	3
E1	HG	20211119	-765.000000	3898.750000	4756.250000	3
E1	HG	20211122	1172.500000	2023.750000	1743.750000	3
E1	HG	20211123	791.250000	2148.750000	1625.000000	3
E1	HG	20211124	310.000000	2785.000000	2437.500000	3
E1	HG	20211125	353.750000	2441.250000	0.000000	3
E1	HG	20211126	-502.500000	4578.750000	3456.250000	3
E1	HG	20211129	1903.750000	2128.750000	1568.750000	3
E1	HG	20211130	1097.500000	2410.000000	4287.500000	3
E1	HG	20211201	-815.000000	4297.500000	4337.500000	3
E1	HG	20211202	772.500000	2222.500000	2012.500000	3
E1	HG	20211203	-108.750000	2305.000000	1581.250000	3
E1	HG	20211206	353.750000	2360.000000	0.000000	3
E1	HG	20211207	-152.500000	3110.000000	2200.000000	3
E1	HG	20211208	397.500000	2286.250000	1843.750000	3
E1	HG	20211209	472.500000	1978.750000	2243.750000	3
E1	HG	20211210	866.250000	2048.750000	1575.000000	3
E1	HG	20211213	510.000000	1435.000000	0.000000	3
E1	HG	20211214	597.500000	1610.000000	0.000000	3
E1	HG	20211215	-1771.250000	5217.500000	4637.500000	3
E1	HG	20211216	-165.000000	2455.000000	2450.000000	3
E1	HG	20211217	466.250000	1972.500000	0.000000	3
E1	HG	20211220	253.750000	2703.750000	1793.750000	3
