# PORT M3 M3.2 walk-forward evaluation (expanding-window era ladder) (harness=PORT-M3-HARNESS-V1; m2_spec_sha16=f6ef73a41dbf8588)
# params_hash=e800e849078628d09e1f07eacc8ec2146c571d1b7008f0314d0365fbe4b85075
# R59 era-scale mirror law (m2_common.mirror_paired): the model's own takes vs the SAME takes side-flipped, paired per session
# WHAT THIS DOES AND DOES NOT SHOW.  The corpus has no exact-second opposite-side twin (2,508 rows of 1,399,374), so the flip substitutes the nearest opposite-side candidate of the same CELL within K*.  The substitute therefore differs from the take in BOTH side and (by up to K* seconds) moment, and it is by construction a candidate the model did NOT rank first.  A positive delta says the model's chosen (side, moment) beats the nearest opposite-side alternative — it is NOT a clean side-only contrast, and must not be quoted as one.
era	n_sessions	mean_delta_usd	mde_80_usd	verdict	p	p_sign	n_mirrorable_takes
E1	393	203.880000	195.050000	TESTED	0.003601	0.002392	877
E2	384	512.530000	200.380000	TESTED	0.000000	0.000000	476
E3	390	503.640000	151.390000	TESTED	0.000000	0.000000	692
E4	385	361.350000	127.190000	TESTED	0.000000	0.000000	338
E5	387	390.460000	127.210000	TESTED	0.000000	0.000000	331
E6	384	378.190000	162.800000	TESTED	0.000000	0.000000	365
E7	393	344.260000	209.450000	TESTED	0.000006	0.000000	346
E8	381	372.290000	210.210000	TESTED	0.000001	0.000000	359
