# PORT M3 M3.2 walk-forward evaluation (expanding-window era ladder) (harness=PORT-M3-HARNESS-V1; m2_spec_sha16=f6ef73a41dbf8588)
# params_hash=6cde2ea3933876895c7b6e569626de8ceea99035edf20f86416489f253cea8c1
# CC-M2-17.1 three stages, in CC-M2-19.2's measured order (side first, feasibility second, moment not free)
era	L0_model	L1_side_fixed	L2_moment_fixed	L3_day_ceiling	gap_side	gap_moment	gap_seat	n_side_corrections
E1	47061.250000	132292.500000	1106655.000000	1107280.000000	85231.250000	974362.500000	625.000000	146
E2	194855.000000	169468.750000	1296876.250000	1300045.000000	-25386.250000	1127407.500000	3168.750000	525
E3	150831.250000	164675.000000	1177050.000000	1177556.250000	13843.750000	1012375.000000	506.250000	140
E4	87418.750000	106993.750000	1060922.500000	1060986.250000	19575.000000	953928.750000	63.750000	125
E5	111888.750000	129251.250000	1002702.500000	1002852.500000	17362.500000	873451.250000	150.000000	118
E6	124015.000000	115502.500000	1296551.250000	1298252.500000	-8512.500000	1181048.750000	1701.250000	178
E7	128523.750000	105773.750000	1605803.750000	1611915.000000	-22750.000000	1500030.000000	6111.250000	178
E8	129885.000000	149541.250000	1628258.750000	1635381.250000	19656.250000	1478717.500000	7122.500000	198
