# PORT M3 M3.2 walk-forward evaluation (expanding-window era ladder) (harness=PORT-M3-HARNESS-V1; m2_spec_sha16=f6ef73a41dbf8588)
# params_hash=7d9e087ca94617114b0f66b904020cb3d6ff6c4a7441e539b5adf7ba30e51961
# CC-M2-17.1 three stages, in CC-M2-19.2's measured order (side first, feasibility second, moment not free)
era	L0_model	L1_side_fixed	L2_moment_fixed	L3_day_ceiling	gap_side	gap_moment	gap_seat	n_side_corrections
E1	53426.250000	164481.250000	1106655.000000	1107280.000000	111055.000000	942173.750000	625.000000	325
E2	130896.250000	164783.750000	1296876.250000	1300045.000000	33887.500000	1132092.500000	3168.750000	206
E3	172043.750000	161581.250000	1177050.000000	1177556.250000	-10462.500000	1015468.750000	506.250000	259
E4	107000.000000	106368.750000	1060922.500000	1060986.250000	-631.250000	954553.750000	63.750000	126
E5	126107.500000	118113.750000	1002702.500000	1002852.500000	-7993.750000	884588.750000	150.000000	94
E6	113883.750000	109002.500000	1296551.250000	1298252.500000	-4881.250000	1187548.750000	1701.250000	166
E7	145255.000000	140955.000000	1605803.750000	1611915.000000	-4300.000000	1464848.750000	6111.250000	163
E8	130941.250000	130941.250000	1628258.750000	1635381.250000	0.000000	1497317.500000	7122.500000	199
