# PORT M2 M2.SEQ raw-event sequence model at candidate grain (lane=port-m2-seqtest; seed=20260813; device=NVIDIA RTX PRO 6000 Blackwell Workstation Edition)
# THE ALL-YEARS CRITERION: every (era, asset) cell must clear $2,000/session, or the D-043/D-045 thin-era floor of $1,500 where the era's own ceiling is thin.
# `mean_day_ceiling` and `realised_over_ceiling` are carried so 'thin' is evidenced, not asserted.
# 0/15 cells clear $2,000; 1/15 clear $1,500.
era	asset	n_sessions	usd_per_session	ps_lo	ps_hi	usd_per_trade	frac_ge_1000	mean_day_ceiling	realised_over_ceiling	clears_2000	clears_1500	p90_dd_usd	frac_dd_over_1000
E3	SI	130	808.96	495.94	1121.99	264.9	0.1511	3722.88	0.2173	0	0	1513.25	0.2154
E3	HG	130	873.87	664.17	1083.58	289.07	0.145	2996.97	0.2916	0	0	930.0	0.0538
E3	NKD	130	798.4	606.32	990.49	263.43	0.1041	2338.27	0.3415	0	0	955.0	0.0692
E4	SI	128	1389.98	1140.36	1639.6	463.33	0.1589	3428.16	0.4055	0	0	930.0	0.0547
E4	HG	128	1035.63	852.72	1218.55	345.21	0.1406	2491.79	0.4156	0	0	889.5	0.0469
E4	NKD	129	1162.62	992.25	1332.98	387.54	0.1344	2350.64	0.4946	0	0	935.0	0.031
E5	SI	129	1105.16	882.68	1327.63	368.39	0.1447	2968.0	0.3724	0	0	930.0	0.0388
E5	HG	129	747.65	606.21	889.08	249.22	0.062	1936.26	0.3861	0	0	543.75	0.0155
E5	NKD	129	1028.99	816.25	1241.73	343.0	0.1525	2869.79	0.3586	0	0	955.0	0.0465
E6	SI	128	1163.81	838.3	1489.32	387.94	0.2135	4209.1	0.2765	0	0	1344.0	0.1875
E6	HG	128	777.29	533.54	1021.03	259.1	0.1068	2528.87	0.3074	0	0	1121.25	0.1172
E6	NKD	128	839.98	553.19	1126.77	279.99	0.1927	3404.63	0.2467	0	0	1302.75	0.1562
E7	SI	131	589.58	236.03	943.13	196.53	0.1832	4731.79	0.1246	0	0	1865.0	0.3969
E7	HG	131	644.3	432.69	855.92	214.77	0.1094	2614.9	0.2464	0	0	1235.0	0.1374
E7	NKD	131	1664.96	1234.38	2095.55	554.99	0.285	4958.0	0.3358	0	1	1302.5	0.1756
