# PORT M2 M2.SEQ raw-event sequence model at candidate grain (lane=port-m2-seqtest; seed=20260813; device=NVIDIA RTX PRO 6000 Blackwell Workstation Edition)
# One row per pretrained trunk.  `bigram_val_ppl` is the 'did it actually learn structure' floor: a Laplace-smoothed bigram fitted on the training chunks and scored on the held-out days.
# `head_loss_*` carries every head of the multi-horizon objective (next / h60 / h300 / cpc64 / cpc256).
trunk	multi_horizon	scope	params	steps_run	truncated	wall_sec	tokens_per_sec	tflops	loss_first200	loss_last200	best_val_next	best_val_ppl	best_val_step	bigram_val_loss	bigram_val_ppl	unigram_entropy	beats_bigram	overfit_gate_fired	head_loss_first200	head_loss_last200
PRE_A_shared		shared	39969280	6503	False	2190.9	391608.0	93.9	37.5007	2.7439						3.8903			{}	{}
PRE_V2_shared_NEXT	False	shared	40384000	5612	False	2200.6	386460.0	93.6	42.1692	2.7262	2.7276	15.296	5600	3.5697	35.505	4.5166	True	False	{"next": 42.1692, "total": 42.1692}	{"next": 2.72622, "total": 2.72622}
PRE_V_shared_MULTI	True	shared	40765960	4525	True	1700.4	364162.0	89.1	43.2407	6.9614	2.877	17.76	4400	3.4843	32.6	3.8903	True	False	{"next": 38.68352, "h60": 1.14672, "h300": 2.86804, "cpc64": 8.38117, "cpc256": 8.38239, "total": 43.24066}	{"next": 2.88956, "h60": 0.8985, "h300": 2.13793, "cpc64": 7.89349, "cpc256": 7.91119, "total": 6.96142}
PRE_V_shared_NEXT	False	shared	39969280	4913	True	1700.4	395100.0	94.8	37.9432	2.7929	2.7913	16.301	4800	3.4842	32.598	3.8903	True	False	{"next": 37.94315, "total": 37.94315}	{"next": 2.79287, "total": 2.79287}
PRE_V_si_MULTI	True	si	40764936	2400	False	900.7	362171.0	88.6	38.6638	7.2667	3.2171	24.955	2400	3.396	29.844	3.8903	True	False	{"next": 34.17379, "h60": 1.08055, "h300": 2.71093, "cpc64": 8.38102, "cpc256": 8.38165, "total": 38.66377}	{"next": 3.21527, "h60": 0.87377, "h300": 2.09599, "cpc64": 7.89334, "cpc256": 7.9092, "total": 7.2667}
