# PORT M2 THE PRECISION FRONTIER (threshold x day-abstention x agreement) (PORT-M2-PRECISION-FRONTIER-V1)
# predicted vs realised winner rate INSIDE each tier, over CANDIDATES (a calibration statement is about the score, not the schedule)
# the head is fitted with reg:squarederror on the 0/1 winner label, so its output is a predicted RATE and is directly comparable
era	grain	score	tier	n_candidates	predicted_rate	realised_rate	realised_ci_lo	realised_ci_hi	score_min	score_max	realised_minus_predicted
E4	candidate	SHUFFLE	top_100%	148418	0.0573	0.0493	0.0441	0.0544	0.0207	0.1592	-0.0081
E5	candidate	FULL_TF	top_0.02%	31	0.1910	0.0000	0.0000	0.0000	0.1833	0.2023	-0.1910
E5	candidate	SHUFFLE	top_0.02%	31	0.1910	0.0323	-0.0343	0.0988	0.1833	0.2023	-0.1587
E5	candidate	FULL_TF	top_0.05%	76	0.1811	0.0000	0.0000	0.0000	0.1716	0.2023	-0.1811
E5	candidate	SHUFFLE	top_0.05%	76	0.1811	0.0658	0.0106	0.1210	0.1716	0.2023	-0.1153
E5	candidate	FULL_TF	top_0.1%	153	0.1759	0.0458	-0.0590	0.1505	0.1692	0.2023	-0.1301
E5	candidate	SHUFFLE	top_0.1%	153	0.1759	0.0588	0.0188	0.0989	0.1692	0.2023	-0.1170
E5	candidate	FULL_TF	top_0.2%	306	0.1631	0.0425	-0.0316	0.1166	0.1392	0.2023	-0.1206
E5	candidate	SHUFFLE	top_0.2%	306	0.1631	0.0425	0.0188	0.0662	0.1392	0.2023	-0.1206
E5	candidate	FULL_TF	top_0.5%	765	0.1427	0.1059	0.0086	0.2032	0.1238	0.2023	-0.0369
E5	candidate	SHUFFLE	top_0.5%	765	0.1427	0.0523	0.0355	0.0691	0.1238	0.2023	-0.0905
E5	candidate	FULL_TF	top_1%	1529	0.1318	0.1714	0.0919	0.2509	0.1174	0.2023	0.0395
E5	candidate	SHUFFLE	top_1%	1529	0.1318	0.0438	0.0326	0.0551	0.1174	0.2023	-0.0880
E5	candidate	FULL_TF	top_2%	3059	0.1226	0.1281	0.0705	0.1858	0.1101	0.2023	0.0055
E5	candidate	SHUFFLE	top_2%	3059	0.1226	0.0445	0.0348	0.0541	0.1101	0.2023	-0.0781
E5	candidate	FULL_TF	top_5%	7647	0.1117	0.1211	0.0841	0.1581	0.1008	0.2023	0.0093
E5	candidate	SHUFFLE	top_5%	7647	0.1117	0.0483	0.0399	0.0566	0.1008	0.2023	-0.0635
E5	candidate	FULL_TF	top_10%	15295	0.1042	0.1113	0.0862	0.1364	0.0929	0.2023	0.0071
E5	candidate	SHUFFLE	top_10%	15295	0.1042	0.0465	0.0392	0.0537	0.0929	0.2023	-0.0577
E5	candidate	FULL_TF	top_20%	30589	0.0953	0.0974	0.0801	0.1146	0.0796	0.2023	0.0021
E5	candidate	SHUFFLE	top_20%	30589	0.0953	0.0464	0.0397	0.0531	0.0796	0.2023	-0.0489
E5	candidate	FULL_TF	top_100%	152947	0.0502	0.0457	0.0394	0.0519	0.0065	0.2023	-0.0046
E5	candidate	SHUFFLE	top_100%	152947	0.0502	0.0457	0.0394	0.0519	0.0065	0.2023	-0.0046
E6	candidate	FULL_TF	top_0.02%	33	0.2923	0.0000	.	.	0.2901	0.2988	-0.2923
E6	candidate	SHUFFLE	top_0.02%	33	0.2923	0.0909	-0.0141	0.1960	0.2901	0.2988	-0.2014
E6	candidate	FULL_TF	top_0.05%	82	0.2783	0.0000	0.0000	0.0000	0.2642	0.2988	-0.2783
E6	candidate	SHUFFLE	top_0.05%	82	0.2783	0.0488	0.0003	0.0973	0.2642	0.2988	-0.2295
E6	candidate	FULL_TF	top_0.1%	163	0.2684	0.0123	-0.0038	0.0283	0.2561	0.2988	-0.2561
E6	candidate	SHUFFLE	top_0.1%	163	0.2684	0.0429	0.0078	0.0781	0.2561	0.2988	-0.2254
E6	candidate	FULL_TF	top_0.2%	326	0.2602	0.1810	-0.0798	0.4418	0.2434	0.2988	-0.0793
E6	candidate	SHUFFLE	top_0.2%	326	0.2602	0.0521	0.0266	0.0777	0.2434	0.2988	-0.2081
E6	candidate	FULL_TF	top_0.5%	815	0.2388	0.1313	0.0134	0.2492	0.2053	0.2988	-0.1075
E6	candidate	SHUFFLE	top_0.5%	815	0.2388	0.0503	0.0342	0.0664	0.2053	0.2988	-0.1885
E6	candidate	FULL_TF	top_1%	1631	0.2128	0.1055	0.0424	0.1685	0.1733	0.2988	-0.1073
E6	candidate	SHUFFLE	top_1%	1631	0.2128	0.0515	0.0405	0.0625	0.1733	0.2988	-0.1613
E6	candidate	FULL_TF	top_2%	3261	0.1852	0.0874	0.0573	0.1175	0.1467	0.2988	-0.0978
E6	candidate	SHUFFLE	top_2%	3261	0.1852	0.0555	0.0458	0.0652	0.1467	0.2988	-0.1297
E6	candidate	FULL_TF	top_5%	8153	0.1521	0.1057	0.0801	0.1314	0.1197	0.2988	-0.0464
E6	candidate	SHUFFLE	top_5%	8153	0.1521	0.0588	0.0510	0.0665	0.1197	0.2988	-0.0933
E6	candidate	FULL_TF	top_10%	16306	0.1312	0.1046	0.0892	0.1200	0.1035	0.2988	-0.0266
E6	candidate	SHUFFLE	top_10%	16306	0.1312	0.0580	0.0513	0.0647	0.1035	0.2988	-0.0732
E6	candidate	FULL_TF	top_20%	32612	0.1135	0.1003	0.0888	0.1118	0.0895	0.2988	-0.0132
E6	candidate	SHUFFLE	top_20%	32612	0.1135	0.0589	0.0528	0.0649	0.0895	0.2988	-0.0546
E6	candidate	FULL_TF	top_100%	163062	0.0590	0.0591	0.0536	0.0645	0.0046	0.2988	0.0000
E6	candidate	SHUFFLE	top_100%	163062	0.0590	0.0591	0.0536	0.0645	0.0046	0.2988	0.0000
E8_GATE_2025H1	candidate	FULL_TF	top_0.02%	34	0.1695	0.0000	.	.	0.1633	0.1791	-0.1695
E8_GATE_2025H1	candidate	SHUFFLE	top_0.02%	34	0.1695	0.0882	-0.0160	0.1924	0.1633	0.1791	-0.0813
E8_GATE_2025H1	candidate	FULL_TF	top_0.05%	86	0.1612	0.0000	0.0000	0.0000	0.1468	0.1791	-0.1612
E8_GATE_2025H1	candidate	SHUFFLE	top_0.05%	86	0.1612	0.0581	0.0067	0.1096	0.1468	0.1791	-0.1031
E8_GATE_2025H1	candidate	FULL_TF	top_0.1%	172	0.1529	0.0000	0.0000	0.0000	0.1414	0.1791	-0.1529
E8_GATE_2025H1	candidate	SHUFFLE	top_0.1%	172	0.1529	0.0465	0.0148	0.0782	0.1414	0.1791	-0.1064
E8_GATE_2025H1	candidate	FULL_TF	top_0.2%	345	0.1385	0.0232	-0.0308	0.0771	0.1125	0.1791	-0.1153
E8_GATE_2025H1	candidate	SHUFFLE	top_0.2%	345	0.1385	0.0522	0.0297	0.0746	0.1125	0.1791	-0.0863
E8_GATE_2025H1	candidate	FULL_TF	top_0.5%	862	0.1201	0.0708	0.0091	0.1325	0.1054	0.1791	-0.0493
E8_GATE_2025H1	candidate	SHUFFLE	top_0.5%	862	0.1201	0.0557	0.0393	0.0721	0.1054	0.1791	-0.0644
E8_GATE_2025H1	candidate	FULL_TF	top_1%	1723	0.1121	0.0894	0.0175	0.1612	0.1029	0.1791	-0.0227
E8_GATE_2025H1	candidate	SHUFFLE	top_1%	1723	0.1121	0.0609	0.0493	0.0725	0.1029	0.1791	-0.0511
E8_GATE_2025H1	candidate	FULL_TF	top_2%	3447	0.1068	0.0899	0.0438	0.1361	0.1006	0.1791	-0.0169
E8_GATE_2025H1	candidate	SHUFFLE	top_2%	3447	0.1068	0.0592	0.0496	0.0688	0.1006	0.1791	-0.0476
E8_GATE_2025H1	candidate	FULL_TF	top_5%	8616	0.1022	0.0896	0.0622	0.1170	0.0976	0.1791	-0.0126
E8_GATE_2025H1	candidate	SHUFFLE	top_5%	8616	0.1022	0.0627	0.0555	0.0698	0.0976	0.1791	-0.0395
E8_GATE_2025H1	candidate	FULL_TF	top_10%	17233	0.0989	0.0930	0.0737	0.1123	0.0939	0.1791	-0.0059
E8_GATE_2025H1	candidate	SHUFFLE	top_10%	17233	0.0989	0.0630	0.0573	0.0687	0.0939	0.1791	-0.0358
E8_GATE_2025H1	candidate	FULL_TF	top_20%	34466	0.0949	0.0951	0.0815	0.1086	0.0883	0.1791	0.0002
E8_GATE_2025H1	candidate	SHUFFLE	top_20%	34466	0.0949	0.0643	0.0589	0.0697	0.0883	0.1791	-0.0306
E8_GATE_2025H1	candidate	FULL_TF	top_100%	172328	0.0635	0.0650	0.0604	0.0695	0.0167	0.1791	0.0014
E8_GATE_2025H1	candidate	SHUFFLE	top_100%	172328	0.0635	0.0650	0.0604	0.0695	0.0167	0.1791	0.0014
