# PORT M2 M2.SEQ raw-event sequence model at candidate grain (lane=port-m2-seqtest; seed=20260813; device=NVIDIA RTX PRO 6000 Blackwell Workstation Edition)
# THE R1/R6 DIAGNOSTIC, reported unconditionally: how much of the 3150-token event vocabulary the corpus actually occupies and how much mass sits in the extreme buckets a too-coarse binning would destroy.
field	bucket	n_events	mass_fraction	n_vocab_cells
dmid_bucket	0	111451	7.8e-05	138
dmid_bucket	1	308203	0.000216	138
dmid_bucket	2	93321628	0.065463	171
dmid_bucket	3	1330220676	0.933126	261
dmid_bucket	4	1401301	0.000983	134
dmid_bucket	5	115098	8.1e-05	123
dmid_bucket	6	74346	5.2e-05	130
size_bucket	0	1224351868	0.858861	278
size_bucket	1	171017807	0.119966	256
size_bucket	2	27770395	0.01948	246
size_bucket	3	2356450	0.001653	200
size_bucket	4	56183	3.9e-05	115
gap_bucket	0	345294049	0.242218	277
gap_bucket	1	512936704	0.359816	176
gap_bucket	2	128495277	0.090137	172
gap_bucket	3	136226356	0.09556	167
gap_bucket	4	302600317	0.212269	303
act_side	AB	307744200	0.215877	118
act_side	AA	308167661	0.216174	112
act_side	AN	662421	0.000465	79
act_side	CB	308618993	0.216491	107
act_side	CA	309551370	0.217145	102
act_side	CN	1507173	0.001057	88
act_side	MB	61549216	0.043176	144
act_side	MA	63134874	0.044288	145
act_side	MN	143319	0.000101	50
act_side	TB	31496657	0.022094	50
act_side	TA	31430053	0.022048	49
act_side	TN	1546766	0.001085	51
act_side	FB	0	0.0	0
act_side	FA	0	0.0	0
act_side	FN	0	0.0	0
act_side	RB	0	0.0	0
act_side	RA	0	0.0	0
act_side	RN	0	0.0	0
vocab	used_of_3150	1095	0.347619	0
vocab	top10_mass	0	0.518549	10
vocab	top100_mass	0	0.979814	100
vocab	tail_mass_below_1e-4	0	0.003612	2989
