# census 4 — the complete economics table: every entry x stop x exit cell, per era (all G1/G2 confirmed extremes, winners AND losers) (PORT-M2-GOALPATH-V1)
era	asset	cell	n_trades	win_rate	usd_per_trade	median_usd	risk_usd_mean	risk_usd_median	risk_usd_p90	r_mult_mean	r_mult_median	r_mult_p90	mae_usd_mean	mae_usd_p90	frac_ge_600	frac_ge_1000	trades_per_session
E2	ALL	HOLD_600|RECLAIM|TRAIL_1.5R	35313	0.3164	-28.5	-98.75	227.27	175	437.5	-0.2233	-0.7615	1.686	149.48	325	0.0539	0.0234	91.961
E2	ALL	HOLD_600|SWING|PHASE	37680	0.1149	-37.33	-105	83.39	75	150	-0.534	-1.4889	1.006	82.16	150	0.0436	0.023	98.125
E2	ALL	HOLD_600|SWING|TRAIL_1.0R	37680	0.2396	-35.09	-55	83.39	75	150	-0.5241	-0.85	1.055	44.96	100	0.0026	0.0004	98.125
E2	ALL	HOLD_600|SWING|TRAIL_1.5R	37680	0.2584	-33.49	-67.5	83.39	75	150	-0.5041	-1.1211	1.6	57.71	125	0.0077	0.0016	98.125
E2	ALL	LEG_0.5|EXT|PHASE	5870	0.4451	-81.43	-67.5	1271.83	1250	1512.5	-0.0572	-0.0566	0.732	576.08	1250	0.1755	0.0915	15.286
E2	ALL	LEG_0.5|EXT|TRAIL_1.0R	5870	0.4358	-62.15	-86.25	1271.83	1250	1512.5	-0.0414	-0.0698	0.708	496.81	1087.5	0.1656	0.0835	15.286
E2	ALL	LEG_0.5|EXT|TRAIL_1.5R	5870	0.4451	-75.56	-67.5	1271.83	1250	1512.5	-0.0527	-0.0566	0.728	562.18	1237.5	0.1724	0.0893	15.286
E2	ALL	LEG_0.5|RECLAIM|PHASE	5868	0.4404	-71.97	-80	1078.81	1062.5	1300	-0.0604	-0.0757	0.862	535.46	1112.5	0.173	0.0896	15.281
E2	ALL	LEG_0.5|RECLAIM|TRAIL_1.0R	5868	0.425	-50.78	-92.5	1078.81	1062.5	1300	-0.0409	-0.0914	0.817	444.16	943.75	0.1595	0.0816	15.281
E2	ALL	LEG_0.5|RECLAIM|TRAIL_1.5R	5868	0.4373	-69.51	-80	1078.81	1062.5	1300	-0.0584	-0.0811	0.838	514.75	1093.75	0.1663	0.0835	15.281
