# census 4 — the complete economics table: every entry x stop x exit cell, per era (all G1/G2 confirmed extremes, winners AND losers) (PORT-M2-GOALPATH-V1)
era	asset	cell	n_trades	win_rate	usd_per_trade	median_usd	risk_usd_mean	risk_usd_median	risk_usd_p90	r_mult_mean	r_mult_median	r_mult_p90	mae_usd_mean	mae_usd_p90	frac_ge_600	frac_ge_1000	trades_per_session
E2	ALL	TREND_1800|RECLAIM|PHASE	79922	0.2696	-33.94	-161.25	325.62	250	662.5	-0.1445	-1.1	1.982	243.29	512.5	0.1095	0.0577	208.13
E2	ALL	TREND_1800|RECLAIM|TRAIL_1.0R	79922	0.3281	-32.7	-80	325.62	250	662.5	-0.1852	-0.4462	1.163	160.72	375	0.0513	0.0209	208.13
E2	ALL	TREND_1800|RECLAIM|TRAIL_1.5R	79922	0.3352	-34.85	-105	325.62	250	662.5	-0.1782	-0.6226	1.575	203.58	462.5	0.0739	0.0312	208.13
E2	ALL	TREND_1800|SWING|PHASE	79727	0.1517	-32.33	-117.5	133.1	100	275	-0.4072	-1.3429	1.8	121.18	250	0.0618	0.0329	207.622
E2	ALL	TREND_1800|SWING|TRAIL_1.0R	79727	0.27	-32.67	-55	133.1	100	275	-0.4068	-0.7077	1.15	69.9	162.5	0.0117	0.0034	207.622
E2	ALL	TREND_1800|SWING|TRAIL_1.5R	79727	0.279	-31.93	-73.75	133.1	100	275	-0.397	-0.9947	1.651	90.19	200	0.0231	0.0074	207.622
E2	ALL	TREND_3600|EXT|PHASE	80090	0.3878	-27.76	-167.5	615.1	512.5	1100	-0.0391	-0.2952	1.472	363.09	750	0.1404	0.0734	208.568
E2	ALL	TREND_3600|EXT|TRAIL_1.0R	80090	0.3845	-31.3	-105	615.1	512.5	1100	-0.0544	-0.22	1.074	274.72	600	0.0976	0.0426	208.568
E2	ALL	TREND_3600|EXT|TRAIL_1.5R	80090	0.4015	-28.46	-114.38	615.1	512.5	1100	-0.0429	-0.2193	1.315	332.03	712.5	0.1232	0.0589	208.568
E2	ALL	TREND_3600|RECLAIM|PHASE	80090	0.3149	-30.2	-155	433.91	325	900	-0.0999	-1.0471	1.767	281.89	619.38	0.117	0.0608	208.568
E2	ALL	TREND_3600|RECLAIM|TRAIL_1.0R	80090	0.3476	-36.09	-80	433.91	325	900	-0.1408	-0.3562	1.115	201.37	475	0.0645	0.0264	208.568
E2	ALL	TREND_3600|RECLAIM|TRAIL_1.5R	80090	0.3587	-33.55	-105	433.91	325	900	-0.1221	-0.4342	1.49	247.93	581.25	0.0884	0.0399	208.568
E2	ALL	TREND_3600|SWING|PHASE	79978	0.1855	-27.82	-117.5	165.52	112.5	350	-0.3109	-1.2667	1.985	141.14	300	0.0697	0.0367	208.276
E2	ALL	TREND_3600|SWING|TRAIL_1.0R	79978	0.2813	-32.31	-61.25	165.52	112.5	350	-0.3477	-0.64	1.178	85.72	200	0.0185	0.0061	208.276
E2	ALL	TREND_3600|SWING|TRAIL_1.5R	79978	0.2973	-28.32	-80	165.52	112.5	350	-0.3215	-0.9	1.7	109.97	256.25	0.0321	0.0124	208.276
E3	ALL	HOLD_60|EXT|PHASE	91637	0.271	-24.19	-205	235.43	212.5	362.5	-0.1227	-1.1091	2.349	194.14	331.25	0.0915	0.0448	234.967
E3	ALL	HOLD_60|EXT|TRAIL_1.0R	91637	0.3179	-31.54	-92.5	235.43	212.5	362.5	-0.1554	-0.4593	1.173	121.81	250	0.0302	0.0082	234.967
E3	ALL	HOLD_60|EXT|TRAIL_1.5R	91637	0.3236	-27.77	-130	235.43	212.5	362.5	-0.1414	-0.652	1.653	157	300	0.0541	0.0195	234.967
E3	ALL	HOLD_60|RECLAIM|PHASE	64142	0.1164	-29.27	-105	89	75	150	-0.4383	-1.4	1.229	86.81	150	0.0459	0.0245	164.467
E3	ALL	HOLD_60|RECLAIM|TRAIL_1.0R	64142	0.2436	-32.8	-55	89	75	150	-0.4615	-0.8	1.04	48.89	100	0.0032	0.0008	164.467
E3	ALL	HOLD_60|RECLAIM|TRAIL_1.5R	64142	0.2565	-32.19	-73.75	89	75	150	-0.457	-1.1	1.541	62.45	125	0.0089	0.0022	164.467
E3	ALL	HOLD_60|SWING|PHASE	85402	0.0913	-30.04	-80	58.49	50	75	-0.5531	-1.6	-1.142	60.47	87.5	0.0318	0.0155	218.979
E3	ALL	HOLD_60|SWING|TRAIL_1.0R	85402	0.2162	-32.6	-55	58.49	50	75	-0.5922	-0.96	0.92	32.98	62.5	0.0003	0	218.979
E3	ALL	HOLD_60|SWING|TRAIL_1.5R	85402	0.2362	-32.31	-64.38	58.49	50	75	-0.5888	-1.2333	1.42	41.84	75	0.0018	0.0002	218.979
E3	ALL	HOLD_180|EXT|PHASE	62512	0.3003	-23.7	-205	270.53	250	425	-0.116	-1.0857	2.151	212.95	375	0.0958	0.0464	160.287
E3	ALL	HOLD_180|EXT|TRAIL_1.0R	62512	0.325	-31.07	-105	270.53	250	425	-0.1424	-0.4276	1.145	137.6	275	0.0386	0.0128	160.287
E3	ALL	HOLD_180|EXT|TRAIL_1.5R	62512	0.3335	-26.76	-136.25	270.53	250	425	-0.1264	-0.6	1.63	177.01	350	0.065	0.0258	160.287
E3	ALL	HOLD_180|RECLAIM|PHASE	50578	0.1599	-27.85	-117.5	125.07	100	225	-0.3428	-1.3	2.2	114.79	212.5	0.0591	0.0305	129.687
E3	ALL	HOLD_180|RECLAIM|TRAIL_1.0R	50578	0.2631	-32.89	-61.25	125.07	100	225	-0.3684	-0.68	1.1	66.69	150	0.0088	0.0024	129.687
E3	ALL	HOLD_180|RECLAIM|TRAIL_1.5R	50578	0.276	-31.25	-80	125.07	100	225	-0.3587	-0.9857	1.614	86.08	175	0.0202	0.0063	129.687
E3	ALL	HOLD_180|SWING|PHASE	59580	0.1092	-27.33	-92.5	66.33	62.5	100	-0.4807	-1.55	0.72	66.52	100	0.0359	0.0174	152.769
E3	ALL	HOLD_180|SWING|TRAIL_1.0R	59580	0.223	-33.21	-55	66.33	62.5	100	-0.5543	-0.88	0.933	36.79	75	0.0009	0.0001	152.769
E3	ALL	HOLD_180|SWING|TRAIL_1.5R	59580	0.2435	-31.81	-67.5	66.33	62.5	100	-0.5382	-1.18	1.443	46.87	87.5	0.0033	0.0006	152.769
E3	ALL	HOLD_300|EXT|PHASE	50674	0.3161	-21.88	-205	296.4	262.5	475	-0.1121	-1.0706	2.004	225.61	412.5	0.0995	0.0482	129.933
E3	ALL	HOLD_300|EXT|TRAIL_1.0R	50674	0.3302	-28.95	-105	296.4	262.5	475	-0.1349	-0.4111	1.141	148.66	306.25	0.0455	0.0162	129.933
E3	ALL	HOLD_300|EXT|TRAIL_1.5R	50674	0.3387	-23.99	-133.12	296.4	262.5	475	-0.12	-0.5437	1.589	190.88	375	0.0717	0.0298	129.933
E3	ALL	HOLD_300|RECLAIM|PHASE	43437	0.1877	-25.71	-130	150.29	125	281.25	-0.3015	-1.2316	2.379	132.35	262.5	0.0668	0.0344	111.377
E3	ALL	HOLD_300|RECLAIM|TRAIL_1.0R	43437	0.278	-30.79	-67.5	150.29	125	281.25	-0.3201	-0.6286	1.114	78.05	175	0.0141	0.0041	111.377
E3	ALL	HOLD_300|RECLAIM|TRAIL_1.5R	43437	0.2885	-27.52	-83.12	150.29	125	281.25	-0.3007	-0.9	1.633	101.32	225	0.0304	0.0119	111.377
E3	ALL	HOLD_300|SWING|PHASE	48632	0.115	-29.56	-92.5	71.48	62.5	112.5	-0.4902	-1.48	1.075	70.76	112.5	0.0366	0.0178	124.697
E3	ALL	HOLD_300|SWING|TRAIL_1.0R	48632	0.231	-32.51	-55	71.48	62.5	112.5	-0.5198	-0.85	0.95	38.93	75	0.0009	0.0002	124.697
E3	ALL	HOLD_300|SWING|TRAIL_1.5R	48632	0.2507	-31.03	-67.5	71.48	62.5	112.5	-0.5018	-1.1286	1.554	49.83	100	0.005	0.001	124.697
E3	ALL	HOLD_600|EXT|PHASE	37327	0.3425	-20.1	-192.5	348.13	300	575	-0.0954	-1.0353	1.815	249.22	475	0.1044	0.0507	95.71
E3	ALL	HOLD_600|EXT|TRAIL_1.0R	37327	0.3386	-26.81	-105	348.13	300	575	-0.1136	-0.37	1.156	172.77	362.5	0.0569	0.0219	95.71
E3	ALL	HOLD_600|EXT|TRAIL_1.5R	37327	0.3596	-20.36	-130	348.13	300	575	-0.0968	-0.4571	1.515	218.33	437.5	0.0822	0.0371	95.71
E3	ALL	HOLD_600|RECLAIM|PHASE	33993	0.2313	-24.42	-136.25	199.73	156.25	387.5	-0.2447	-1.1571	2.243	164.05	331.25	0.0782	0.0398	87.162
E3	ALL	HOLD_600|RECLAIM|TRAIL_1.0R	33993	0.2889	-30.74	-80	199.73	156.25	387.5	-0.2666	-0.575	1.133	102.62	225	0.0261	0.0094	87.162
E3	ALL	HOLD_600|RECLAIM|TRAIL_1.5R	33993	0.302	-27.04	-92.5	199.73	156.25	387.5	-0.2495	-0.813	1.656	132.64	300	0.0448	0.0189	87.162
E3	ALL	HOLD_600|SWING|PHASE	36156	0.1265	-26.11	-105	80.84	75	125	-0.4231	-1.44	1.511	78.34	131.25	0.0413	0.0209	92.708
E3	ALL	HOLD_600|SWING|TRAIL_1.0R	36156	0.2325	-33.81	-55	80.84	75	125	-0.502	-0.84	0.922	43.7	87.5	0.0017	0.0004	92.708
E3	ALL	HOLD_600|SWING|TRAIL_1.5R	36156	0.2511	-32.76	-73.75	80.84	75	125	-0.4914	-1.1	1.45	56.36	112.5	0.006	0.0018	92.708
E3	ALL	LEG_0.5|EXT|PHASE	4992	0.4511	0.4	-55	1183.91	1150	1562.5	-0.0005	-0.0478	0.824	493.57	1150	0.1747	0.1014	12.8
E3	ALL	LEG_0.5|EXT|TRAIL_1.0R	4992	0.4357	-7.41	-67.5	1183.91	1150	1562.5	-0.0062	-0.0649	0.779	446.31	975	0.1641	0.0911	12.8
E3	ALL	LEG_0.5|EXT|TRAIL_1.5R	4992	0.4507	3.88	-55	1183.91	1150	1562.5	0.0027	-0.048	0.828	488.48	1137.5	0.1751	0.102	12.8
E3	ALL	LEG_0.5|RECLAIM|PHASE	4978	0.4444	11.97	-61.25	992.96	975	1312.5	0.0031	-0.062	0.979	455.19	995.62	0.173	0.1004	12.764
E3	ALL	LEG_0.5|RECLAIM|TRAIL_1.0R	4978	0.4237	-3.99	-80	992.96	975	1312.5	-0.0137	-0.0884	0.865	396.94	837.5	0.1565	0.0828	12.764
E3	ALL	LEG_0.5|RECLAIM|TRAIL_1.5R	4978	0.4421	12.55	-62.81	992.96	975	1312.5	0.004	-0.0637	0.97	446.35	975	0.1726	0.0978	12.764
E3	ALL	LEG_0.5|SWING|PHASE	4990	0.0992	-13.63	-80	60.55	50	62.5	-0.2382	-1.6	-0.106	61.67	81.25	0.0419	0.022	12.795
E3	ALL	LEG_0.5|SWING|TRAIL_1.0R	4990	0.2319	-25.2	-55	60.55	50	62.5	-0.5121	-1.1	1.15	37.03	62.5	0.0032	0.0022	12.795
E3	ALL	LEG_0.5|SWING|TRAIL_1.5R	4990	0.2535	-23.36	-67.5	60.55	50	62.5	-0.4785	-1.2154	1.9	44	75	0.004	0.003	12.795
E3	ALL	LEG_0.75|EXT|PHASE	1840	0.4995	72.58	-5	1768.29	1700	2312.5	0.0412	-0.0024	0.668	510.53	1243.75	0.2168	0.1255	4.718
E3	ALL	LEG_0.75|EXT|TRAIL_1.0R	1840	0.4995	80.89	-5	1768.29	1700	2312.5	0.0473	-0.0023	0.668	491.76	1150	0.2168	0.1255	4.718
E3	ALL	LEG_0.75|EXT|TRAIL_1.5R	1840	0.4995	73.52	-5	1768.29	1700	2312.5	0.0419	-0.0024	0.668	509.39	1219.37	0.2168	0.1255	4.718
E3	ALL	LEG_0.75|RECLAIM|PHASE	1833	0.5014	94.51	7.5	1569.44	1525	2075	0.0511	0.0042	0.744	484.19	1160	0.2177	0.126	4.7
E3	ALL	LEG_0.75|RECLAIM|TRAIL_1.0R	1833	0.5008	107.37	7.5	1569.44	1525	2075	0.0626	0.0042	0.744	461.51	1087.5	0.2177	0.126	4.7
E3	ALL	LEG_0.75|RECLAIM|TRAIL_1.5R	1833	0.5019	95.88	7.5	1569.44	1525	2075	0.0561	0.0043	0.746	481.41	1150	0.2177	0.126	4.7
E3	ALL	LEG_0.75|SWING|PHASE	1840	0.0946	-12.31	-80	62.74	50	68.75	-0.2213	-1.6	-0.765	65.85	87.5	0.0408	0.0266	4.718
E3	ALL	LEG_0.75|SWING|TRAIL_1.0R	1840	0.2342	-25.77	-55	62.74	50	68.75	-0.4845	-1.1	1.211	40.35	75	0.0049	0.0011	4.718
E3	ALL	LEG_0.75|SWING|TRAIL_1.5R	1840	0.2272	-22.74	-67.5	62.74	50	68.75	-0.5206	-1.35	1.9	47.88	75	0.0114	0.0054	4.718
E3	ALL	LEG_1|EXT|PHASE	730	0.5726	144.08	107.5	2358.36	2250	3075	0.0638	0.0483	0.516	512.01	1178.75	0.2644	0.1493	1.872
E3	ALL	LEG_1|EXT|TRAIL_1.0R	730	0.5726	140.05	107.5	2358.36	2250	3075	0.0646	0.0483	0.516	502.12	1175	0.2644	0.1493	1.872
E3	ALL	LEG_1|EXT|TRAIL_1.5R	730	0.5726	141.7	107.5	2358.36	2250	3075	0.0625	0.0483	0.516	511.33	1178.75	0.2644	0.1493	1.872
E3	ALL	LEG_1|RECLAIM|PHASE	728	0.5742	167.26	107.5	2143.78	2062.5	2850	0.0693	0.0513	0.556	481.25	1175	0.2651	0.1497	1.867
E3	ALL	LEG_1|RECLAIM|TRAIL_1.0R	728	0.5755	175.68	107.5	2143.78	2062.5	2850	0.0806	0.0516	0.556	467.36	1162.5	0.2651	0.1497	1.867
E3	ALL	LEG_1|RECLAIM|TRAIL_1.5R	728	0.5755	166.58	107.5	2143.78	2062.5	2850	0.0763	0.0516	0.558	480	1166.25	0.2651	0.1497	1.867
E3	ALL	LEG_1|SWING|PHASE	730	0.126	18.18	-80	61.43	50	68.75	0.4319	-1.6	2.15	65.13	100	0.0575	0.0342	1.872
E3	ALL	LEG_1|SWING|TRAIL_1.0R	730	0.2575	-27.34	-55	61.43	50	68.75	-0.5304	-1.1	1.15	41.59	87.5	0.0068	0	1.872
E3	ALL	LEG_1|SWING|TRAIL_1.5R	730	0.2658	-27.61	-67.5	61.43	50	68.75	-0.5318	-1.3429	1.65	47.67	87.5	0.0055	0	1.872
E3	ALL	DELAY_0|EXT|PHASE	141615	0.2438	-22.71	-180	218.16	200	362.5	-0.1409	-1.1263	2.329	183.33	325	0.089	0.0459	363.115
E3	ALL	DELAY_0|EXT|TRAIL_1.0R	141615	0.3128	-29.17	-80	218.16	200	362.5	-0.1783	-0.4857	1.178	112.65	237.5	0.0276	0.0084	363.115
E3	ALL	DELAY_0|EXT|TRAIL_1.5R	141615	0.3183	-26.21	-111.25	218.16	200	362.5	-0.1652	-0.7	1.664	145.82	293.75	0.0494	0.0188	363.115
E3	ALL	DELAY_0|RECLAIM|PHASE	72972	0.1308	-27.76	-105	105.78	87.5	187.5	-0.395	-1.3429	1.72	100.82	187.5	0.0533	0.029	187.108
E3	ALL	DELAY_0|RECLAIM|TRAIL_1.0R	72972	0.2588	-30.88	-55	105.78	87.5	187.5	-0.4024	-0.7333	1.093	57.16	125	0.006	0.0016	187.108
E3	ALL	DELAY_0|RECLAIM|TRAIL_1.5R	72972	0.2684	-29.84	-73.75	105.78	87.5	187.5	-0.3907	-1.05	1.614	73.47	150	0.0151	0.0044	187.108
E3	ALL	DELAY_0|SWING|PHASE	137297	0.0969	-27.07	-92.5	69.72	62.5	112.5	-0.47	-1.48	-0.35	71.21	112.5	0.0392	0.0209	352.044
E3	ALL	DELAY_0|SWING|TRAIL_1.0R	137297	0.2353	-30.6	-55	69.72	62.5	112.5	-0.5136	-0.85	1.029	38.76	75	0.0015	0.0002	352.044
E3	ALL	DELAY_0|SWING|TRAIL_1.5R	137297	0.2511	-29.53	-67.5	69.72	62.5	112.5	-0.4974	-1.14	1.6	49.44	100	0.0045	0.0008	352.044
E3	ALL	DELAY_30|EXT|PHASE	139573	0.2467	-22.29	-180	221.99	200	375	-0.1401	-1.12	2.311	185.38	337.5	0.0897	0.0463	357.879
E3	ALL	DELAY_30|EXT|TRAIL_1.0R	139573	0.3139	-28.99	-80	221.99	200	375	-0.1765	-0.48	1.186	114.4	243.75	0.0285	0.0089	357.879
E3	ALL	DELAY_30|EXT|TRAIL_1.5R	139573	0.3194	-26.28	-108.12	221.99	200	375	-0.1632	-0.7	1.664	148.19	300	0.0511	0.0193	357.879
E3	ALL	DELAY_30|RECLAIM|PHASE	72634	0.1388	-27.56	-111.25	114.03	87.5	212.5	-0.3683	-1.3143	1.9	107.31	200	0.0566	0.0306	186.241
E3	ALL	DELAY_30|RECLAIM|TRAIL_1.0R	72634	0.264	-31.15	-55	114.03	87.5	212.5	-0.3808	-0.7	1.1	61.27	137.5	0.0073	0.002	186.241
E3	ALL	DELAY_30|RECLAIM|TRAIL_1.5R	72634	0.2722	-30.09	-80	114.03	87.5	212.5	-0.3712	-0.9923	1.623	78.83	162.5	0.0175	0.0051	186.241
E3	ALL	DELAY_30|SWING|PHASE	138021	0.101	-26.44	-92.5	72.82	62.5	112.5	-0.4558	-1.48	0.12	73.81	125	0.0406	0.022	353.9
E3	ALL	DELAY_30|SWING|TRAIL_1.0R	138021	0.2387	-30.36	-55	72.82	62.5	112.5	-0.4967	-0.85	1.04	40.28	87.5	0.0018	0.0003	353.9
E3	ALL	DELAY_30|SWING|TRAIL_1.5R	138021	0.2543	-29.36	-67.5	72.82	62.5	112.5	-0.4843	-1.12	1.6	51.45	100	0.0052	0.0011	353.9
E3	ALL	DELAY_60|EXT|PHASE	137739	0.2494	-22.49	-173.75	226.03	200	381.25	-0.15	-1.12	2.3	187.69	350	0.0903	0.0464	353.177
E3	ALL	DELAY_60|EXT|TRAIL_1.0R	137739	0.3147	-29.36	-80	226.03	200	381.25	-0.1799	-0.48	1.173	116.6	250	0.0297	0.0096	353.177
E3	ALL	DELAY_60|EXT|TRAIL_1.5R	137739	0.3193	-26.01	-105	226.03	200	381.25	-0.166	-0.7	1.663	150.58	306.25	0.0525	0.0204	353.177
E3	ALL	DELAY_60|RECLAIM|PHASE	72949	0.1453	-26.98	-117.5	120.99	100	225	-0.3543	-1.3	1.96	112.73	212.5	0.0595	0.032	187.049
E3	ALL	DELAY_60|RECLAIM|TRAIL_1.0R	72949	0.2647	-32.01	-55	120.99	100	225	-0.3708	-0.6857	1.114	64.86	137.5	0.0085	0.0023	187.049
E3	ALL	DELAY_60|RECLAIM|TRAIL_1.5R	72949	0.2745	-30.42	-80	120.99	100	225	-0.3615	-0.9857	1.624	83.63	175	0.0195	0.0063	187.049
E3	ALL	DELAY_60|SWING|PHASE	138642	0.1052	-25.54	-92.5	75.9	62.5	125	-0.4284	-1.48	0.511	76.49	125	0.0423	0.0227	355.492
E3	ALL	DELAY_60|SWING|TRAIL_1.0R	138642	0.2407	-30.57	-55	75.9	62.5	125	-0.4884	-0.84	1.06	41.93	87.5	0.002	0.0004	355.492
E3	ALL	DELAY_60|SWING|TRAIL_1.5R	138642	0.2567	-29.4	-67.5	75.9	62.5	125	-0.4733	-1.1	1.6	53.56	100	0.0058	0.0013	355.492
E3	ALL	DELAY_120|EXT|PHASE	134526	0.2537	-22.12	-167.5	233.02	206.25	400	-0.1479	-1.1143	2.24	191.41	362.5	0.0916	0.0469	344.938
E3	ALL	DELAY_120|EXT|TRAIL_1.0R	134526	0.3159	-28.62	-80	233.02	206.25	400	-0.1778	-0.4788	1.173	119.73	262.5	0.0317	0.0105	344.938
E3	ALL	DELAY_120|EXT|TRAIL_1.5R	134526	0.3219	-25.07	-105	233.02	206.25	400	-0.1629	-0.6846	1.65	154.54	325	0.054	0.022	344.938
E3	ALL	DELAY_120|RECLAIM|PHASE	72818	0.157	-26.29	-117.5	133.17	100	250	-0.3369	-1.2667	2.12	121.79	237.5	0.0638	0.0344	186.713
E3	ALL	DELAY_120|RECLAIM|TRAIL_1.0R	72818	0.2727	-30.78	-61.25	133.17	100	250	-0.3425	-0.6549	1.12	70.56	150	0.011	0.0031	186.713
E3	ALL	DELAY_120|RECLAIM|TRAIL_1.5R	72818	0.2798	-28.95	-80	133.17	100	250	-0.3325	-0.9632	1.645	91.25	200	0.0238	0.0082	186.713
E3	ALL	DELAY_120|SWING|PHASE	139292	0.1106	-26	-92.5	80.9	62.5	137.5	-0.4177	-1.4667	0.86	80.75	137.5	0.0441	0.0237	357.159
E3	ALL	DELAY_120|SWING|TRAIL_1.0R	139292	0.2444	-30.5	-55	80.9	62.5	137.5	-0.4671	-0.8	1.062	44.42	93.75	0.0026	0.0005	357.159
E3	ALL	DELAY_120|SWING|TRAIL_1.5R	139292	0.2591	-29.41	-67.5	80.9	62.5	137.5	-0.4511	-1.1	1.62	56.9	112.5	0.0072	0.0018	357.159
E3	ALL	DELAY_180|EXT|PHASE	131745	0.258	-21.53	-167.5	239.83	212.5	425	-0.1468	-1.1091	2.214	194.99	375	0.0929	0.0478	337.808
E3	ALL	DELAY_180|EXT|TRAIL_1.0R	131745	0.3173	-27.66	-80	239.83	212.5	425	-0.1765	-0.4727	1.171	122.99	268.75	0.0335	0.0118	337.808
E3	ALL	DELAY_180|EXT|TRAIL_1.5R	131745	0.3218	-24.2	-105	239.83	212.5	425	-0.1613	-0.6714	1.66	158.33	331.25	0.0568	0.0233	337.808
E3	ALL	DELAY_180|RECLAIM|PHASE	72806	0.1662	-25.69	-117.5	143.91	112.5	275	-0.3085	-1.24	2.24	129.62	250	0.0675	0.0366	186.682
E3	ALL	DELAY_180|RECLAIM|TRAIL_1.0R	72806	0.2751	-30.8	-61.25	143.91	112.5	275	-0.3329	-0.6403	1.131	76.01	175	0.0132	0.004	186.682
E3	ALL	DELAY_180|RECLAIM|TRAIL_1.5R	72806	0.2843	-27.6	-80	143.91	112.5	275	-0.3126	-0.94	1.657	98.3	212.5	0.0281	0.0111	186.682
E3	ALL	DELAY_180|SWING|PHASE	139860	0.1155	-24.86	-105	85.07	75	150	-0.3897	-1.4	1.133	84.11	150	0.0466	0.0251	358.615
E3	ALL	DELAY_180|SWING|TRAIL_1.0R	139860	0.2489	-30.07	-55	85.07	75	150	-0.4486	-0.78	1.1	46.48	100	0.0031	0.0006	358.615
E3	ALL	DELAY_180|SWING|TRAIL_1.5R	139860	0.2628	-28.81	-67.5	85.07	75	150	-0.4335	-1.1	1.62	59.63	125	0.0092	0.0023	358.615
E3	ALL	DELAY_300|EXT|PHASE	127309	0.265	-20.46	-167.5	252.09	225	450	-0.1459	-1.1043	2.163	201.14	387.5	0.0949	0.0489	326.433
E3	ALL	DELAY_300|EXT|TRAIL_1.0R	127309	0.3194	-26.57	-80	252.09	225	450	-0.1715	-0.4645	1.186	128.86	287.5	0.0372	0.0134	326.433
E3	ALL	DELAY_300|EXT|TRAIL_1.5R	127309	0.3262	-22.49	-105	252.09	225	450	-0.1553	-0.6548	1.662	165.37	350	0.0603	0.0257	326.433
E3	ALL	DELAY_300|RECLAIM|PHASE	72537	0.1829	-23.85	-130	162.18	125	312.5	-0.2821	-1.2182	2.289	142.32	287.5	0.0738	0.04	185.992
E3	ALL	DELAY_300|RECLAIM|TRAIL_1.0R	72537	0.282	-29.18	-67.5	162.18	125	312.5	-0.3025	-0.6125	1.133	85.2	193.75	0.0184	0.0062	185.992
E3	ALL	DELAY_300|RECLAIM|TRAIL_1.5R	72537	0.2899	-27.46	-80	162.18	125	312.5	-0.292	-0.9	1.65	110.16	250	0.0342	0.0134	185.992
E3	ALL	DELAY_300|SWING|PHASE	140405	0.1235	-24.62	-105	92.78	75	162.5	-0.3705	-1.4	1.467	90.33	162.5	0.0497	0.0268	360.013
E3	ALL	DELAY_300|SWING|TRAIL_1.0R	140405	0.2514	-30.3	-55	92.78	75	162.5	-0.4322	-0.76	1.086	50.21	106.25	0.0045	0.0009	360.013
E3	ALL	DELAY_300|SWING|TRAIL_1.5R	140405	0.2656	-28.68	-67.5	92.78	75	162.5	-0.4165	-1.0667	1.638	64.75	131.25	0.0111	0.0032	360.013
E3	ALL	DELAY_600|EXT|PHASE	119140	0.2817	-17.54	-155	278.97	237.5	512.5	-0.1376	-1.0889	2.057	213.41	425	0.099	0.0517	305.487
E3	ALL	DELAY_600|EXT|TRAIL_1.0R	119140	0.3259	-23.12	-80	278.97	237.5	512.5	-0.1568	-0.44	1.2	139.79	312.5	0.0442	0.0174	305.487
E3	ALL	DELAY_600|EXT|TRAIL_1.5R	119140	0.3364	-17.88	-105	278.97	237.5	512.5	-0.1397	-0.6	1.63	178.63	387.5	0.0683	0.0305	305.487
E3	ALL	DELAY_600|RECLAIM|PHASE	72297	0.2134	-18.89	-130	197.3	150	400	-0.2336	-1.1714	2.283	164.07	337.5	0.0839	0.0457	185.377
E3	ALL	DELAY_600|RECLAIM|TRAIL_1.0R	72297	0.295	-25.06	-67.5	197.3	150	400	-0.2562	-0.5702	1.2	100.88	231.25	0.0275	0.0102	185.377
E3	ALL	DELAY_600|RECLAIM|TRAIL_1.5R	72297	0.3043	-21.24	-86.25	197.3	150	400	-0.2416	-0.8167	1.7	130.28	300	0.0472	0.0204	185.377
E3	ALL	DELAY_600|SWING|PHASE	140971	0.1399	-21.35	-105	107.19	81.25	200	-0.3352	-1.3429	1.914	101.54	187.5	0.0554	0.0308	361.464
E3	ALL	DELAY_600|SWING|TRAIL_1.0R	140971	0.2618	-28.94	-55	107.19	81.25	200	-0.3889	-0.7111	1.12	57.33	125	0.0075	0.002	361.464
E3	ALL	DELAY_600|SWING|TRAIL_1.5R	140971	0.275	-26.53	-73.75	107.19	81.25	200	-0.3709	-0.9909	1.65	74	150	0.0165	0.0055	361.464
E3	ALL	TREND_900|EXT|PHASE	69734	0.3446	-15.27	-230	394.72	343.75	650	-0.0695	-1.0393	1.909	284.12	531.25	0.1263	0.0671	178.805
E3	ALL	TREND_900|EXT|TRAIL_1.0R	69734	0.3506	-20.08	-111.25	394.72	343.75	650	-0.0794	-0.3535	1.217	194.93	400	0.0733	0.0305	178.805
E3	ALL	TREND_900|EXT|TRAIL_1.5R	69734	0.3657	-14.93	-142.5	394.72	343.75	650	-0.0687	-0.4448	1.578	247.15	500	0.1018	0.0473	178.805
E3	ALL	TREND_900|RECLAIM|PHASE	69734	0.2321	-17.56	-142.5	224.79	175	450	-0.1895	-1.1412	2.267	182.04	375	0.0911	0.0498	178.805
E3	ALL	TREND_900|RECLAIM|TRAIL_1.0R	69734	0.3075	-23.51	-67.5	224.79	175	450	-0.2129	-0.5268	1.221	114.72	262.5	0.0347	0.0134	178.805
E3	ALL	TREND_900|RECLAIM|TRAIL_1.5R	69734	0.3133	-18.81	-92.5	224.79	175	450	-0.1937	-0.7667	1.745	147.54	325	0.0563	0.0251	178.805
E3	ALL	TREND_900|SWING|PHASE	67018	0.1343	-23.16	-105	103.52	75	193.75	-0.3617	-1.4	1.694	97.49	181.25	0.0536	0.0289	171.841
E3	ALL	TREND_900|SWING|TRAIL_1.0R	67018	0.2585	-28.69	-55	103.52	75	193.75	-0.4085	-0.7333	1.1	55.29	125	0.0074	0.0021	171.841
E3	ALL	TREND_900|SWING|TRAIL_1.5R	67018	0.2705	-26.13	-67.5	103.52	75	193.75	-0.3917	-1.05	1.66	71.17	150	0.016	0.005	171.841
E3	ALL	TREND_1800|EXT|PHASE	70858	0.3727	-10.86	-198.75	466.12	393.75	800	-0.0515	-0.5286	1.68	306.69	600	0.1313	0.0699	181.687
E3	ALL	TREND_1800|EXT|TRAIL_1.0R	70858	0.3655	-17.41	-105	466.12	393.75	800	-0.0685	-0.3024	1.144	222.69	475	0.0842	0.038	181.687
