# PORT M2 D-090.6 information ceiling (E6, hindsight-fit, NON-CAUSAL-BY-DESIGN) (PORT-M2-INFO-CEILING-V1)
# NON-CAUSAL-BY-DESIGN: hindsight-fit upper bound over ALL E6 sessions (study + sealed blind). NOT a deployable result.
# capture = realised / ORACLE dollars, summed over the era's 384 (asset, day) sessions, CR1 interval CLUSTERED BY DAY (128 clusters)
# schedule = top-3 episodes per asset-day, one position at a time, D-077 compliance veto ON (m3_walk.topn_takes/replay_rows verbatim)
# SOFT_IN_SAMPLE = deliberate memorisation (depth 12, 600 rounds, fit and scored on the same rows) = the loosest possible bound
# HONEST_KFOLD_DAY = 5 folds of whole DAYS (no same-day leakage); HONEST_KFOLD_RANDOM = 5 random episode folds (same-day leakage ALLOWED — the directive's literal random-fold arm, and an upper bound on the day-grouped one)
arm	kind	feature_set	regime	n_features	capture	ci_lo	ci_hi	n_clusters	realised_usd	oracle_usd	n_takes	n_seated	expectancy_usd	frac_ge_1000	walled_rate	mean_mae_usd	rho_champion	auc_winner	n_draws	note
ORACLE_ANCHORED_LEGS	reference	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	the denominator (assemble.oracle_legs DP, the same object m3_walk.oracle_ceiling uses)
REP_GRAIN_DP_UNLIMITED	reference	.	.	.	1.09743	1.04981	1.14506	.	.	.	.	.	.	.	.	.	.	.	.	perfect foresight, UNLIMITED seats, restricted to episode representatives = the grain's own ceiling
PERFECT_FORESIGHT_TOP3	reference	.	.	.	0.639585	0.60828	0.67089	128	741735	1.15971e+06	1152	443	1674.35	0.68623	0.0158014	164.433	.	.	.	hindsight-ranked top-3/asset-day = the ceiling of THIS schedule shape
PERFECT_FORESIGHT_TOP3_NOVETO	reference	.	.	.	0.643968	0.612732	0.675204	128	746817	1.15971e+06	1152	444	1682.02	0.691441	0.0157658	162.993	.	.	.	hindsight-ranked top-3/asset-day = the ceiling of THIS schedule shape (D-077 veto OFF)
RANDOM_3_PER_ASSET_DAY	reference	.	.	.	-0.0263619	-0.0636131	0.0116083	.	.	.	.	.	-36.6109	.	.	.	.	.	200	200 random draws; shortlist n=74817/74817 episodes
SEAT_LIVE_SHORTLIST_RANDOM_3	reference	.	.	.	-0.0137669	-0.0583192	0.0239538	.	.	.	.	.	-24.6584	.	.	.	.	.	200	200 random draws; shortlist n=17806/74817 episodes
READER_R1_BLIND_22_TAKES	reference	.	.	.	0.153338	.	.	.	6284	40981.2	22	.	285.636	.	.	.	.	.	.	adjudicated sealed-ledger dollars over the same 3-day/3-asset oracle denominator
READER_R2_BLIND_3_TAKES	reference	.	.	.	-0.0218748	.	.	.	-703	32137.5	3	.	-234.333	.	.	.	.	.	.	adjudicated sealed-ledger dollars over the same 3-day/3-asset oracle denominator
M3_WALK_FORWARD_E6	reference	.	.	.	0.0982	.	.	.	.	.	.	.	.	.	.	.	.	.	.	PUBLISHED walk-forward row (m3 ERA_CURVE.tsv E6, capture_oracle; candidate grain, cell/1 policy, $113,884 over 384 sessions) — the only OUT-OF-SAMPLE number on this table
M3_WALK_FORWARD_E6_DAYCEIL	reference	.	.	.	0.0877	.	.	.	.	.	.	.	.	.	.	.	.	.	.	the same row against the candidate-grain DP day ceiling (capture_day_ceiling)
L1_digest|SOFT_IN_SAMPLE	fit	L1_digest	SOFT_IN_SAMPLE	86	0.634711	0.595701	0.673722	128	736082	1.15971e+06	1152	591	1245.49	0.595601	0.0524535	187.119	1	1	.	y_retg_rank_phase memorise(depth12) r=600; y_winner memorise(depth12) r=600
L1_digest|HONEST_KFOLD_DAY	fit	L1_digest	HONEST_KFOLD_DAY	86	-0.0295795	-0.0650491	0.00589008	128	-34303.8	1.15971e+06	1152	577	-59.4519	0.0953206	0.422877	374.848	0.4119	0.6416	.	y_retg_rank_phase depth6/eta0.08 r=31; y_winner depth10/eta0.08 r=4
L1_digest|HONEST_KFOLD_RANDOM	fit	L1_digest	HONEST_KFOLD_RANDOM	86	0.0810179	0.0368186	0.125217	128	93957.5	1.15971e+06	1152	586	160.337	0.1843	0.354949	316.18	0.5139	0.8011	.	y_retg_rank_phase depth6/eta0.08 r=28; y_winner depth8/eta0.08 r=6
L1L2_digest_sheets|SOFT_IN_SAMPLE	fit	L1L2_digest_sheets	SOFT_IN_SAMPLE	179	0.634555	0.597206	0.671904	128	735901	1.15971e+06	1152	586	1255.8	0.595563	0.0546075	177.506	1	1	.	y_retg_rank_phase memorise(depth12) r=600; y_winner memorise(depth12) r=600
L1L2_digest_sheets|HONEST_KFOLD_DAY	fit	L1L2_digest_sheets	HONEST_KFOLD_DAY	179	0.0325857	-0.000262244	0.0654336	128	37790	1.15971e+06	1152	482	78.4025	0.128631	0.321577	330.913	0.457	0.6922	.	y_retg_rank_phase depth4/eta0.08 r=44; y_winner depth6/eta0.08 r=3
L1L2_digest_sheets|HONEST_KFOLD_RANDOM	fit	L1L2_digest_sheets	HONEST_KFOLD_RANDOM	179	0.185717	0.133591	0.237844	128	215379	1.15971e+06	1152	548	393.027	0.255474	0.29562	325.148	0.7004	0.7944	.	y_retg_rank_phase depth8/eta0.08 r=39; y_winner depth6/eta0.08 r=6
L1L2L3_all_views|SOFT_IN_SAMPLE	fit	L1L2L3_all_views	SOFT_IN_SAMPLE	219	0.646833	0.610454	0.683211	128	750140	1.15971e+06	1152	607	1235.82	0.579901	0.0461285	184.596	1	1	.	y_retg_rank_phase memorise(depth12) r=600; y_winner memorise(depth12) r=600
L1L2L3_all_views|HONEST_KFOLD_DAY	fit	L1L2L3_all_views	HONEST_KFOLD_DAY	219	0.0527437	0.015947	0.0895403	128	61167.5	1.15971e+06	1152	479	127.698	0.139875	0.323591	346.412	0.4532	0.6944	.	y_retg_rank_phase depth4/eta0.08 r=40; y_winner depth6/eta0.08 r=4
L1L2L3_all_views|HONEST_KFOLD_RANDOM	fit	L1L2L3_all_views	HONEST_KFOLD_RANDOM	219	0.156585	0.106804	0.206367	128	181594	1.15971e+06	1152	565	321.405	0.233628	0.293805	343.673	0.6423	0.8131	.	y_retg_rank_phase depth6/eta0.08 r=47; y_winner depth8/eta0.08 r=3
L3_seq_only|SOFT_IN_SAMPLE	fit	L3_seq_only	SOFT_IN_SAMPLE	40	0.628327	0.589459	0.667196	128	728679	1.15971e+06	1152	613	1188.71	0.570962	0.0603589	211.175	1	1	.	y_retg_rank_phase memorise(depth12) r=600; y_winner memorise(depth12) r=600
L3_seq_only|HONEST_KFOLD_DAY	fit	L3_seq_only	HONEST_KFOLD_DAY	40	-0.0298393	-0.0696227	0.00994407	128	-34605	1.15971e+06	1152	691	-50.0796	0.0926194	0.409551	409.705	0.0118	0.5781	.	y_retg_rank_phase depth10/eta0.08 r=5; y_winner depth10/eta0.08 r=4
L3_seq_only|HONEST_KFOLD_RANDOM	fit	L3_seq_only	HONEST_KFOLD_RANDOM	40	-0.0614506	-0.0970914	-0.0258098	128	-71265	1.15971e+06	1152	763	-93.401	0.0760157	0.420708	403.383	0.0489	0.5739	.	y_retg_rank_phase depth6/eta0.08 r=5; y_winner depth10/eta0.08 r=1
L2_sheets_only|SOFT_IN_SAMPLE	fit	L2_sheets_only	SOFT_IN_SAMPLE	93	0.64032	0.603084	0.677557	128	742588	1.15971e+06	1152	580	1280.32	0.6	0.0431034	170.539	1	1	.	y_retg_rank_phase memorise(depth12) r=600; y_winner memorise(depth12) r=600
L2_sheets_only|HONEST_KFOLD_DAY	fit	L2_sheets_only	HONEST_KFOLD_DAY	93	0.0230725	-0.012235	0.0583801	128	26757.5	1.15971e+06	1152	461	58.0423	0.136659	0.338395	384.192	0.4575	0.7012	.	y_retg_rank_phase depth4/eta0.08 r=41; y_winner depth4/eta0.08 r=8
L2_sheets_only|HONEST_KFOLD_RANDOM	fit	L2_sheets_only	HONEST_KFOLD_RANDOM	93	0.0980523	0.0525749	0.14353	128	113712	1.15971e+06	1152	580	196.056	0.189655	0.324138	334.677	0.6136	0.7938	.	y_retg_rank_phase depth6/eta0.08 r=31; y_winner depth8/eta0.08 r=3
L1L3_digest_seq|SOFT_IN_SAMPLE	fit	L1L3_digest_seq	SOFT_IN_SAMPLE	126	0.647306	0.611435	0.683177	128	750689	1.15971e+06	1152	601	1249.07	0.582363	0.0415973	191.161	1	1	.	y_retg_rank_phase memorise(depth12) r=600; y_winner memorise(depth12) r=600
L1L3_digest_seq|HONEST_KFOLD_DAY	fit	L1L3_digest_seq	HONEST_KFOLD_DAY	126	-0.00612544	-0.0430759	0.030825	128	-7103.75	1.15971e+06	1152	562	-12.6401	0.103203	0.393238	345.318	0.4213	0.6741	.	y_retg_rank_phase depth4/eta0.08 r=41; y_winner depth8/eta0.08 r=3
L1L3_digest_seq|HONEST_KFOLD_RANDOM	fit	L1L3_digest_seq	HONEST_KFOLD_RANDOM	126	0.0489356	0.0101509	0.0877203	128	56751.2	1.15971e+06	1152	596	95.2202	0.151007	0.348993	335.906	0.4735	0.758	.	y_retg_rank_phase depth4/eta0.08 r=40; y_winner depth8/eta0.08 r=2
ALL_plus_epmeta|SOFT_IN_SAMPLE	fit	ALL_plus_epmeta	SOFT_IN_SAMPLE	221	0.637008	0.599454	0.674562	128	738746	1.15971e+06	1152	602	1227.15	0.578073	0.038206	184.292	1	1	.	y_retg_rank_phase memorise(depth12) r=600; y_winner memorise(depth12) r=600
ALL_plus_epmeta|HONEST_KFOLD_DAY	fit	ALL_plus_epmeta	HONEST_KFOLD_DAY	221	0.0342703	-0.0028635	0.0714042	128	39743.7	1.15971e+06	1152	500	79.4875	0.116	0.326	371.925	0.4555	0.6684	.	y_retg_rank_phase depth4/eta0.08 r=47; y_winner depth8/eta0.08 r=4
ALL_plus_epmeta|HONEST_KFOLD_RANDOM	fit	ALL_plus_epmeta	HONEST_KFOLD_RANDOM	221	0.131056	0.0833806	0.178732	128	151987	1.15971e+06	1152	565	269.004	0.20531	0.295575	316.139	0.5407	0.8426	.	y_retg_rank_phase depth4/eta0.08 r=34; y_winner depth10/eta0.08 r=4
WALKFWD_E1E5_TRAINED|EPISODE_GRAIN	crosscheck	L1L2_digest_sheets	WALK_FORWARD	182	-0.00609418	-0.0426423	0.0304539	128	-7067.5	1.15971e+06	1152	536	-13.1856	0.125	0.378731	360.448	0.4812	0.6734	.	trained on 361907 E1-E5 episode representatives, scored on E6 — the training-volume control for the k-fold arm; this one IS out-of-sample
