# PORT M2 D-090.6 information ceiling (E6, hindsight-fit, NON-CAUSAL-BY-DESIGN) (PORT-M2-INFO-CEILING-V1)
# NON-CAUSAL-BY-DESIGN: hindsight-fit upper bound over ALL E6 sessions (study + sealed blind). NOT a deployable result.
# port m2 entry-delay decidability + post-entry divergence (E6, hindsight-fit, NON-CAUSAL-BY-DESIGN)
# top 25 single fields at each delay
delay_sec	field	layer	n_pairs	pair_acc_kfold	pair_acc_in_sample	ci_lo	ci_hi
0	side	PRE	3251	0.572132	0.572132	0.496357	0.647906
0	ret_sess_open_with	PRE	3251	0.53199	0.53199	0.463486	0.600494
0	abs_mins_to_release	PRE	3251	0.528299	0.528299	0.511586	0.545012
0	accel_usd	PRE	3233	0.528147	0.528147	0.500248	0.556046
0	fph_sflow_with	PRE	3251	0.527069	0.527069	0.463669	0.590468
0	slope_1m_usd	PRE	3238	0.524552	0.524552	0.49526	0.553845
0	p033_product	PRE	3251	0.523685	0.523685	0.505938	0.541432
0	p033_sqrt	PRE	3251	0.523685	0.523685	0.505938	0.541432
0	slope_5m_with	PRE	3233	0.523353	0.523353	0.503901	0.542805
0	ret_phase_open_with	PRE	3251	0.521686	0.521686	0.449478	0.593893
0	cancel_retreat_up	PRE	3251	0.521686	0.521686	0.506753	0.536618
0	@span_sec	PRE	3251	0.519532	0.519532	0.50148	0.537585
0	pull_ratio_dn	PRE	3248	0.518935	0.518935	0.499782	0.538087
0	@n_members	PRE	3251	0.51661	0.51661	0.497214	0.536006
0	med_gap_ms	PRE	3250	0.514308	0.514308	0.498356	0.530259
0	level_dist_atr	PRE	3251	0.51338	0.51338	0.493547	0.533214
0	dasz_min	PRE	3248	0.512931	0.512931	0.49578	0.530082
0	w600_pull_ratio_up	PRE	3247	0.512627	0.512627	0.496031	0.529223
0	f5m_sflow_with	PRE	3251	0.512612	0.512612	0.487919	0.537304
0	rv1800_usd	PRE	3251	0.512612	0.512612	0.497454	0.527769
