# PORT M2 THE PRECISION FRONTIER (threshold x day-abstention x agreement) (PORT-M2-PRECISION-FRONTIER-V1)
# THE VERDICT PLANE: every (threshold x day-abstention x agreement) operating point measured above, filtered to the user's WEEKLY THROUGHPUT FLOOR (portfolio takes per week across all three assets), then maximised three ways
# D-021: $600 minimum / $1,000 target per trade.  D-048: $2,000 per session per asset, $1,500 thin-era floor — usd_per_session_all is the ERA_CURVE denominator (every asset-session of the era, traded or not)
era	week_floor_takes	criterion	operating_point	n_seated	n_candidates	n_seated	n_forfeited	precision	precision_lo	precision_hi	usd_per_trade	usd_per_trade_lo	usd_per_trade_hi	takes_per_day	takes_per_week	usd_per_day	usd_per_day_lo	usd_per_day_hi	usd_per_traded_day	usd_per_week	usd_per_week_lo	usd_week_p10	usd_week_median	frac_losing_weeks	frac_days_traded	n_days_traded	usd_per_session_all	usd_per_session_traded	mean_mae_usd	walled_rate	frac_ge_600	usd_total	vs_D048_2000	clears_D021_600	clears_D021_1000	clears_thin_floor_1500
E3	3.0000	max_usd_per_week	agreement_1of3_any|top_1%	292	4313	292	4021	0.0993	0.0638	0.1348	88.1293	-35.5134	211.7719	2.2462	10.8148	197.9519	-80.0539	475.9577	227.7323	953.1019	-206.2671	-2465.2500	685.0000	0.4074	0.8692	113	65.9840	120.8157	333.6259	0.3630	0.2432	25733.7500	-1934.0160	0	0	0
E3	3.0000	max_precision	joint_daygate_q80_3of3|top_20%	245	5190	245	4945	0.1306	0.0899	0.1714	-31.0459	-201.9642	139.8724	1.8846	9.0741	-58.5096	-380.4514	263.4322	-65.5711	-281.7130	-1614.0303	-5175.7500	250.0000	0.4444	0.8923	116	-19.5032	-36.0486	413.6224	0.4857	0.2612	-7606.2500	-2019.5032	0	0	0
E3	3.0000	max_usd_per_trade	threshold_episode_COMPOSED|top_0.5%	90	363	90	273	0.0889	0.0230	0.1547	119.7917	-135.3175	374.9008	0.6923	3.3333	82.9327	-92.1340	257.9994	173.8911	399.3056	-497.0221	-2034.5000	0.0000	0.4815	0.4769	62	27.6442	133.1019	233.0556	0.2444	0.2667	10781.2500	-1972.3558	0	0	0
E3	4.0000	max_usd_per_week	agreement_1of3_any|top_1%	292	4313	292	4021	0.0993	0.0638	0.1348	88.1293	-35.5134	211.7719	2.2462	10.8148	197.9519	-80.0539	475.9577	227.7323	953.1019	-206.2671	-2465.2500	685.0000	0.4074	0.8692	113	65.9840	120.8157	333.6259	0.3630	0.2432	25733.7500	-1934.0160	0	0	0
E3	4.0000	max_precision	joint_daygate_q80_3of3|top_20%	245	5190	245	4945	0.1306	0.0899	0.1714	-31.0459	-201.9642	139.8724	1.8846	9.0741	-58.5096	-380.4514	263.4322	-65.5711	-281.7130	-1614.0303	-5175.7500	250.0000	0.4444	0.8923	116	-19.5032	-36.0486	413.6224	0.4857	0.2612	-7606.2500	-2019.5032	0	0	0
E3	4.0000	max_usd_per_trade	daygate_preday_q50.0|top_5%	162	4177	162	4015	0.0864	0.0476	0.1252	116.5278	-59.7475	292.8031	1.2462	6.0000	145.2115	-75.8177	366.2408	248.3882	699.1667	-252.3531	-2327.5000	0.0000	0.4074	0.5846	76	48.4038	171.6136	362.0370	0.3025	0.2346	18877.5000	-1951.5962	0	0	0
E3	5.0000	max_usd_per_week	agreement_1of3_any|top_1%	292	4313	292	4021	0.0993	0.0638	0.1348	88.1293	-35.5134	211.7719	2.2462	10.8148	197.9519	-80.0539	475.9577	227.7323	953.1019	-206.2671	-2465.2500	685.0000	0.4074	0.8692	113	65.9840	120.8157	333.6259	0.3630	0.2432	25733.7500	-1934.0160	0	0	0
E3	5.0000	max_precision	joint_daygate_q80_3of3|top_20%	245	5190	245	4945	0.1306	0.0899	0.1714	-31.0459	-201.9642	139.8724	1.8846	9.0741	-58.5096	-380.4514	263.4322	-65.5711	-281.7130	-1614.0303	-5175.7500	250.0000	0.4444	0.8923	116	-19.5032	-36.0486	413.6224	0.4857	0.2612	-7606.2500	-2019.5032	0	0	0
E3	5.0000	max_usd_per_trade	daygate_preday_q50.0|top_5%	162	4177	162	4015	0.0864	0.0476	0.1252	116.5278	-59.7475	292.8031	1.2462	6.0000	145.2115	-75.8177	366.2408	248.3882	699.1667	-252.3531	-2327.5000	0.0000	0.4074	0.5846	76	48.4038	171.6136	362.0370	0.3025	0.2346	18877.5000	-1951.5962	0	0	0
E3	8.0000	max_usd_per_week	agreement_1of3_any|top_1%	292	4313	292	4021	0.0993	0.0638	0.1348	88.1293	-35.5134	211.7719	2.2462	10.8148	197.9519	-80.0539	475.9577	227.7323	953.1019	-206.2671	-2465.2500	685.0000	0.4074	0.8692	113	65.9840	120.8157	333.6259	0.3630	0.2432	25733.7500	-1934.0160	0	0	0
E3	8.0000	max_precision	joint_daygate_q80_3of3|top_20%	245	5190	245	4945	0.1306	0.0899	0.1714	-31.0459	-201.9642	139.8724	1.8846	9.0741	-58.5096	-380.4514	263.4322	-65.5711	-281.7130	-1614.0303	-5175.7500	250.0000	0.4444	0.8923	116	-19.5032	-36.0486	413.6224	0.4857	0.2612	-7606.2500	-2019.5032	0	0	0
E3	8.0000	max_usd_per_trade	agreement_1of3_any|top_1%	292	4313	292	4021	0.0993	0.0638	0.1348	88.1293	-35.5134	211.7719	2.2462	10.8148	197.9519	-80.0539	475.9577	227.7323	953.1019	-206.2671	-2465.2500	685.0000	0.4074	0.8692	113	65.9840	120.8157	333.6259	0.3630	0.2432	25733.7500	-1934.0160	0	0	0
E4	3.0000	max_usd_per_week	agreement_2of3|top_10%	251	10406	251	10155	0.1275	0.0895	0.1655	181.2799	31.9094	330.6504	1.9457	9.6538	352.7229	73.3270	632.1187	372.9611	1750.0481	621.7320	-1564.3750	1932.5000	0.3077	0.9457	122	118.1851	232.1492	373.1823	0.4143	0.3147	45501.2500	-1881.8149	0	0	0
E4	3.0000	max_precision	threshold_candidate_COMPOSED|top_0.5%	87	742	87	655	0.1494	0.0709	0.2279	139.5402	-144.1616	423.2421	0.6744	3.3462	94.1085	-93.2731	281.4902	220.7273	466.9231	-559.9141	-1861.8750	325.6250	0.3846	0.4264	55	31.5325	151.7500	276.6523	0.2989	0.2529	12140.0000	-1968.4675	0	0	0
E4	3.0000	max_usd_per_trade	joint_daygate_q95_2of3|top_10%	134	5851	134	5717	0.1045	0.0532	0.1558	190.2425	-33.2202	413.7052	1.0388	5.1538	197.6163	-22.3046	417.5371	349.2123	980.4808	-307.6138	-2030.0000	431.2500	0.5000	0.5659	73	66.2143	242.7857	357.2761	0.3657	0.3060	25492.5000	-1933.7857	0	0	0
E4	4.0000	max_usd_per_week	agreement_2of3|top_10%	251	10406	251	10155	0.1275	0.0895	0.1655	181.2799	31.9094	330.6504	1.9457	9.6538	352.7229	73.3270	632.1187	372.9611	1750.0481	621.7320	-1564.3750	1932.5000	0.3077	0.9457	122	118.1851	232.1492	373.1823	0.4143	0.3147	45501.2500	-1881.8149	0	0	0
E4	4.0000	max_precision	daygate_causal_q50.0|top_5%	172	6745	172	6573	0.1279	0.0729	0.1830	130.4651	-55.0316	315.9618	1.3333	6.6154	173.9535	-69.5428	417.4498	257.9310	863.0769	-744.6366	-2197.5000	327.5000	0.4615	0.6744	87	58.2857	159.1489	342.3692	0.3488	0.2733	22440.0000	-1941.7143	0	0	0
E4	4.0000	max_usd_per_trade	joint_daygate_q95_2of3|top_10%	134	5851	134	5717	0.1045	0.0532	0.1558	190.2425	-33.2202	413.7052	1.0388	5.1538	197.6163	-22.3046	417.5371	349.2123	980.4808	-307.6138	-2030.0000	431.2500	0.5000	0.5659	73	66.2143	242.7857	357.2761	0.3657	0.3060	25492.5000	-1933.7857	0	0	0
