# PORT M2 D-090.6 information ceiling (E6, hindsight-fit, NON-CAUSAL-BY-DESIGN) (PORT-M2-INFO-CEILING-V1)
# NON-CAUSAL-BY-DESIGN: hindsight-fit upper bound over ALL E6 sessions (study + sealed blind). NOT a deployable result.
# port m2 entry-delay decidability + post-entry divergence (E6, hindsight-fit, NON-CAUSAL-BY-DESIGN)
# enter at mid(t+D) instead of mid(t); EXIT is the ORIGINAL phase close (the seat shape) — a delay that runs past the phase close makes the trade impossible and is counted as frac_phase_expired
# cert_close = the walled phase-close certificate of the DELAYED entry (c_c_roster.certificates arithmetic, $900 wall, same session cost_rt); mae_after = max adverse excursion AFTER t+D
# f_at_D = what a t-entry is worth at t+D (the management scratch mark); frac_walled_by_D = the t-entry was already stopped
# cert_close_roll = the same delayed entry allowed to run to the NEXT phase boundary instead (the generous variant)
# intervals: CR1 clustered BY DAY
population	arm	delay_sec	n	n_feasible	frac_feasible	frac_phase_expired	mean_cert_close_usd	ci_lo	ci_hi	median_cert_close_usd	frac_ge_1000	frac_ge_1000_lo	frac_ge_1000_hi	frac_le_m900	mean_mae_after_usd	p90_mae_after_usd	frac_walled_after	mean_f_at_D_usd	median_f_at_D_usd	p10_f_at_D_usd	p25_f_at_D_usd	p75_f_at_D_usd	p90_f_at_D_usd	mean_mae_to_D_usd	mean_mfe_to_D_usd	frac_walled_by_D	frac_phase_changed	mean_cert_close_roll_usd	mean_decay_vs_D0_usd
WALLPAIR_WINNER_LEGS	enter_at_t+D	0	2857	2857	1	0	1806.92	1707.01	1906.84	1520	1	1	1	0	272.016	625	0	0	0	0	0	0	0	0	0	0	0	1806.92	0
WALLPAIR_WINNER_LEGS	enter_at_t+D	30	2857	2857	1	0	1786.99	1687.73	1886.25	1507.5	0.967448	0.960562	0.974334	0.00665033	266.05	625	0.00665033	1.65602	0	-87.5	-37.5	37.5	87.5	44.7322	45.6379	0	0	1786.99	-19.9335
WALLPAIR_WINNER_LEGS	enter_at_t+D	60	2857	2857	1	0	1752.21	1654.83	1849.59	1495	0.942597	0.93275	0.952444	0.0154008	267.696	625	0.0154008	11.87	0	-108.75	-50	62.5	130	63.6572	72.8474	0	0	1752.21	-54.7121
WALLPAIR_WINNER_LEGS	enter_at_t+D	120	2857	2857	1	0	1732.07	1633.34	1830.8	1495	0.921596	0.909873	0.93332	0.0189009	268.8	637.5	0.0189009	27.6973	12.5	-140	-62.5	100	200	87.9681	112.612	0	0	1732.07	-74.8556
WALLPAIR_WINNER_LEGS	enter_at_t+D	180	2857	2857	1	0	1728.99	1629.88	1828.09	1470	0.913546	0.900714	0.926378	0.0150508	269.905	625	0.0150508	42.1268	25	-162.5	-62.5	125	250	103.452	144.349	0	0	1728.99	-77.938
WALLPAIR_WINNER_LEGS	enter_at_t+D	300	2857	2857	1	0	1680.24	1585.88	1774.61	1470	0.872594	0.85813	0.887057	0.0238012	270.268	637.5	0.0238012	69.5091	50	-187.5	-62.5	175	337.5	128.043	199.427	0	0	1680.24	-126.68
WALLPAIR_WINNER_LEGS	enter_at_t+D	600	2857	2857	1	0	1597.74	1501.71	1693.77	1420	0.821141	0.800336	0.841946	0.0318516	277.056	650	0.0318516	137.736	100	-212.5	-62.5	300	525	163.362	303.798	0	0	1597.74	-209.184
WALLPAIR_WINNER_LEGS	enter_at_t+D	1200	2857	2857	1	0	1432.94	1346.13	1519.75	1320	0.732937	0.705425	0.760449	0.0469023	291.901	687.5	0.0469023	272.211	200	-225	-18.75	475	842.5	200.212	482.263	0	0	1432.94	-373.985
WALLPAIR_WINNER_LEGS	enter_at_t+D	1800	2857	2856	0.99965	0.000350018	1322.06	1242.21	1401.9	1245	0.662115	0.63177	0.69246	0.0514706	296.131	709.375	0.0514706	383.228	300	-187.5	25	618.75	1077.5	220.511	622.952	0	0	1322.06	-484.868
WALLPAIR_LOSER_LEGS	enter_at_t+D	0	2880	2880	1	0	-937.682	-939.488	-935.876	-930	0	0	0	1	912.717	925	1	0	0	-0	0	0	0	0	0	0	0	-937.682	0
WALLPAIR_LOSER_LEGS	enter_at_t+D	30	2880	2880	1	0	-937.682	-939.488	-935.876	-930	0	0	0	1	913.003	925	1	-8.40495	-6.25	-94.375	-50	25	75	48.941	39.9327	0	0	-937.682	0
WALLPAIR_LOSER_LEGS	enter_at_t+D	60	2880	2880	1	0	-937.643	-939.427	-935.86	-930	0	0	0	0.999653	912.556	925	0.999653	-12.9253	-12.5	-137.5	-62.5	50	100	75.076	59.2057	0.000694444	0	-937.643	0.0390625
WALLPAIR_LOSER_LEGS	enter_at_t+D	120	2880	2880	1	0	-937.444	-939.257	-935.63	-930	0	0	0	0.998611	913.16	931.25	0.998611	-24.1493	-25	-200	-100	50	137.5	112.888	85.7552	0.00173611	0	-937.444	0.238715
WALLPAIR_LOSER_LEGS	enter_at_t+D	180	2880	2880	1	0	-937.287	-939.103	-935.472	-930	0	0	0	0.997917	913.049	931.875	0.997917	-40.3234	-31.25	-250	-125	62.5	162.5	145.208	102.969	0.003125	0	-937.287	0.394965
WALLPAIR_LOSER_LEGS	enter_at_t+D	300	2880	2880	1	0	-935.573	-937.875	-933.271	-930	0	0	0	0.993403	911.458	925	0.993403	-70.4709	-50	-350	-175	62.5	193.75	198.709	125.983	0.0118056	0	-935.573	2.10938
WALLPAIR_LOSER_LEGS	enter_at_t+D	600	2880	2880	1	0	-931.398	-934.29	-928.505	-930	0	0	0	0.980903	909.525	925	0.980208	-134.937	-100	-525	-287.5	62.5	206.25	302.012	161.975	0.0402778	0	-931.398	6.28472
WALLPAIR_LOSER_LEGS	enter_at_t+D	1200	2880	2880	1	0	-913.277	-919.233	-907.321	-930	0	0	0	0.940972	898.377	925	0.940278	-269.646	-212.5	-825	-468.75	25	212.5	476.942	199.444	0.126389	0	-913.277	24.4054
WALLPAIR_LOSER_LEGS	enter_at_t+D	1800	2880	2879	0.999653	0.000347222	-892.318	-901.02	-883.616	-930	0	0	0	0.907954	888.483	925	0.907259	-378.498	-300	-1062.5	-612.5	-31.25	193.75	617.378	219.844	0.209375	0	-892.318	45.3646
E6_D021_WINNERS	enter_at_t+D	0	3649	3649	1	0	1755.9	1668.33	1843.47	1470	1	1	1	0	120.141	256.25	0	0	0	-0	0	0	0	0	0	0	0	1755.9	0
E6_D021_WINNERS	enter_at_t+D	30	3649	3649	1	0	1743.37	1656.57	1830.18	1457.5	0.968759	0.962144	0.975373	0	123.943	262.5	0	12.5325	6.25	-50	-18.75	37.5	75	26.8395	39.4526	0	0	1743.37	-12.5325
E6_D021_WINNERS	enter_at_t+D	60	3649	3649	1	0	1729.07	1643.87	1814.26	1445	0.953138	0.946116	0.96016	0.000274048	128.426	275	0.000274048	25.5995	12.5	-62.5	-25	62.5	112.5	37.0941	63.454	0	0	1729.07	-26.8361
E6_D021_WINNERS	enter_at_t+D	120	3649	3649	1	0	1705.6	1620.99	1790.2	1426.25	0.930392	0.920939	0.939844	0.000548095	135.662	300	0.000548095	48.6246	25	-75	-25	100	187.5	50.125	101.029	0	0	1705.6	-50.3066
E6_D021_WINNERS	enter_at_t+D	180	3649	3649	1	0	1683.13	1598.32	1767.95	1407.5	0.912853	0.901631	0.924075	0.000822143	143.805	312.5	0.000822143	70.4097	43.75	-75	-25	125	243.75	57.8635	132.339	0	0	1683.13	-72.7699
