# PORT M2 D-090.6 information ceiling (E6, hindsight-fit, NON-CAUSAL-BY-DESIGN) (PORT-M2-INFO-CEILING-V1)
# NON-CAUSAL-BY-DESIGN: hindsight-fit upper bound over ALL E6 sessions (study + sealed blind). NOT a deployable result.
# port m2 entry-delay decidability + post-entry divergence (E6, hindsight-fit, NON-CAUSAL-BY-DESIGN)
# FEATURE-ONLY SELECTION, delayed entry: the score is info_ceiling's OWN honest arm — both heads, its depth search, its OUT-OF-FOLD predictions (5 folds of whole DAYS) and its within-(asset, day) rank-sum composition — over the pre-t fields plus the [t, t+D] window; the schedule is the program's own: top-3 episodes per asset-day, one position at a time, D-077 compliance veto ON (m3_walk.topn_takes / replay_rows verbatim), the ONLY change being that the seat is opened at t+D and carries the DELAYED certificate
# capture_oracle is against the same $1,159,712 E6 oracle denominator info_ceiling uses; usd_per_session divides by the era's 384 (asset, day) sessions, so usd_per_day_3assets is the three-book daily number the D-048 bar is written against
# the D=0 row IS the committed INFO_CEILING_FITS.tsv arm L1L2L3_all_views|HONEST_KFOLD_DAY (same features, same folds, same heads, same schedule) — every later row differs from it in exactly one thing, the delay
# MAE COLUMN CAVEAT: mae_to_exit is the max adverse excursion from the entry to the ACTUAL exit — NOT the matrix's `mae_before_argmax` (adverse before the favourable peak) that the D-021 ~$300 acceptance bar is written against.  It is the larger of the two and must not be read against that bar; likewise exited_at_wall_rate is 'stopped at the $900 wall', not the matrix's 'wall touched at any horizon'.
# still NOT a deployable result: the fit is k-fold inside E6, not walk-forward
delay_sec	n_takes	n_seated	expectancy_usd	ci_lo	ci_hi	median_usd	win_rate	frac_ge_1000	frac_ge_600	mean_mae_to_exit_usd	p90_mae_to_exit_usd	exited_at_wall_rate	capture_oracle	cap_lo	cap_hi	usd_per_session	usd_per_day_3assets	n_refused_infeasible	auc	note
0	1152	479	127.698	37.9129	217.484	57.5	0.517745	0.139875	0.240084	472.403	900	0.229645	0.0527437	0.015947	0.0895403	159.29	477.871	1	0.6944	top-3 per asset-day on the composed (champion-rank + winner) head over pre-t + [t, t+D], entered at t+D
30	1152	524	54.864	-22.8513	132.579	-14.375	0.490458	0.125954	0.227099	510.234	906.25	0.255725	0.0247895	-0.0105143	0.0600934	74.8665	224.6	48	0.7012	top-3 per asset-day on the composed (champion-rank + winner) head over pre-t + [t, t+D], entered at t+D
60	1152	536	16.4202	-61.1065	93.947	-80	0.472015	0.128731	0.220149	531.168	906.25	0.272388	0.00758917	-0.0283092	0.0434875	22.9199	68.7598	102	0.7124	top-3 per asset-day on the composed (champion-rank + winner) head over pre-t + [t, t+D], entered at t+D
120	1152	595	-16.4811	-98.5669	65.6048	-105	0.436975	0.12605	0.208403	542.038	912.5	0.307563	-0.00845576	-0.0505985	0.033687	-25.5371	-76.6113	210	0.7234	top-3 per asset-day on the composed (champion-rank + winner) head over pre-t + [t, t+D], entered at t+D
180	1152	574	36.017	-51.847	123.881	-80	0.463415	0.134146	0.231707	523.443	906.25	0.299652	0.0178266	-0.025304	0.0609573	53.8379	161.514	343	0.7372	top-3 per asset-day on the composed (champion-rank + winner) head over pre-t + [t, t+D], entered at t+D
300	1152	588	-19.9872	-105.791	65.8164	-105	0.421769	0.122449	0.20068	531.356	906.25	0.295918	-0.010134	-0.0538686	0.0336006	-30.6055	-91.8164	531	0.7588	top-3 per asset-day on the composed (champion-rank + winner) head over pre-t + [t, t+D], entered at t+D
600	1152	619	-57.1305	-136.948	22.6875	-142.5	0.416801	0.101777	0.185784	541.983	900	0.305331	-0.0304935	-0.0736716	0.0126845	-92.0931	-276.279	1077	0.7899	top-3 per asset-day on the composed (champion-rank + winner) head over pre-t + [t, t+D], entered at t+D
1200	1152	614	-88.3774	-164.449	-12.3055	-180	0.40228	0.100977	0.184039	531.616	904.375	0.306189	-0.0467907	-0.0878746	-0.00570679	-141.312	-423.936	2199	0.8379	top-3 per asset-day on the composed (champion-rank + winner) head over pre-t + [t, t+D], entered at t+D
1800	1152	617	-62.8302	-127.972	2.31112	-142.5	0.429498	0.095624	0.181524	518.031	900	0.272285	-0.0334275	-0.0686015	0.00174652	-100.954	-302.861	3530	0.8714	top-3 per asset-day on the composed (champion-rank + winner) head over pre-t + [t, t+D], entered at t+D
