# ROUND-2 SEALED BLIND LEDGER 20240429 (E6R2X-BLIND-D1) — hand channel ONLY (R2-9: the rubric never seats)
# every TAKE carries a decision_journal entry written BEFORE the call and a RIBBON_ACCESS row for the window it read
ep	asset	sec	side	call	p	src	compl	why
SI-20240429-S-E01	SI	00:00	S	SKIP	0.000	-	-	-
SI-20240429-L-E01	SI	00:01	L	SKIP	0.000	-	-	-
NKD-20240429-S-E01	NKD	00:02	S	SKIP	0.000	-	-	-
NKD-20240429-L-E01	NKD	00:02	L	SKIP	0.000	-	-	-
HG-20240429-S-E01	HG	00:03	S	SKIP	0.000	-	-	-
HG-20240429-L-E01	HG	00:10	L	SKIP	0.000	-	-	-
SI-20240429-L-E02	SI	00:10	L	SKIP	0.000	-	-	-
HG-20240429-L-E02	HG	00:13	L	SKIP	0.000	-	-	-
SI-20240429-L-E03	SI	00:13	L	SKIP	0.000	-	-	-
HG-20240429-L-E03	HG	00:16	L	SKIP	0.000	-	-	-
NKD-20240429-L-E02	NKD	00:20	L	SKIP	0.000	-	-	-
HG-20240429-S-E02	HG	00:24	S	SKIP	0.000	-	-	-
HG-20240429-L-E04	HG	00:27	L	SKIP	0.000	-	-	-
SI-20240429-L-E04	SI	00:33	L	SKIP	0.000	-	-	-
HG-20240429-S-E03	HG	00:34	S	SKIP	0.000	-	-	-
SI-20240429-S-E02	SI	00:41	S	SKIP	0.000	-	-	-
SI-20240429-S-E03	SI	00:48	S	SKIP	0.000	-	-	-
HG-20240429-S-E04	HG	00:52	S	SKIP	0.000	-	-	-
SI-20240429-S-E04	SI	00:52	S	SKIP	0.000	-	-	-
NKD-20240429-S-E02	NKD	00:59	S	SKIP	0.000	-	-	-
HG-20240429-S-E05	HG	01:05	S	SKIP	0.000	-	-	-
SI-20240429-L-E05	SI	01:06	L	SKIP	0.000	-	-	-
SI-20240429-L-E06	SI	01:10	L	SKIP	0.000	-	-	-
HG-20240429-L-E05	HG	01:28	L	SKIP	0.000	-	-	-
NKD-20240429-S-E03	NKD	01:32	S	SKIP	0.000	-	-	-
HG-20240429-L-E06	HG	01:38	L	SKIP	0.000	-	-	-
SI-20240429-L-E07	SI	01:39	L	SKIP	0.000	-	-	-
NKD-20240429-L-E03	NKD	01:42	L	SKIP	0.000	-	-	-
NKD-20240429-S-E04	NKD	01:44	S	SKIP	0.000	-	-	-
SI-20240429-S-E05	SI	01:46	S	SKIP	0.000	-	-	-
NKD-20240429-S-E05	NKD	01:47	S	SKIP	0.000	-	-	-
NKD-20240429-L-E04	NKD	01:53	L	SKIP	0.000	-	-	-
NKD-20240429-L-E05	NKD	01:56	L	SKIP	0.000	-	-	-
HG-20240429-S-E06	HG	02:03	S	SKIP	0.000	-	-	-
NKD-20240429-S-E06	NKD	02:03	S	SKIP	0.000	-	-	-
NKD-20240429-L-E06	NKD	02:06	L	SKIP	0.000	-	-	-
NKD-20240429-S-E07	NKD	02:08	S	SKIP	0.000	-	-	-
HG-20240429-S-E07	HG	02:09	S	SKIP	0.000	-	-	-
SI-20240429-S-E06	SI	02:09	S	SKIP	0.000	-	-	-
NKD-20240429-L-E07	NKD	02:10	L	SKIP	0.000	-	-	-
SI-20240429-L-E08	SI	02:11	L	SKIP	0.000	-	-	-
NKD-20240429-S-E08	NKD	02:16	S	SKIP	0.000	-	-	-
HG-20240429-S-E08	HG	02:17	S	SKIP	0.000	-	-	-
NKD-20240429-S-E09	NKD	02:19	S	SKIP	0.000	-	-	-
NKD-20240429-L-E08	NKD	02:23	L	SKIP	0.000	-	-	-
NKD-20240429-S-E10	NKD	02:25	S	SKIP	0.000	-	-	-
NKD-20240429-L-E09	NKD	02:27	L	SKIP	0.000	-	-	-
SI-20240429-S-E07	SI	02:29	S	SKIP	0.000	-	-	-
NKD-20240429-L-E10	NKD	02:31	L	SKIP	0.000	-	-	-
NKD-20240429-S-E11	NKD	02:35	S	SKIP	0.000	-	-	-
HG-20240429-L-E07	HG	02:37	L	SKIP	0.000	-	-	-
NKD-20240429-L-E11	NKD	02:42	L	SKIP	0.000	-	-	-
NKD-20240429-L-E12	NKD	02:46	L	SKIP	0.000	-	-	-
SI-20240429-L-E09	SI	02:57	L	SKIP	0.000	-	-	-
HG-20240429-L-E08	HG	03:00	L	SKIP	0.000	-	-	-
HG-20240429-S-E09	HG	03:02	S	SKIP	0.000	-	-	-
SI-20240429-S-E08	SI	03:02	S	SKIP	0.000	-	-	-
SI-20240429-L-E10	SI	03:02	L	SKIP	0.000	-	-	-
