# PORT M2 M2.SEQ raw-event sequence model at candidate grain (lane=port-m2-seqtest; seed=20260813; device=NVIDIA RTX PRO 6000 Blackwell Workstation Edition)
# THE ALL-YEARS CRITERION: every (era, asset) cell must clear $2,000/session, or the D-043/D-045 thin-era floor of $1,500 where the era's own ceiling is thin.
# `mean_day_ceiling` and `realised_over_ceiling` are carried so 'thin' is evidenced, not asserted.
# 0/15 cells clear $2,000; 1/15 clear $1,500.
era	asset	n_sessions	usd_per_session	ps_lo	ps_hi	usd_per_trade	frac_ge_1000	mean_day_ceiling	realised_over_ceiling	clears_2000	clears_1500	p90_dd_usd	frac_dd_over_1000
E3	SI	130	815.79	502.11	1129.46	267.13	0.1511	3722.88	0.2191	0	0	1535.75	0.2154
E3	HG	130	889.83	680.77	1098.89	295.1	0.1454	2996.97	0.2969	0	0	930.0	0.0462
E3	NKD	130	815.52	623.34	1007.7	269.08	0.1041	2338.27	0.3488	0	0	955.0	0.0692
E4	SI	128	1390.08	1140.45	1639.71	463.36	0.1589	3428.16	0.4055	0	0	930.0	0.0547
E4	HG	128	1036.07	852.97	1219.18	345.36	0.1406	2491.79	0.4158	0	0	889.5	0.0469
E4	NKD	129	1162.81	992.46	1333.16	387.6	0.1344	2350.64	0.4947	0	0	935.0	0.031
E5	SI	129	1101.57	878.3	1324.84	367.19	0.1447	2968.0	0.3711	0	0	930.0	0.0388
E5	HG	129	748.57	607.24	889.9	249.52	0.062	1936.26	0.3866	0	0	543.75	0.0155
E5	NKD	129	1028.99	816.29	1241.7	343.0	0.1525	2869.79	0.3586	0	0	955.0	0.0465
E6	SI	128	1164.59	839.3	1489.88	388.2	0.2135	4209.1	0.2767	0	0	1344.0	0.1875
E6	HG	128	777.63	533.97	1021.29	259.21	0.1068	2528.87	0.3075	0	0	1121.25	0.1172
E6	NKD	128	840.37	553.58	1127.16	280.12	0.1927	3404.63	0.2468	0	0	1302.75	0.1562
E7	SI	131	589.87	236.31	943.43	196.62	0.1832	4731.79	0.1247	0	0	1865.0	0.3969
E7	HG	131	644.45	432.81	856.08	214.82	0.1094	2614.9	0.2465	0	0	1235.0	0.1374
E7	NKD	131	1682.71	1256.23	2109.19	560.9	0.2875	4958.0	0.3394	0	1	1277.5	0.1679
