# ROUND-2 SEALED BLIND LEDGER 20240503 (E6R2X-BLIND-D5) — hand channel ONLY (R2-9: the rubric never seats)
# every TAKE carries a decision_journal entry written BEFORE the call and a RIBBON_ACCESS row for the window it read
ep	asset	sec	side	call	p	src	compl	why
SI-20240503-L-E01	SI	00:02	L	SKIP	0.000	-	-	-
SI-20240503-S-E01	SI	00:08	S	SKIP	0.000	-	-	-
HG-20240503-S-E01	HG	00:10	S	SKIP	0.000	-	-	-
NKD-20240503-L-E01	NKD	00:14	L	SKIP	0.000	-	-	-
NKD-20240503-L-E02	NKD	00:17	L	SKIP	0.000	-	-	-
SI-20240503-L-E02	SI	00:18	L	SKIP	0.000	-	-	-
NKD-20240503-S-E01	NKD	00:28	S	SKIP	0.000	-	-	-
SI-20240503-S-E02	SI	00:36	S	SKIP	0.000	-	-	-
HG-20240503-S-E02	HG	00:36	S	SKIP	0.000	-	-	-
SI-20240503-S-E03	SI	00:39	S	SKIP	0.000	-	-	-
HG-20240503-L-E01	HG	00:53	L	SKIP	0.000	-	-	-
NKD-20240503-L-E03	NKD	00:56	L	SKIP	0.000	-	-	-
NKD-20240503-S-E02	NKD	01:03	S	SKIP	0.000	-	-	-
SI-20240503-S-E04	SI	01:08	S	SKIP	0.000	-	-	-
HG-20240503-S-E03	HG	01:09	S	SKIP	0.000	-	-	-
NKD-20240503-L-E04	NKD	01:14	L	SKIP	0.000	-	-	-
NKD-20240503-S-E03	NKD	01:32	S	SKIP	0.000	-	-	-
NKD-20240503-L-E05	NKD	01:32	L	SKIP	0.000	-	-	-
NKD-20240503-S-E04	NKD	01:36	S	SKIP	0.000	-	-	-
NKD-20240503-S-E05	NKD	01:40	S	SKIP	0.000	-	-	-
NKD-20240503-L-E06	NKD	01:41	L	SKIP	0.000	-	-	-
SI-20240503-L-E03	SI	01:42	L	SKIP	0.000	-	-	-
NKD-20240503-S-E06	NKD	01:47	S	SKIP	0.000	-	-	-
HG-20240503-L-E02	HG	01:57	L	SKIP	0.000	-	-	-
NKD-20240503-L-E07	NKD	02:00	L	SKIP	0.000	-	-	-
NKD-20240503-S-E07	NKD	02:02	S	SKIP	0.000	-	-	-
NKD-20240503-L-E08	NKD	02:08	L	SKIP	0.000	-	-	-
NKD-20240503-S-E08	NKD	02:09	S	SKIP	0.000	-	-	-
SI-20240503-S-E05	SI	02:10	S	SKIP	0.000	-	-	-
HG-20240503-S-E04	HG	02:11	S	SKIP	0.000	-	-	-
NKD-20240503-L-E09	NKD	02:12	L	SKIP	0.000	-	-	-
NKD-20240503-L-E10	NKD	02:18	L	SKIP	0.000	-	-	-
NKD-20240503-S-E09	NKD	02:20	S	SKIP	0.000	-	-	-
NKD-20240503-L-E11	NKD	02:24	L	SKIP	0.000	-	-	-
HG-20240503-L-E03	HG	02:25	L	SKIP	0.000	-	-	-
HG-20240503-S-E05	HG	02:28	S	SKIP	0.000	-	-	-
SI-20240503-S-E06	SI	02:28	S	SKIP	0.000	-	-	-
HG-20240503-L-E04	HG	02:38	L	SKIP	0.000	-	-	-
NKD-20240503-S-E10	NKD	02:43	S	SKIP	0.000	-	-	-
SI-20240503-L-E04	SI	02:47	L	SKIP	0.000	-	-	-
NKD-20240503-L-E12	NKD	02:47	L	SKIP	0.000	-	-	-
NKD-20240503-S-E11	NKD	02:49	S	SKIP	0.000	-	-	-
HG-20240503-L-E05	HG	02:51	L	SKIP	0.000	-	-	-
SI-20240503-L-E05	SI	02:51	L	SKIP	0.000	-	-	-
HG-20240503-L-E06	HG	02:54	L	SKIP	0.000	-	-	-
NKD-20240503-S-E12	NKD	02:57	S	SKIP	0.000	-	-	-
SI-20240503-L-E06	SI	02:58	L	SKIP	0.000	-	-	-
HG-20240503-L-E07	HG	02:59	L	SKIP	0.000	-	-	-
NKD-20240503-L-E13	NKD	03:00	L	SKIP	0.000	-	-	-
HG-20240503-S-E06	HG	03:03	S	SKIP	0.000	-	-	-
NKD-20240503-S-E13	NKD	03:05	S	SKIP	0.000	-	-	-
SI-20240503-L-E07	SI	03:05	L	SKIP	0.000	-	-	-
HG-20240503-L-E08	HG	03:07	L	SKIP	0.000	-	-	-
NKD-20240503-L-E14	NKD	03:08	L	SKIP	0.000	-	-	-
HG-20240503-S-E07	HG	03:08	S	SKIP	0.000	-	-	-
HG-20240503-S-E08	HG	03:12	S	SKIP	0.000	-	-	-
NKD-20240503-S-E14	NKD	03:13	S	SKIP	0.000	-	-	-
SI-20240503-S-E07	SI	03:14	S	SKIP	0.000	-	-	-
NKD-20240503-S-E15	NKD	03:16	S	SKIP	0.000	-	-	-
SI-20240503-L-E08	SI	03:18	L	SKIP	0.000	-	-	-
NKD-20240503-L-E15	NKD	03:19	L	SKIP	0.000	-	-	-
HG-20240503-S-E09	HG	03:22	S	SKIP	0.000	-	-	-
NKD-20240503-S-E16	NKD	03:23	S	SKIP	0.000	-	-	-
HG-20240503-L-E09	HG	03:25	L	SKIP	0.000	-	-	-
NKD-20240503-L-E16	NKD	03:27	L	SKIP	0.000	-	-	-
SI-20240503-S-E08	SI	03:27	S	SKIP	0.000	-	-	-
HG-20240503-S-E10	HG	03:31	S	SKIP	0.000	-	-	-
HG-20240503-L-E10	HG	03:33	L	SKIP	0.000	-	-	-
SI-20240503-L-E09	SI	03:33	L	SKIP	0.000	-	-	-
NKD-20240503-S-E17	NKD	03:34	S	SKIP	0.000	-	-	-
HG-20240503-L-E11	HG	03:38	L	SKIP	0.000	-	-	-
SI-20240503-S-E09	SI	03:41	S	SKIP	0.000	-	-	-
HG-20240503-S-E11	HG	03:41	S	SKIP	0.000	-	-	-
HG-20240503-L-E12	HG	03:46	L	SKIP	0.000	-	-	-
SI-20240503-L-E10	SI	03:47	L	SKIP	0.000	-	-	-
