# PORT M2 THE PRECISION FRONTIER (threshold x day-abstention x agreement) (PORT-M2-PRECISION-FRONTIER-V1)
# THE threshold frontier: every tier of every score, per era, out-of-sample (walk-forward: model_k sees only eras < k)
# precision = D-021 walled-winner rate among SEATED trades; CIs are CR1 clustered by CALENDAR DAY (the draw unit, D-036/D-073)
# takes_per_week / usd_per_week are PORTFOLIO totals across SI+HG+NKD (the user's throughput floor is 3-4 takes per week, total)
# SHUFFLE = FULL_TF's own scores permuted within the era: the red-first receipt.  Its frontier must be FLAT.
era	grain	score	tier	n_candidates	n_seated	n_forfeited	precision	precision_lo	precision_hi	usd_per_trade	usd_per_trade_lo	usd_per_trade_hi	takes_per_day	takes_per_week	usd_per_day	usd_per_day_lo	usd_per_day_hi	usd_per_traded_day	usd_per_week	usd_per_week_lo	usd_week_p10	usd_week_median	frac_losing_weeks	frac_days_traded	n_days_traded	usd_per_session_all	usd_per_session_traded	mean_mae_usd	walled_rate	frac_ge_600	usd_total
E6	episode	SHUFFLE	top_0.1%	74	72	2	0.0278	-0.0113	0.0669	-91.1111	-237.6052	55.3829	0.5625	2.7692	-51.2500	-133.3314	30.8314	-126.1538	-252.3077	-730.5676	-1391.2500	-355.0000	0.6538	0.4062	52	-17.0833	-100.9231	428.7326	0.4306	0.0972	-6560.0000
E6	episode	SHUFFLE	top_0.2%	148	139	9	0.0288	0.0005	0.0570	-121.4568	-227.0985	-15.8151	1.0859	5.3462	-131.8945	-248.7262	-15.0628	-205.8841	-649.3269	-1344.7787	-2925.6250	-811.8750	0.6538	0.6406	82	-43.9648	-140.6875	410.7464	0.4029	0.1151	-16882.5000
E6	episode	SHUFFLE	top_0.5%	370	321	49	0.0436	0.0226	0.0647	-96.4914	-177.5995	-15.3834	2.5078	12.3462	-241.9824	-450.5506	-33.4143	-260.2836	-1191.2981	-2650.6727	-3765.6250	-1983.1250	0.6538	0.9297	119	-80.6608	-133.5075	444.4899	0.4424	0.1277	-30973.7500
E6	episode	SHUFFLE	top_1%	740	552	188	0.0435	0.0279	0.0590	-75.0861	-140.7824	-9.3897	4.3125	21.2308	-323.8086	-612.1165	-35.5007	-323.8086	-1594.1346	-3161.3643	-5682.5000	-1551.2500	0.8077	1.0000	128	-107.9362	-129.9295	403.6005	0.4529	0.1395	-41447.5000
E6	episode	SHUFFLE	top_2%	1479	889	590	0.0461	0.0321	0.0601	-71.3948	-127.6532	-15.1364	6.9453	34.1923	-495.8594	-893.7853	-97.9334	-495.8594	-2441.1538	-4986.9167	-6934.3750	-2703.1250	0.7692	1.0000	128	-165.2865	-171.5405	414.2787	0.4657	0.1620	-63470.0000
E6	episode	SHUFFLE	top_5%	3698	1294	2404	0.0626	0.0487	0.0765	-47.7792	-103.1946	7.6362	10.1094	49.7692	-483.0176	-1052.1176	86.0824	-483.0176	-2377.9327	-5505.1248	-12814.3750	-2038.7500	0.6538	1.0000	128	-161.0059	-161.0059	447.8941	0.4838	0.1839	-61826.2500
E6	episode	SHUFFLE	top_10%	7396	1528	5868	0.0609	0.0495	0.0722	-39.1868	-82.1361	3.7624	11.9375	58.7692	-467.7930	-988.5542	52.9683	-467.7930	-2302.9808	-4805.1676	-9462.5000	-3053.7500	0.6923	1.0000	128	-155.9310	-155.9310	442.6661	0.4987	0.1832	-59877.5000
E6	episode	SHUFFLE	top_20%	14791	1627	13164	0.0658	0.0535	0.0780	-21.8869	-70.2592	26.4854	12.7109	62.5769	-278.2031	-897.8967	341.4905	-278.2031	-1369.6154	-4152.7840	-8844.3750	-1496.2500	0.6154	1.0000	128	-92.7344	-92.7344	457.5215	0.4960	0.1936	-35610.0000
E6	episode	SHUFFLE	top_100%	73956	1704	72252	0.0739	0.0608	0.0871	-2.6416	-48.1230	42.8398	13.3125	65.5385	-35.1660	-641.3391	571.0070	-35.1660	-173.1250	-2467.3816	-7815.6250	-660.0000	0.5385	1.0000	128	-11.7220	-11.7220	497.8800	0.4800	0.2072	-4501.2500
E6	episode	COMPOSED	top_0.02%	15	7	8	0.0000	0.0000	0.0000	208.3929	-404.6687	821.4545	0.0547	0.2692	11.3965	-15.4422	38.2352	243.1250	56.1058	-37.5841	0.0000	0.0000	0.0385	0.0469	6	3.7988	208.3929	277.6786	0.1429	0.1429	1458.7500
