# census 3 — class-mix seat economics (walk-forward selection score, top-3/asset/session) (PORT-M2-GOALPATH-V1)
era	asset	klass	n_candidates	fires_per_session	winner_rate	winner_mean_cert_usd	mean_cert_usd	wall_rate	n_selected	sel_per_session	precision_at_selection	usd_per_take_at_selection	usd_per_session_at_selection
E6	NKD	LEVEL-FIRST-TEST	711	5.555	0.08017	1864.74	-53.47	0.571	1	0.008	0	257.5	2.01
E6	NKD	US-CLOCK	1135	8.867	0.11189	1657.11	-70.55	0.4079	4	0.031	0	-761.25	-23.79
E6	NKD	OPEN-DYNAMICS	1035	8.086	0.0744	1572.6	-42.78	0.4889	5	0.039	0.2	337.5	13.18
E6	NKD	REVERSAL-CONFIRMATION	46601	364.07	0.06382	1698.27	-51.82	0.4417	359	2.805	0.0474	99.39	278.75
E6	NKD	RECLAIM	1381	10.789	0.08038	1822.93	-57.65	0.4062	15	0.117	0.2	490.83	57.52
E6	NKD	ALL	50947	398.023	0.06579	1701.13	-52.41	0.4432	384	3	0.0547	109.23	327.68
E6	ALL	SHOCK-RESOLUTION	238	0.62	0.10084	2102.81	-1.38	0.6765	0	0	nan	nan	0
E6	ALL	LEVEL-FIRST-TEST	711	1.852	0.08017	1864.74	-53.47	0.571	1	0.003	0	257.5	0.67
E6	ALL	US-CLOCK	6503	16.935	0.09165	2029.68	-44.68	0.4246	17	0.044	0.0588	-424.12	-18.78
E6	ALL	OPEN-DYNAMICS	3775	9.831	0.07258	1826.46	-45.73	0.4673	14	0.036	0.1429	269.11	9.81
E6	ALL	REVERSAL-CONFIRMATION	151676	394.99	0.05769	1870.65	-32.71	0.4179	1061	2.763	0.0415	57.85	159.83
E6	ALL	RECLAIM	6423	16.727	0.07785	1978.24	-6.48	0.3958	59	0.154	0.1356	302.94	46.55
E6	ALL	ALL	169326	440.953	0.06024	1884.54	-32.51	0.4194	1152	3	0.0477	66.03	198.09
