# PORT_M2_SHEETS_SPEC.md design/CREATOR_MECHANICS.md — creator-PDF mechanics census (spec_sha16=f6ef73a41dbf8588)
# params_hash=ea420c1fb1e2c4c03569cad8e0455c9de94c69195f7bc32d7b5ed5669c9ade12
# member_auc: within (asset,day,class) — the SEL_WRONG_MEMBER pool; 0.5 = no separation
# wallpair: same asset/day/phase-cell, opposite sides, |d dec_sec|<=1800s, one leg >=+$1,000 other <=-$900
# n_wall_pairs=272922
detector	member_auc	member_groups	member_pairs	wallpair_n	wallpair_discriminating	wallpair_acc	wallpair_z	wallpair_p	holm_rank	holm_threshold	holm_verdict	p_holm
RETEST_NOT_BREAK	0.506059	3380	16987735	272922	88523	0.509145	5.441502	0.000000	134	0.000108	HOLM_SIGNIFICANT	0.000024
REFILL_AREA_HELD	0.471713	3380	16987735	272922	114742	0.465619	-23.292483	0.000000	14	0.000086	HOLM_SIGNIFICANT	0.000000
IMB_350	0.499470	3380	16987735	272922	8853	0.450017	-9.405850	0.000000	54	0.000092	HOLM_SIGNIFICANT	0.000000
IMB_350_AT_AGG	0.499577	3380	16987735	272922	4262	0.461755	-4.993567	0.000001	152	0.000113	HOLM_SIGNIFICANT	0.000263
DIV_BOX_350	0.497637	3380	16987735	272922	1098	0.522769	1.508929	0.131317	365	0.000217	HOLM_NOT_SIGNIFICANT	1.000000
PASSIVE_MOVE	0.501297	3380	16987735	272922	15213	0.532834	8.099497	0.000000	70	0.000095	HOLM_SIGNIFICANT	0.000000
TWO_STAGE	0.520730	3380	16987735	272922	83704	0.505508	3.186822	0.001438	242	0.000142	HOLM_NOT_SIGNIFICANT	0.507774
BOTH_ABSORBED	0.515117	3380	16987735	272922	85068	0.502398	1.398869	0.161852	382	0.000235	HOLM_NOT_SIGNIFICANT	1.000000
CVD_WITH	0.483786	3380	16987735	272922	264921	0.484042	-16.426893	0.000000	28	0.000088	HOLM_SIGNIFICANT	0.000000
CVD_AGAINST	0.516217	3380	16987735	272922	264917	0.515950	16.419245	0.000000	29	0.000088	HOLM_SIGNIFICANT	0.000000
EXTREME_ABSORPTION	0.503573	3380	16987735	272922	36299	0.562881	23.960366	0.000000	13	0.000086	HOLM_SIGNIFICANT	0.000000
TAPE_SPIKE	0.546199	3380	16987735	272922	40859	0.500379	0.153362	0.878113	568	0.001852	HOLM_NOT_SIGNIFICANT	1.000000
TAPE_DEAD	0.478725	3380	16987735	272922	7199	0.494096	-1.001804	0.316438	433	0.000309	HOLM_NOT_SIGNIFICANT	1.000000
TOUCH_1_VIRGIN	0.496754	3380	16987735	272922	54224	0.500627	0.292020	0.770271	540	0.000909	HOLM_NOT_SIGNIFICANT	1.000000
TOUCH_2	0.496906	3380	16987735	272922	46335	0.510090	4.343672	0.000014	182	0.000121	HOLM_SIGNIFICANT	0.005787
TOUCH_GE3	0.514726	3380	16987735	272922	78961	0.470257	-16.715302	0.000000	26	0.000088	HOLM_SIGNIFICANT	0.000000
PRIOR_TOUCH_HELD	0.504447	3380	16987735	272922	92584	0.469541	-18.535791	0.000000	22	0.000087	HOLM_SIGNIFICANT	0.000000
PRIOR_2_HELD	0.505245	3380	16987735	272922	51425	0.473738	-11.910704	0.000000	38	0.000090	HOLM_SIGNIFICANT	0.000000
ZONE_BUILT_BY_SIZE	0.502572	3380	16987735	272922	104669	0.483333	-10.784299	0.000000	44	0.000091	HOLM_SIGNIFICANT	0.000000
LOSING_STEAM	0.504428	3380	16987735	272922	68519	0.511770	6.162102	0.000000	121	0.000105	HOLM_SIGNIFICANT	0.000000
REPEATED_FAIL_RECLAIM	0.536927	3380	16987735	272922	135575	0.520295	14.945474	0.000000	32	0.000089	HOLM_SIGNIFICANT	0.000000
MICROBALANCE_BREAK	0.482583	3380	16987735	272922	152141	0.510638	8.298882	0.000000	66	0.000095	HOLM_SIGNIFICANT	0.000000
ONX_UNTOUCHED_AHEAD	0.549897	3380	16987735	272922	153358	0.462597	-29.294489	0.000000	7	0.000085	HOLM_SIGNIFICANT	0.000000
IB_BROKEN_WITH	0.528069	3380	16987735	272922	105803	0.477945	-14.347915	0.000000	34	0.000089	HOLM_SIGNIFICANT	0.000000
OPEN_IN_PRIOR_VALUE	0.500000	3380	16987735	272922	0				0		NO_TEST	
IN_VALUE_AREA	0.512276	3380	16987735	272922	27777	0.506210	2.070029	0.038450	305	0.000172	HOLM_NOT_SIGNIFICANT	1.000000
AT_VA_EDGE	0.504240	3380	16987735	272922	35134	0.499374	-0.234741	0.814410	550	0.001111	HOLM_NOT_SIGNIFICANT	1.000000
DAY_P	0.493762	3380	16987735	272922	4237	0.493982	-0.783504	0.433331	464	0.000382	HOLM_NOT_SIGNIFICANT	1.000000
DAY_B	0.493109	3380	16987735	272922	3620	0.477072	-2.759013	0.005798	265	0.000152	HOLM_NOT_SIGNIFICANT	1.000000
DAY_D	0.512500	3380	16987735	272922	5608	0.520328	3.044604	0.002330	249	0.000145	HOLM_NOT_SIGNIFICANT	0.806134
THIN_BEHIND	0.497548	3380	16987735	272922	205756	0.507839	7.111940	0.000000	88	0.000099	HOLM_SIGNIFICANT	0.000000
MUT_ABS_LOOKAHEAD_2H	0.524779	3380	16987735	272922	58491	0.516456	7.959508	0.000000	73	0.000096	HOLM_SIGNIFICANT	0.000000
MUT_ABS_INVERTED	0.502464	3380	16987735	272922	27584	0.525196	8.369243	0.000000	64	0.000094	HOLM_SIGNIFICANT	0.000000
MUT_ABS_SHUFFLED	0.500497	3380	16987735	272922	100660	0.506249	3.965082	0.000073	197	0.000126	HOLM_SIGNIFICANT	0.029202
MUT_RANDOM_IID	0.499412	3380	16987735	272922	100586	0.497972	-1.286446	0.198288	390	0.000244	HOLM_NOT_SIGNIFICANT	1.000000
