# PORT_M2_SHEETS_SPEC.md design/CREATOR_MECHANICS.md — creator-PDF mechanics census (spec_sha16=f6ef73a41dbf8588)
# params_hash=ea420c1fb1e2c4c03569cad8e0455c9de94c69195f7bc32d7b5ed5669c9ade12
# member_auc: within (asset,day,class) — the SEL_WRONG_MEMBER pool; 0.5 = no separation
# wallpair: same asset/day/phase-cell, opposite sides, |d dec_sec|<=1800s, one leg >=+$1,000 other <=-$900
# n_wall_pairs=272922
detector	member_auc	member_groups	member_pairs	wallpair_n	wallpair_discriminating	wallpair_acc	wallpair_z	wallpair_p	holm_rank	holm_threshold	holm_verdict	p_holm
AGG_PRINT_60	0.518949	3380	16987735	272922	80346	0.502091	1.185379	0.235868	407	0.000266	HOLM_NOT_SIGNIFICANT	1.000000
AGG_WITH_SIDE_60	0.509238	3380	16987735	272922	85920	0.504458	2.613254	0.008968	271	0.000154	HOLM_NOT_SIGNIFICANT	1.000000
AGG_OPP_SIDE_60	0.513342	3380	16987735	272922	86541	0.493708	-3.701834	0.000214	209	0.000130	HOLM_NOT_SIGNIFICANT	0.082622
ABSORPTION	0.527892	3380	16987735	272922	102544	0.497377	-1.680069	0.092944	345	0.000200	HOLM_NOT_SIGNIFICANT	1.000000
BODY_REWARDED_WITH	0.511284	3380	16987735	272922	117389	0.531719	21.735401	0.000000	15	0.000086	HOLM_SIGNIFICANT	0.000000
WICK_ABSORBED_OPP	0.481536	3380	16987735	272922	92945	0.490042	-6.071464	0.000000	126	0.000107	HOLM_SIGNIFICANT	0.000001
SQUEEZE	0.529135	3380	16987735	272922	79427	0.467020	-18.589355	0.000000	21	0.000087	HOLM_SIGNIFICANT	0.000000
SQUEEZE_CATALYST_NEAR	0.504859	3380	16987735	272922	55795	0.466529	-15.812224	0.000000	31	0.000089	HOLM_SIGNIFICANT	0.000000
REFILL_CLOCK	0.508318	3380	16987735	272922	63762	0.487971	-6.074974	0.000000	125	0.000106	HOLM_SIGNIFICANT	0.000001
OFM	0.501816	3380	16987735	272922	20384	0.482781	-4.916912	0.000001	156	0.000114	HOLM_SIGNIFICANT	0.000386
OFM_FAILURE_ENTRY	0.522863	3380	16987735	272922	99860	0.489856	-6.411264	0.000000	108	0.000103	HOLM_SIGNIFICANT	0.000000
