# census 4 verdict — the stacked configurations (cell x filter x selection), one-position-per-asset replay, day-clustered CIs (PORT-M2-GOALPATH-V1)
era	cell	filter	selection	n_sessions	n_seats	seats_per_session	usd_per_session	ci_lo	ci_hi	usd_per_trade	risk_usd_median	win_rate	mdd_mean	vs_D048_bar
E2	LEG_0.75|EXT|TRAIL_1.5R	SHUFFLED_VETO	ALL	219	294	1.342	-136.42	-312.22	32.47	-101.62	1825	0.449	536.79	-0.068
E2	LEG_0.75|EXT|TRAIL_1.5R	SHUFFLED_VETO	MODEL_TOP3	219	265	1.21	-84.45	-242.51	67.18	-69.79	1825	0.4642	459.04	-0.042
E2	LEG_0.75|EXT|TRAIL_1.5R	SHUFFLED_DAYSIDE	ALL	169	203	1.201	35.04	-113.1	187.72	29.17	1850	0.5025	376.36	0.018
E2	LEG_0.75|EXT|TRAIL_1.5R	SHUFFLED_DAYSIDE	MODEL_TOP3	169	187	1.107	15.21	-129.21	166.54	13.75	1850	0.4973	352.82	0.008
E2	LEG_0.5|RECLAIM|TRAIL_1.5R	NONE	ALL	368	882	2.397	-132.84	-282.84	16.6	-55.43	1125	0.4422	791.17	-0.066
E2	LEG_0.5|RECLAIM|TRAIL_1.5R	NONE	MODEL_TOP3	368	529	1.438	41.98	-56.14	146.91	29.2	1112.5	0.4745	406.75	0.021
E2	LEG_0.5|RECLAIM|TRAIL_1.5R	VETO_K	ALL	351	724	2.063	-106.96	-237.07	28.98	-51.85	1087.5	0.4475	639.46	-0.053
E2	LEG_0.5|RECLAIM|TRAIL_1.5R	VETO_K	MODEL_TOP3	351	518	1.476	15.27	-82.25	119.05	10.35	1087.5	0.471	397.31	0.008
E2	LEG_0.5|RECLAIM|TRAIL_1.5R	VETO_2K	ALL	319	508	1.592	-59.65	-169.41	50.61	-37.46	1075	0.4488	456.2	-0.03
E2	LEG_0.5|RECLAIM|TRAIL_1.5R	VETO_2K	MODEL_TOP3	319	425	1.332	-12.35	-113.37	88.91	-9.27	1075	0.4565	367.27	-0.006
E2	LEG_0.5|RECLAIM|TRAIL_1.5R	DAYSIDE	ALL	310	515	1.661	-132.17	-261.42	-9.22	-79.56	1112.5	0.4194	604.17	-0.066
E2	LEG_0.5|RECLAIM|TRAIL_1.5R	DAYSIDE	MODEL_TOP3	310	388	1.252	-27.8	-134.65	80.46	-22.21	1100	0.4356	410.6	-0.014
