# PORT M2 M2.SEQ raw-event sequence model at candidate grain (lane=port-m2-seqtest; seed=20260813; device=NVIDIA RTX PRO 6000 Blackwell Workstation Edition)
# THE ALL-YEARS CRITERION: every (era, asset) cell must clear $2,000/session, or the D-043/D-045 thin-era floor of $1,500 where the era's own ceiling is thin.
# `mean_day_ceiling` and `realised_over_ceiling` are carried so 'thin' is evidenced, not asserted.
# 0/15 cells clear $2,000; 0/15 clear $1,500.
era	asset	n_sessions	usd_per_session	ps_lo	ps_hi	usd_per_trade	frac_ge_1000	mean_day_ceiling	realised_over_ceiling	clears_2000	clears_1500	p90_dd_usd	frac_dd_over_1000
E3	SI	130	274.33	-60.99	609.64	90.28	0.162	3722.88	0.0737	0	0	1995.0	0.3923
E3	HG	130	193.53	-65.52	452.58	64.18	0.1378	2996.97	0.0646	0	0	1858.88	0.3308
E3	NKD	130	-69.92	-270.6	130.76	-23.13	0.084	2338.27	-0.0299	0	0	1635.0	0.3077
E4	SI	128	23.96	-236.21	284.14	7.99	0.112	3428.16	0.007	0	0	1860.0	0.4141
E4	HG	128	192.47	-29.62	414.56	64.16	0.1042	2491.79	0.0772	0	0	1679.38	0.25
E4	NKD	129	172.89	-51.8	397.57	57.63	0.0853	2350.64	0.0735	0	0	1585.0	0.2868
E5	SI	129	-211.22	-464.05	41.61	-70.41	0.0775	2968.0	-0.0712	0	0	1865.0	0.4031
E5	HG	129	-25.61	-207.3	156.08	-8.54	0.0465	1936.26	-0.0132	0	0	1518.75	0.2713
E5	NKD	129	-177.69	-405.07	49.68	-59.23	0.0956	2869.79	-0.0619	0	0	1943.5	0.4419
E6	SI	128	-85.96	-394.06	222.15	-28.73	0.1358	4209.1	-0.0204	0	0	2141.25	0.4766
E6	HG	128	18.72	-228.2	265.64	6.27	0.0733	2528.87	0.0074	0	0	1842.5	0.2656
E6	NKD	128	2.81	-253.47	259.09	0.94	0.1384	3404.63	0.0008	0	0	1887.25	0.4141
E7	SI	131	-242.96	-562.42	76.51	-80.99	0.1399	4731.79	-0.0513	0	0	2377.5	0.5191
E7	HG	131	-32.28	-253.39	188.83	-10.79	0.0791	2614.9	-0.0123	0	0	1835.0	0.3282
E7	NKD	131	-18.15	-362.75	326.45	-6.05	0.1628	4958.0	-0.0037	0	0	2290.0	0.5038
