# PORT_M2_SHEETS_SPEC.md §CC-M2-15.4 corpus-wide MBP-1 event cache (spec_sha16=ec1abc890fa96b6d)
# params_hash=f3c5356e171ad901e2837336c82da2df0bce3b26aff51abeb5daed81e9530306
# one row per CACHED session-asset; sha256 of the npz and of its meta json (bulk stays in artifacts/cache/port/m2/events/, D-018)
# holdout date8 >= 20250701 is EXCLUDED by construction (CC-M2-15.3): 0 such rows
asset	date8	era	n_candidates	n_events	n_seen	n_reordered	cover_sec	session_sec	cover_frac	npz_bytes	npz_sha256	meta_sha256
HG	20210119	PRE_E1	239	359022	359022	0	61340	82800	0.740821	3086687	65bd01d979efb26e4fe5670f5929e32017f761b29b256b62bdfa990ea059dcc5	58fb02d379d54a37a08e3b88fc72ca7ef15f7d9eaf2614d398f2160588c5368e
HG	20210120	PRE_E1	216	308953	308953	0	56877	82800	0.686920	2669760	ccb9afc440b6fffff1ff656cc5f5ebce606334a760154d5f7d1911a5dcfcf730	5635c485602f9334ad9a72a445019c5c87964cc6d68996b8dbb93ce56cc2679c
HG	20210121	PRE_E1	219	310974	310974	1	53996	82800	0.652126	2682760	191331b805f9991a5f6dbcf1994e33cb7c5c3d1ad84204b1d485f22c782395b5	4fafd984ee99539fd9bfef44932366f6c34b654251c4583172231d718e36d2d1
HG	20210122	PRE_E1	384	473974	473974	0	65372	82800	0.789517	4073656	36de457a59b1ba5712365f3491da95fc7e834a828e703273301d0fce33df73a3	0989e520d14de2a4a3f4e9b04aaa66bb0f833d9734a383a2ace7a010397144e4
HG	20210125	PRE_E1	304	444447	444447	1	64738	82800	0.781860	3820505	63cf679b33f30194cd17b73dccf1115af658fbf6d7daab42c0049f4b0db2ade4	bd45127ab9a77d7a94cc635eda4045e1ebe94873b27680bed62b8114d793d8dc
HG	20210126	PRE_E1	276	397668	397668	0	62158	82800	0.750700	3403410	76bf05331b42f9aaeda025452ec19d1a949ec67633912b0adef92299be187da3	b94eac3f2059063b90093d45fb7b2a4eed133b240ed4df7c2d559899fcf283be
HG	20210127	PRE_E1	526	589887	589887	0	73331	82800	0.885640	5102810	32a01b87051b3227f6cfd354fb6bd2665fc9cdd612c1f9c4b9dffa30705de84c	5c4925f3f8b58c107a3d2e65287295f714e54e6e2015ea9545a30de229e8f2ac
HG	20210128	PRE_E1	504	759850	759850	0	77848	82800	0.940193	6572481	633b8395fbfcd33244cb0d49cdf6d87b5564d7fa44c8b0d4f663d1ab03ebe684	e7f53ecaabba09011be788ead3f0dfd8b1b4694e237741b6fa26c5edef93de45
HG	20210129	PRE_E1	484	741068	741068	1	74271	82800	0.896993	6437805	86b1ed0bb2ac6da02708e2b7422abfd2be0adce29cfc040aae2b644a11d66962	9ccf6c840267ec17a9ce6a680855a93ce5ed57def8e4655629cc026a7567f803
HG	20210201	PRE_E1	522	577485	577485	0	72798	82800	0.879203	5044059	f9af7fb19a2614064ff6909f98d748ac7e4809523492ff3c7e6bb8258f80996f	1fc4066eb3fef4877a22cc1a4246ff4859a9085e640ad4314e2b88dcf800f68a
HG	20210202	PRE_E1	443	546339	546339	0	70215	82800	0.848007	4727164	84aa9086d44b280aa0c18a0dbacc499b86158670d40bb732e1e38424f81b601f	b90b50c480112173363473abaa1c3ac8df32ac8e7f652bb4a9c4d70cbc44b785
HG	20210203	PRE_E1	331	431915	431915	1	66089	82800	0.798176	3727125	5d99335ae3ef06f95718bd4ed4df62d8271a218c024b9252418b1373bbab6f26	58da9d1b07d0921196b3df6175e133fa417420ebd4647a66e6ca475cfdc0a193
HG	20210204	PRE_E1	329	453296	453296	0	65238	82800	0.787899	3870898	d5846035ecbc1020654f394e1c7a588a5db8cfee7939d63468e0643ba314abe1	28e8e782a04a06816db3c18ca6d598fb827843e52f2039e41063f4b0d8571a6c
HG	20210205	PRE_E1	312	403882	403882	0	66467	82800	0.802742	3465924	17112ac6da9a2925fa2c53df069f9707c27906e8461cf27d6e69d92de28a9b01	e4efa867dbe3090205ee4deca3820092d3114d0522108e69f0f78947cc36f744
HG	20210208	PRE_E1	275	462682	462682	0	61446	82800	0.742101	3907990	f2559d1d23f7f0d7e480cbe4872549291ab4683099b51be4f1fe1c31e9ed559e	5ab65c86ef7d555b8ff7576ecd6da7631adf0949718ee51817c36ffe630f6836
HG	20210209	PRE_E1	294	543746	543746	1	62512	82800	0.754976	4564747	4668f8f9403dc273c0af4639c76dc8dbc7274db9cc310b13e086fe272db8b8b4	83033e7ff5a80e0b01e4d8669145034832d699d01f7baebb3827bd95a7c98d8f
HG	20210210	PRE_E1	412	661091	661091	0	69312	82800	0.837101	5599632	ee320feafc013053031cd1e5cc2761ffbef54420431bb84d3484c83aa28d2bc8	f4b1b27e3f4e63549beddde16a659ce49229c03647e58ed347d3b45dc57f2df5
HG	20210211	PRE_E1	217	365379	365379	0	51726	82800	0.624710	3107652	50ed3802ebf0b6a1356719aa9a32d03337632d5a87ea74fe8c7aed86a74256ee	37e0aef94b8de1f7d85f3416aec8e0f80ec6816fc5fa922a618ed660ccc3bc93
HG	20210212	PRE_E1	278	364735	364735	0	56704	82800	0.684831	3110163	a0570438aceecbffc87b1c8daabc0523c02c39ad5efb231a16749428fdbece09	5598e8eaadd774210edbef9a2c632eeaaf1eb6aa6b0b214a8e3c507d51600903
HG	20210215	PRE_E1	153	158327	158327	0	44959	82800	0.542983	1346670	e562c26a194f176cf2bbd43498141f9cfb02c9c4d58df8ef87f0902c36ac7c5e	b935c89ae0d64144c2261bcf33d603f85d1e1971daac6876943e7f10546aebb3
