# PORT M2 M2.SEQ raw-event sequence model at candidate grain (lane=port-m2-seqtest; seed=20260813; device=NVIDIA RTX PRO 6000 Blackwell Workstation Edition)
# ALL TEN (unit x N) cells for every arm, pooled E3-E8, so the selection-unit choice can never again do invisible work in this lane.
arm	unit	topn	n_takes	n_seated	forfeit_pct	usd_per_session	capture_oracle	co_lo	co_hi
FM_TABFM_WINNER	cell	1	5817	5810	0.1	-1.36	-0.0005	-0.0261	0.025
FM_TABFM_WINNER	cell	2	11634	5902	49.3	-5.45	-0.002	-0.0278	0.0237
FM_TABFM_WINNER	cell	3	17451	5981	65.7	-2.03	-0.0008	-0.0268	0.0253
FM_TABFM_WINNER	cell	5	29084	6071	79.1	5.55	0.0021	-0.0246	0.0287
FM_TABFM_WINNER	cell	8	46523	6234	86.6	-46.08	-0.0171	-0.0429	0.0086
FM_TABFM_WINNER	session	1	1939	1939	0.0	33.77	0.0126	-0.005	0.0301
FM_TABFM_WINNER	session	2	3878	2063	46.8	18.01	0.0067	-0.0111	0.0245
FM_TABFM_WINNER	session	3	5817	2150	63.0	8.74	0.0033	-0.0145	0.021
FM_TABFM_WINNER	session	5	9695	2286	76.4	2.45	0.0009	-0.0178	0.0196
FM_TABFM_WINNER	session	8	15512	2459	84.1	-16.78	-0.0062	-0.0255	0.013
